PERIOD_CODE,SUPPLIER_NAME,BRANCH_ID,BRANCH_NAME,TOTAL_ORDERS,COMPLETED_ORDERS,ONTIME_ORDERS,ON_TIME_DELIVERY_RATE,TOTAL_PURCHASE_VALUE,AVG_LEAD_TIME_DAYS,PERFORMANCE_RATING
2020-07,"Arctic Chill Logistics","B003","Petaling Jaya 88 Speedmart",1,1,1,100,3346.99,0,Excellent
2020-07,"Clean & Clear Resources","B003","Petaling Jaya 88 Speedmart",1,1,1,100,1897.8,0,Excellent
2020-07,"Dairy Fresh Sdn Bhd","B003","Petaling Jaya 88 Speedmart",1,1,1,100,11515.08,0,Excellent
2020-07,"Dry Goods Trading Co","B003","Petaling Jaya 88 Speedmart",1,1,1,100,2657.46,0,Excellent
2020-07,"Farm to Table Sdn Bhd","B003","Petaling Jaya 88 Speedmart",2,2,2,100,3426.83,1.7,Excellent
2020-07,"Frozen Foods Malaysia","B001","Ampang 88 Speedmart",1,1,1,100,2027.27,5,Excellent
2020-07,"Frozen Foods Malaysia","B003","Petaling Jaya 88 Speedmart",1,1,1,100,3218.12,0,Excellent
2020-07,"Global Grocery Supply","B001","Ampang 88 Speedmart",1,1,1,100,825.68,4,Excellent
2020-07,"Global Grocery Supply","B002","Cheras 88 Speedmart",2,2,2,100,2444.88,8,Excellent
2020-07,"Global Grocery Supply","B003","Petaling Jaya 88 Speedmart",1,1,1,100,2979.89,0,Excellent
2020-07,"Green Harvest Trading","B001","Ampang 88 Speedmart",1,1,1,100,528.38,4,Excellent
2020-07,"Green Harvest Trading","B003","Petaling Jaya 88 Speedmart",2,2,2,100,24595.75,.4,Excellent
2020-07,"Home Essentials Enterprise","B002","Cheras 88 Speedmart",1,1,1,100,1467.78,14,Excellent
2020-07,"Home Essentials Enterprise","B003","Petaling Jaya 88 Speedmart",1,1,1,100,11230.75,0,Excellent
2020-07,"Nusa Kitchen Supplies","B003","Petaling Jaya 88 Speedmart",1,1,1,100,19552.36,0,Excellent
2020-07,"Sinar Padi Enterprise","B001","Ampang 88 Speedmart",2,2,2,100,1767.5,2,Excellent
2020-07,"Sinar Padi Enterprise","B003","Petaling Jaya 88 Speedmart",2,2,2,100,9474.82,0,Excellent
2020-08,"Dairy Fresh Sdn Bhd","B001","Ampang 88 Speedmart",1,1,1,100,60.84,1,Excellent
2020-08,"Dairy Fresh Sdn Bhd","B002","Cheras 88 Speedmart",1,1,1,100,105.85,1,Excellent
2020-08,"Farm to Table Sdn Bhd","B002","Cheras 88 Speedmart",1,1,1,100,1110.05,10,Excellent
2020-08,"Farm to Table Sdn Bhd","B003","Petaling Jaya 88 Speedmart",1,1,1,100,333.69,10,Excellent
2020-08,"Frozen Foods Malaysia","B001","Ampang 88 Speedmart",1,1,1,100,398.06,4,Excellent
2020-08,"Green Harvest Trading","B002","Cheras 88 Speedmart",1,1,1,100,1269.63,2,Excellent
2020-08,"Green Harvest Trading","B003","Petaling Jaya 88 Speedmart",1,1,1,100,654.51,2,Excellent
2020-08,"Sinar Padi Enterprise","B002","Cheras 88 Speedmart",2,2,2,100,367.9,2.5,Excellent
2020-09,"Arctic Chill Logistics","B001","Ampang 88 Speedmart",1,1,1,100,2820.91,12,Excellent
2020-09,"Farm to Table Sdn Bhd","B003","Petaling Jaya 88 Speedmart",1,1,1,100,225.16,13,Excellent
2020-09,"Frozen Foods Malaysia","B003","Petaling Jaya 88 Speedmart",2,2,2,100,333.39,8,Excellent
2020-09,"Global Grocery Supply","B002","Cheras 88 Speedmart",2,2,2,100,726.21,6.4,Excellent
2020-09,"Green Harvest Trading","B001","Ampang 88 Speedmart",1,1,1,100,6481.09,3,Excellent
2020-09,"Home Essentials Enterprise","B001","Ampang 88 Speedmart",1,1,1,100,951.69,10,Excellent
2020-09,"Sinar Padi Enterprise","B001","Ampang 88 Speedmart",1,1,1,100,300.07,2,Excellent
2020-10,"Arctic Chill Logistics","B004","Shah Alam 88 Speedmart",2,2,2,100,600.65,4.7,Excellent
2020-10,"Clean & Clear Resources","B004","Shah Alam 88 Speedmart",1,1,1,100,1429.34,0,Excellent
2020-10,"Dairy Fresh Sdn Bhd","B004","Shah Alam 88 Speedmart",2,2,2,100,1986.19,.1,Excellent
2020-10,"Dry Goods Trading Co","B004","Shah Alam 88 Speedmart",1,1,1,100,1413.1,0,Excellent
2020-10,"Farm to Table Sdn Bhd","B003","Petaling Jaya 88 Speedmart",1,1,1,100,162.56,9,Excellent
2020-10,"Farm to Table Sdn Bhd","B004","Shah Alam 88 Speedmart",1,1,1,100,4423.12,0,Excellent
2020-10,"Frozen Foods Malaysia","B004","Shah Alam 88 Speedmart",1,1,1,100,5665.09,0,Excellent
2020-10,"Global Grocery Supply","B004","Shah Alam 88 Speedmart",3,3,3,100,3162.76,.6,Excellent
2020-10,"Green Harvest Trading","B004","Shah Alam 88 Speedmart",2,2,2,100,14088.51,0,Excellent
2020-10,"Home Essentials Enterprise","B002","Cheras 88 Speedmart",1,1,1,100,1371.34,11,Excellent
2020-10,"Home Essentials Enterprise","B003","Petaling Jaya 88 Speedmart",1,1,1,100,435.84,9,Excellent
2020-10,"Home Essentials Enterprise","B004","Shah Alam 88 Speedmart",1,1,1,100,1680.44,0,Excellent
2020-10,"Nusa Kitchen Supplies","B001","Ampang 88 Speedmart",1,1,1,100,188.32,8,Excellent
2020-10,"Nusa Kitchen Supplies","B004","Shah Alam 88 Speedmart",2,2,2,100,5023.54,0,Excellent
2020-10,"Sinar Padi Enterprise","B004","Shah Alam 88 Speedmart",3,3,3,100,3281.01,.1,Excellent
2020-11,"Arctic Chill Logistics","B001","Ampang 88 Speedmart",1,1,1,100,943.79,9,Excellent
2020-11,"Arctic Chill Logistics","B004","Shah Alam 88 Speedmart",1,1,1,100,149.34,11,Excellent
2020-11,"Clean & Clear Resources","B003","Petaling Jaya 88 Speedmart",1,1,1,100,89.25,5,Excellent
2020-11,"Dry Goods Trading Co","B002","Cheras 88 Speedmart",1,1,1,100,259.77,9,Excellent
2020-11,"Farm to Table Sdn Bhd","B002","Cheras 88 Speedmart",1,1,1,100,2347.27,13,Excellent
2020-11,"Frozen Foods Malaysia","B001","Ampang 88 Speedmart",1,1,1,100,1264.85,7,Excellent
2020-11,"Frozen Foods Malaysia","B003","Petaling Jaya 88 Speedmart",1,1,1,100,3272.32,4,Excellent
2020-11,"Frozen Foods Malaysia","B004","Shah Alam 88 Speedmart",1,1,1,100,400.45,7,Excellent
2020-11,"Global Grocery Supply","B001","Ampang 88 Speedmart",1,1,1,100,7730.04,5,Excellent
2020-11,"Global Grocery Supply","B002","Cheras 88 Speedmart",1,1,1,100,370.31,5,Excellent
2020-11,"Global Grocery Supply","B003","Petaling Jaya 88 Speedmart",1,1,1,100,1654.65,8,Excellent
2020-11,"Green Harvest Trading","B004","Shah Alam 88 Speedmart",1,1,1,100,993.96,3,Excellent
2020-11,"Home Essentials Enterprise","B001","Ampang 88 Speedmart",1,1,1,100,1856.5,9,Excellent
2020-11,"Home Essentials Enterprise","B004","Shah Alam 88 Speedmart",2,2,2,100,779.11,11.6,Excellent
2020-11,"Nusa Kitchen Supplies","B002","Cheras 88 Speedmart",1,1,1,100,399.87,6,Excellent
2020-11,"Nusa Kitchen Supplies","B004","Shah Alam 88 Speedmart",2,2,2,100,209.57,6,Excellent
2020-11,"Sinar Padi Enterprise","B003","Petaling Jaya 88 Speedmart",1,1,1,100,25.16,3,Excellent
2020-11,"Sinar Padi Enterprise","B004","Shah Alam 88 Speedmart",1,1,1,100,136.5,3,Excellent
2020-12,"Arctic Chill Logistics","B002","Cheras 88 Speedmart",2,2,2,100,5650.67,10,Excellent
2020-12,"Clean & Clear Resources","B001","Ampang 88 Speedmart",1,1,1,100,1072.09,5,Excellent
2020-12,"Dairy Fresh Sdn Bhd","B001","Ampang 88 Speedmart",1,1,1,100,745.06,2,Excellent
2020-12,"Dry Goods Trading Co","B003","Petaling Jaya 88 Speedmart",1,1,1,100,395.27,12,Excellent
2020-12,"Farm to Table Sdn Bhd","B002","Cheras 88 Speedmart",2,2,2,100,3192.29,10.9,Excellent
2020-12,"Farm to Table Sdn Bhd","B004","Shah Alam 88 Speedmart",1,1,1,100,918.53,12,Excellent
2020-12,"Frozen Foods Malaysia","B001","Ampang 88 Speedmart",1,1,1,100,495.34,6,Excellent
2020-12,"Global Grocery Supply","B002","Cheras 88 Speedmart",1,1,1,100,1287.81,4,Excellent
2020-12,"Green Harvest Trading","B004","Shah Alam 88 Speedmart",2,2,2,100,1788.27,1.8,Excellent
2020-12,"Home Essentials Enterprise","B001","Ampang 88 Speedmart",1,1,1,100,909.53,12,Excellent
2020-12,"Home Essentials Enterprise","B002","Cheras 88 Speedmart",1,1,1,100,1867.08,13,Excellent
2020-12,"Home Essentials Enterprise","B003","Petaling Jaya 88 Speedmart",2,2,2,100,846.24,12.2,Excellent
2020-12,"Nusa Kitchen Supplies","B001","Ampang 88 Speedmart",1,1,1,100,394.88,4,Excellent
2020-12,"Nusa Kitchen Supplies","B003","Petaling Jaya 88 Speedmart",1,1,1,100,1322.44,7,Excellent
2020-12,"Nusa Kitchen Supplies","B004","Shah Alam 88 Speedmart",1,1,1,100,469.81,6,Excellent
2020-12,"Sinar Padi Enterprise","B002","Cheras 88 Speedmart",1,1,1,100,687.5,2,Excellent
2020-12,"Sinar Padi Enterprise","B003","Petaling Jaya 88 Speedmart",1,1,1,100,1075.58,2,Excellent
2020-12,"Sinar Padi Enterprise","B004","Shah Alam 88 Speedmart",3,3,3,100,688.85,2.3,Excellent
2021-01,"Arctic Chill Logistics","B005","Klang 88 Speedmart",3,3,3,100,2267.18,2,Excellent
2021-01,"Arctic Chill Logistics","B004","Shah Alam 88 Speedmart",1,1,1,100,357.19,14,Excellent
2021-01,"Clean & Clear Resources","B005","Klang 88 Speedmart",2,2,2,100,1824.25,1.4,Excellent
2021-01,"Dairy Fresh Sdn Bhd","B001","Ampang 88 Speedmart",1,1,1,100,275.04,3,Excellent
2021-01,"Dairy Fresh Sdn Bhd","B005","Klang 88 Speedmart",1,1,1,100,3035.32,0,Excellent
2021-01,"Dairy Fresh Sdn Bhd","B003","Petaling Jaya 88 Speedmart",1,1,1,100,271.04,1,Excellent
2021-01,"Dairy Fresh Sdn Bhd","B004","Shah Alam 88 Speedmart",1,1,1,100,55.86,4,Excellent
2021-01,"Dry Goods Trading Co","B005","Klang 88 Speedmart",2,2,2,100,361.38,5.2,Excellent
2021-01,"Farm to Table Sdn Bhd","B005","Klang 88 Speedmart",3,3,3,100,3395.96,1,Excellent
2021-01,"Frozen Foods Malaysia","B002","Cheras 88 Speedmart",1,1,1,100,837.74,8,Excellent
2021-01,"Frozen Foods Malaysia","B005","Klang 88 Speedmart",1,1,1,100,3991.82,0,Excellent
2021-01,"Frozen Foods Malaysia","B003","Petaling Jaya 88 Speedmart",1,1,1,100,189.69,5,Excellent
2021-01,"Frozen Foods Malaysia","B004","Shah Alam 88 Speedmart",1,1,1,100,498.44,4,Excellent
2021-01,"Global Grocery Supply","B005","Klang 88 Speedmart",2,2,2,100,4984.06,0,Excellent
2021-01,"Global Grocery Supply","B004","Shah Alam 88 Speedmart",1,1,1,100,689.84,6,Excellent
2021-01,"Green Harvest Trading","B002","Cheras 88 Speedmart",1,1,1,100,811.35,3,Excellent
2021-01,"Green Harvest Trading","B005","Klang 88 Speedmart",3,3,3,100,7031.76,.1,Excellent
2021-01,"Home Essentials Enterprise","B005","Klang 88 Speedmart",1,1,1,100,6213.59,0,Excellent
2021-01,"Home Essentials Enterprise","B004","Shah Alam 88 Speedmart",1,1,1,100,337.11,14,Excellent
2021-01,"Nusa Kitchen Supplies","B002","Cheras 88 Speedmart",1,1,1,100,1091.05,4,Excellent
2021-01,"Nusa Kitchen Supplies","B005","Klang 88 Speedmart",2,2,2,100,3802.08,0,Excellent
2021-01,"Sinar Padi Enterprise","B001","Ampang 88 Speedmart",1,1,1,100,629.12,1,Excellent
2021-01,"Sinar Padi Enterprise","B002","Cheras 88 Speedmart",1,1,1,100,746.88,4,Excellent
2021-01,"Sinar Padi Enterprise","B005","Klang 88 Speedmart",2,2,2,100,2630.81,0,Excellent
2021-01,"Sinar Padi Enterprise","B004","Shah Alam 88 Speedmart",1,1,1,100,881.26,4,Excellent
2021-02,"Arctic Chill Logistics","B002","Cheras 88 Speedmart",1,1,1,100,1147.63,12,Excellent
2021-02,"Dairy Fresh Sdn Bhd","B005","Klang 88 Speedmart",1,0,0,0,45.54,0,Poor
2021-02,"Farm to Table Sdn Bhd","B002","Cheras 88 Speedmart",1,1,1,100,1147.74,11,Excellent
2021-02,"Farm to Table Sdn Bhd","B004","Shah Alam 88 Speedmart",1,1,1,100,353.19,12,Excellent
2021-02,"Frozen Foods Malaysia","B004","Shah Alam 88 Speedmart",1,1,1,100,535.84,4,Excellent
2021-02,"Global Grocery Supply","B005","Klang 88 Speedmart",1,1,1,100,738.24,8,Excellent
2021-02,"Global Grocery Supply","B004","Shah Alam 88 Speedmart",1,1,1,100,316.98,6,Excellent
2021-02,"Green Harvest Trading","B001","Ampang 88 Speedmart",1,1,1,100,574.1,1,Excellent
2021-02,"Green Harvest Trading","B005","Klang 88 Speedmart",1,1,1,100,1009.46,4,Excellent
2021-02,"Green Harvest Trading","B003","Petaling Jaya 88 Speedmart",1,1,1,100,736.47,3,Excellent
2021-02,"Green Harvest Trading","B004","Shah Alam 88 Speedmart",1,1,1,100,622.94,4,Excellent
2021-02,"Home Essentials Enterprise","B001","Ampang 88 Speedmart",1,1,1,100,2002.19,11,Excellent
2021-02,"Nusa Kitchen Supplies","B001","Ampang 88 Speedmart",1,1,1,100,1052.87,7,Excellent
2021-02,"Nusa Kitchen Supplies","B004","Shah Alam 88 Speedmart",1,1,1,100,462.82,7,Excellent
2021-02,"Sinar Padi Enterprise","B005","Klang 88 Speedmart",1,1,1,100,120.99,3,Excellent
2021-02,"Sinar Padi Enterprise","B003","Petaling Jaya 88 Speedmart",1,1,1,100,761.87,4,Excellent
2021-03,"Arctic Chill Logistics","B005","Klang 88 Speedmart",1,1,1,100,127.43,10,Excellent
2021-03,"Arctic Chill Logistics","B004","Shah Alam 88 Speedmart",1,1,1,100,612.38,14,Excellent
2021-03,"Clean & Clear Resources","B003","Petaling Jaya 88 Speedmart",1,1,1,100,564.86,6,Excellent
2021-03,"Dairy Fresh Sdn Bhd","B005","Klang 88 Speedmart",1,1,1,100,45.54,3,Excellent
2021-03,"Dry Goods Trading Co","B002","Cheras 88 Speedmart",1,1,1,100,699.56,13,Excellent
2021-03,"Frozen Foods Malaysia","B001","Ampang 88 Speedmart",1,1,1,100,1339.07,8,Excellent
2021-03,"Global Grocery Supply","B002","Cheras 88 Speedmart",2,2,2,100,955.18,4,Excellent
2021-03,"Global Grocery Supply","B003","Petaling Jaya 88 Speedmart",1,1,1,100,1205.89,7,Excellent
2021-03,"Global Grocery Supply","B004","Shah Alam 88 Speedmart",1,1,1,100,203.15,6,Excellent
2021-03,"Green Harvest Trading","B005","Klang 88 Speedmart",1,1,1,100,36.89,1,Excellent
2021-03,"Green Harvest Trading","B004","Shah Alam 88 Speedmart",1,1,1,100,1925.21,4,Excellent
2021-03,"Home Essentials Enterprise","B002","Cheras 88 Speedmart",1,1,1,100,186.87,12,Excellent
2021-03,"Nusa Kitchen Supplies","B005","Klang 88 Speedmart",1,1,1,100,116.71,4,Excellent
2021-03,"Sinar Padi Enterprise","B001","Ampang 88 Speedmart",1,1,1,100,829.34,4,Excellent
2021-03,"Sinar Padi Enterprise","B002","Cheras 88 Speedmart",1,1,1,100,834.96,3,Excellent
2021-03,"Sinar Padi Enterprise","B005","Klang 88 Speedmart",1,1,1,100,47.83,3,Excellent
2021-04,"Arctic Chill Logistics","B006","Johor Bahru 88 Speedmart",1,1,1,100,1987.79,0,Excellent
2021-04,"Arctic Chill Logistics","B005","Klang 88 Speedmart",1,1,1,100,83.7,11,Excellent
2021-04,"Arctic Chill Logistics","B004","Shah Alam 88 Speedmart",1,1,1,100,218.72,10,Excellent
2021-04,"Clean & Clear Resources","B006","Johor Bahru 88 Speedmart",2,2,2,100,337.37,2,Excellent
2021-04,"Clean & Clear Resources","B005","Klang 88 Speedmart",1,1,1,100,94.57,5,Excellent
2021-04,"Dairy Fresh Sdn Bhd","B006","Johor Bahru 88 Speedmart",1,1,1,100,1199.06,0,Excellent
2021-04,"Dry Goods Trading Co","B006","Johor Bahru 88 Speedmart",1,1,1,100,1449.19,0,Excellent
2021-04,"Farm to Table Sdn Bhd","B006","Johor Bahru 88 Speedmart",2,2,2,100,3537.5,1,Excellent
2021-04,"Frozen Foods Malaysia","B006","Johor Bahru 88 Speedmart",1,1,1,100,3807.32,0,Excellent
2021-04,"Frozen Foods Malaysia","B005","Klang 88 Speedmart",1,1,1,100,66.86,5,Excellent
2021-04,"Frozen Foods Malaysia","B004","Shah Alam 88 Speedmart",1,1,1,100,209.96,8,Excellent
2021-04,"Global Grocery Supply","B006","Johor Bahru 88 Speedmart",1,1,1,100,9570.39,0,Excellent
2021-04,"Global Grocery Supply","B005","Klang 88 Speedmart",1,1,1,100,203.92,7,Excellent
2021-04,"Green Harvest Trading","B002","Cheras 88 Speedmart",1,1,1,100,1036.72,3,Excellent
2021-04,"Green Harvest Trading","B006","Johor Bahru 88 Speedmart",4,4,4,100,14651.81,.2,Excellent
2021-04,"Green Harvest Trading","B005","Klang 88 Speedmart",1,1,1,100,394.5,4,Excellent
2021-04,"Home Essentials Enterprise","B006","Johor Bahru 88 Speedmart",2,2,2,100,2221.6,.8,Excellent
2021-04,"Home Essentials Enterprise","B004","Shah Alam 88 Speedmart",1,1,1,100,358.8,11,Excellent
2021-04,"Nusa Kitchen Supplies","B006","Johor Bahru 88 Speedmart",2,2,2,100,3243.07,.4,Excellent
2021-04,"Nusa Kitchen Supplies","B003","Petaling Jaya 88 Speedmart",1,1,1,100,407.21,7,Excellent
2021-04,"Nusa Kitchen Supplies","B004","Shah Alam 88 Speedmart",1,1,1,100,209.78,7,Excellent
2021-04,"Sinar Padi Enterprise","B006","Johor Bahru 88 Speedmart",2,2,2,100,3317.2,.4,Excellent
2021-05,"Arctic Chill Logistics","B005","Klang 88 Speedmart",1,1,1,100,1133.32,11,Excellent
2021-05,"Arctic Chill Logistics","B003","Petaling Jaya 88 Speedmart",1,1,1,100,1400.01,13,Excellent
2021-05,"Clean & Clear Resources","B004","Shah Alam 88 Speedmart",1,1,1,100,920.82,7,Excellent
2021-05,"Dairy Fresh Sdn Bhd","B003","Petaling Jaya 88 Speedmart",1,1,1,100,1201.9,3,Excellent
2021-05,"Dry Goods Trading Co","B005","Klang 88 Speedmart",1,1,1,100,99.49,11,Excellent
2021-05,"Farm to Table Sdn Bhd","B001","Ampang 88 Speedmart",1,1,1,100,672.32,12,Excellent
2021-05,"Global Grocery Supply","B006","Johor Bahru 88 Speedmart",1,1,1,100,354.73,8,Excellent
2021-05,"Global Grocery Supply","B005","Klang 88 Speedmart",1,1,1,100,174.72,4,Excellent
2021-05,"Green Harvest Trading","B002","Cheras 88 Speedmart",1,1,1,100,559.61,4,Excellent
2021-05,"Green Harvest Trading","B005","Klang 88 Speedmart",1,1,1,100,1355.12,2,Excellent
2021-05,"Green Harvest Trading","B004","Shah Alam 88 Speedmart",1,1,1,100,2151.32,3,Excellent
2021-05,"Home Essentials Enterprise","B005","Klang 88 Speedmart",1,1,1,100,337.06,11,Excellent
2021-05,"Home Essentials Enterprise","B003","Petaling Jaya 88 Speedmart",1,1,1,100,236.4,14,Excellent
2021-05,"Home Essentials Enterprise","B004","Shah Alam 88 Speedmart",1,1,1,100,198.69,9,Excellent
2021-05,"Nusa Kitchen Supplies","B002","Cheras 88 Speedmart",1,1,1,100,916.15,7,Excellent
2021-05,"Nusa Kitchen Supplies","B005","Klang 88 Speedmart",1,1,1,100,450.41,7,Excellent
2021-05,"Nusa Kitchen Supplies","B004","Shah Alam 88 Speedmart",1,1,1,100,292.77,4,Excellent
2021-05,"Sinar Padi Enterprise","B006","Johor Bahru 88 Speedmart",3,3,3,100,469.14,4,Excellent
2021-05,"Sinar Padi Enterprise","B004","Shah Alam 88 Speedmart",1,0,0,0,114.87,0,Poor
2021-06,"Dry Goods Trading Co","B001","Ampang 88 Speedmart",1,1,1,100,204.46,11,Excellent
2021-06,"Dry Goods Trading Co","B003","Petaling Jaya 88 Speedmart",1,1,1,100,1143.82,12,Excellent
2021-06,"Global Grocery Supply","B002","Cheras 88 Speedmart",1,1,1,100,73.34,8,Excellent
2021-06,"Global Grocery Supply","B005","Klang 88 Speedmart",1,1,1,100,40.69,6,Excellent
2021-06,"Green Harvest Trading","B006","Johor Bahru 88 Speedmart",3,3,3,100,400.88,1.5,Excellent
2021-06,"Green Harvest Trading","B003","Petaling Jaya 88 Speedmart",2,2,2,100,1302.2,4,Excellent
2021-06,"Green Harvest Trading","B004","Shah Alam 88 Speedmart",1,1,1,100,1328,3,Excellent
2021-06,"Home Essentials Enterprise","B002","Cheras 88 Speedmart",1,1,1,100,2258.93,9,Excellent
