"PATTERN_TYPE","PERIOD_KEY","PERIOD_LABEL","SORT_ORDER","TOTAL_DAYS","SALES_AMOUNT_BEFORE_REFUNDS","REFUND_AMOUNT","NET_SALES","TOTAL_ORDERS","TOTAL_QUANTITY","PERCENT_OF_TOTAL_NET_SALES","AVG_DAILY_NET_SALES","SEASONAL_INDEX","SALES_LIFT_PCT"
"YEAR_MONTH",202207,"2022-07",202207,31,19030.88,0,19030.88,532,3306,1.09,613.9,.7684,
"YEAR_MONTH",202208,"2022-08",202208,31,21606.46,0,21606.46,524,3381,1.23,696.98,.8724,
"YEAR_MONTH",202209,"2022-09",202209,30,19402.51,0,19402.51,485,3088,1.11,646.75,.8095,
"YEAR_MONTH",202210,"2022-10",202210,31,23459.21,0,23459.21,554,3609,1.34,756.75,.9472,
"YEAR_MONTH",202211,"2022-11",202211,30,27126.38,0,27126.38,712,4240,1.55,904.21,1.1318,
"YEAR_MONTH",202212,"2022-12",202212,31,42394.04,0,42394.04,1109,6854,2.42,1367.55,1.7118,
"YEAR_MONTH",202301,"2023-01",202301,31,31295.38,0,31295.38,781,5015,1.79,1009.53,1.2636,
"YEAR_MONTH",202302,"2023-02",202302,28,16587.15,0,16587.15,464,2851,.95,592.4,.7415,
"YEAR_MONTH",202303,"2023-03",202303,31,21709.62,0,21709.62,540,3361,1.24,700.31,.8766,
"YEAR_MONTH",202304,"2023-04",202304,30,22425.53,0,22425.53,585,3667,1.28,747.52,.9357,
"YEAR_MONTH",202305,"2023-05",202305,31,21106.32,0,21106.32,540,3354,1.21,680.85,.8522,
"YEAR_MONTH",202306,"2023-06",202306,30,28709.44,0,28709.44,758,4724,1.64,956.98,1.1978,
"YEAR_MONTH",202307,"2023-07",202307,31,22895.11,0,22895.11,594,3649,1.31,738.55,.9244,
"YEAR_MONTH",202308,"2023-08",202308,31,20962.58,0,20962.58,529,3328,1.2,676.21,.8464,
"YEAR_MONTH",202309,"2023-09",202309,30,18353.74,0,18353.74,495,3118,1.05,611.79,.7658,
"YEAR_MONTH",202310,"2023-10",202310,31,22837.3,0,22837.3,535,3443,1.3,736.69,.9221,
"YEAR_MONTH",202311,"2023-11",202311,30,34148.87,0,34148.87,842,5484,1.95,1138.3,1.4248,
"YEAR_MONTH",202312,"2023-12",202312,31,48747.44,0,48747.44,1229,7654,2.78,1572.5,1.9683,
"YEAR_MONTH",202401,"2024-01",202401,31,24217.27,0,24217.27,638,4041,1.38,781.2,.9778,
"YEAR_MONTH",202402,"2024-02",202402,29,24962.06,0,24962.06,653,4074,1.43,860.76,1.0774,
"YEAR_MONTH",202403,"2024-03",202403,31,22396.39,0,22396.39,577,3462,1.28,722.46,.9043,
"YEAR_MONTH",202404,"2024-04",202404,30,25060.82,0,25060.82,616,3777,1.43,835.36,1.0456,
"YEAR_MONTH",202405,"2024-05",202405,31,21608.79,0,21608.79,533,3346,1.23,697.06,.8725,
"YEAR_MONTH",202406,"2024-06",202406,30,29308.65,0,29308.65,773,4773,1.67,976.96,1.2228,
"YEAR_MONTH",202407,"2024-07",202407,31,27282.8,0,27282.8,682,4251,1.56,880.09,1.1016,
"YEAR_MONTH",202408,"2024-08",202408,31,22472.57,0,22472.57,539,3528,1.28,724.92,.9074,
"YEAR_MONTH",202409,"2024-09",202409,30,22907.15,0,22907.15,557,3556,1.31,763.57,.9558,
"YEAR_MONTH",202410,"2024-10",202410,31,26750,0,26750,612,3869,1.53,862.9,1.0801,
"YEAR_MONTH",202411,"2024-11",202411,30,31937.45,0,31937.45,847,5334,1.82,1064.58,1.3325,
"YEAR_MONTH",202412,"2024-12",202412,31,52021.19,0,52021.19,1362,8258,2.97,1678.1,2.1005,
"YEAR_MONTH",202501,"2025-01",202501,31,32091.6,0,32091.6,835,5108,1.83,1035.21,1.2958,
"YEAR_MONTH",202502,"2025-02",202502,28,22426.43,0,22426.43,569,3514,1.28,800.94,1.0025,
"YEAR_MONTH",202503,"2025-03",202503,31,25661.52,0,25661.52,647,4057,1.47,827.79,1.0361,
"YEAR_MONTH",202504,"2025-04",202504,30,22901.88,0,22901.88,576,3705,1.31,763.4,.9555,
"YEAR_MONTH",202505,"2025-05",202505,31,24603.63,0,24603.63,631,3947,1.4,793.67,.9934,
"YEAR_MONTH",202506,"2025-06",202506,30,36531.01,0,36531.01,892,5527,2.09,1217.7,1.5242,
"YEAR_MONTH",202507,"2025-07",202507,31,23137.5,0,23137.5,610,3754,1.32,746.37,.9342,
"YEAR_MONTH",202508,"2025-08",202508,31,25135.41,0,25135.41,659,3968,1.44,810.82,1.0149,
"YEAR_MONTH",202509,"2025-09",202509,30,23286.2,0,23286.2,571,3630,1.33,776.21,.9716,
"YEAR_MONTH",202510,"2025-10",202510,31,24626.64,0,24626.64,624,3860,1.41,794.41,.9944,
"YEAR_MONTH",202511,"2025-11",202511,30,35957.5,0,35957.5,910,5619,2.05,1198.58,1.5003,
"YEAR_MONTH",202512,"2025-12",202512,31,53657.33,0,53657.33,1338,8189,3.06,1730.88,2.1665,
"QUARTER_OF_YEAR",1,"Q1",1,542,386129.68,0,386129.68,10184,63045,22.05,712.42,.8917,
"QUARTER_OF_YEAR",2,"Q2",2,546,411956.01,0,411956.01,10808,67062,23.52,754.5,.9444,
"QUARTER_OF_YEAR",3,"Q3",3,552,369807.47,0,369807.47,9613,60153,21.12,669.94,.8386,
"QUARTER_OF_YEAR",4,"Q4",4,552,583336.31,0,583336.31,15051,93127,33.31,1056.77,1.3227,
"YEAR_QUARTER",20201,"2020-Q1",20201,91,52413.66,0,52413.66,1402,8679,2.99,575.97,.7209,
"YEAR_QUARTER",20202,"2020-Q2",20202,91,55389.46,0,55389.46,1559,9605,3.16,608.68,.7619,
"YEAR_QUARTER",20203,"2020-Q3",20203,92,49081.18,0,49081.18,1373,8432,2.8,533.49,.6678,
"YEAR_QUARTER",20204,"2020-Q4",20204,92,77198.03,0,77198.03,2135,13064,4.41,839.11,1.0503,
"YEAR_QUARTER",20211,"2021-Q1",20211,90,54220.74,0,54220.74,1491,9192,3.1,602.45,.7541,
"YEAR_QUARTER",20212,"2021-Q2",20212,91,61402.27,0,61402.27,1659,10225,3.51,674.75,.8446,
"YEAR_QUARTER",20213,"2021-Q3",20213,92,54253.38,0,54253.38,1463,9164,3.1,589.71,.7381,
"YEAR_QUARTER",20214,"2021-Q4",20214,92,82474.93,0,82474.93,2242,13650,4.71,896.47,1.1221,
"YEAR_QUARTER",20221,"2022-Q1",20221,90,58147.86,0,58147.86,1587,9691,3.32,646.09,.8087,
"YEAR_QUARTER",20222,"2022-Q2",20222,91,62908.21,0,62908.21,1686,10412,3.59,691.3,.8653,
"YEAR_QUARTER",20223,"2022-Q3",20223,92,60039.85,0,60039.85,1541,9775,3.43,652.61,.8169,
"YEAR_QUARTER",20224,"2022-Q4",20224,92,92979.63,0,92979.63,2375,14703,5.31,1010.65,1.265,
"YEAR_QUARTER",20231,"2023-Q1",20231,90,69592.15,0,69592.15,1785,11227,3.97,773.25,.9679,
"YEAR_QUARTER",20232,"2023-Q2",20232,91,72241.29,0,72241.29,1883,11745,4.13,793.86,.9937,
"YEAR_QUARTER",20233,"2023-Q3",20233,92,62211.43,0,62211.43,1618,10095,3.55,676.21,.8464,
"YEAR_QUARTER",20234,"2023-Q4",20234,92,105733.61,0,105733.61,2606,16581,6.04,1149.28,1.4385,
"YEAR_QUARTER",20241,"2024-Q1",20241,91,71575.72,0,71575.72,1868,11577,4.09,786.55,.9845,
"YEAR_QUARTER",20242,"2024-Q2",20242,91,75978.26,0,75978.26,1922,11896,4.34,834.93,1.0451,
"YEAR_QUARTER",20243,"2024-Q3",20243,92,72662.52,0,72662.52,1778,11335,4.15,789.81,.9886,
"YEAR_QUARTER",20244,"2024-Q4",20244,92,110708.64,0,110708.64,2821,17461,6.32,1203.35,1.5062,
"YEAR_QUARTER",20251,"2025-Q1",20251,90,80179.55,0,80179.55,2051,12679,4.58,890.88,1.1151,
"YEAR_QUARTER",20252,"2025-Q2",20252,91,84036.52,0,84036.52,2099,13179,4.8,923.48,1.1559,
"YEAR_QUARTER",20253,"2025-Q3",20253,92,71559.11,0,71559.11,1840,11352,4.09,777.82,.9736,
"YEAR_QUARTER",20254,"2025-Q4",20254,92,114241.47,0,114241.47,2872,17668,6.52,1241.76,1.5543,
"HOLIDAY_FLAG",1,"Holiday",1,184,158311.42,0,158311.42,4038,25101,9.04,860.39,1.0769,8.46
"HOLIDAY_FLAG",2,"Non-Holiday",2,2008,1592918.05,0,1592918.05,41618,258286,90.96,793.29,.9929,
"SEASON",,"Chinese New Year Holiday",1,2,1632.35,0,1632.35,51,315,.09,816.18,1.0216,2.89
"SEASON",,"Chinese New Year's Day",1,6,6320.47,0,6320.47,169,1071,.36,1053.41,1.3185,32.79
"SEASON",,"Christmas Day",1,6,7957.51,0,7957.51,187,1173,.45,1326.25,1.6601,67.18
"SEASON",,"Christmas Day observed",1,1,829.89,0,829.89,28,149,.05,829.89,1.0388,4.61
"SEASON",,"Christmas Eve",1,6,9472.14,0,9472.14,231,1354,.54,1578.69,1.976,99.01
"SEASON",,"Day of Arafat",1,3,3056.34,0,3056.34,77,485,.17,1018.78,1.2752,28.43
"SEASON",,"Diwali",1,6,6661.32,0,6661.32,162,988,.38,1110.22,1.3897,39.95
"SEASON",,"Easter Sunday",1,6,4303.81,0,4303.81,122,701,.25,717.3,.8978,-9.58
"SEASON",,"Election Eve Holiday",1,1,737.55,0,737.55,13,93,.04,737.55,.9232,-7.03
"SEASON",,"Election Eve day off",1,1,1011.05,0,1011.05,33,200,.06,1011.05,1.2655,27.45
"SEASON",,"Elections Victory Public Holiday",1,1,509.17,0,509.17,15,86,.03,509.17,.6373,-35.82
"SEASON",,"Federal Territory Day",1,5,3705.06,0,3705.06,97,586,.21,741.01,.9275,-6.59
"SEASON",,"First Day of Ramadan",1,6,4404.95,0,4404.95,94,630,.25,734.16,.9189,-7.45
"SEASON",,"General Elections",1,1,1023.68,0,1023.68,24,136,.06,1023.68,1.2813,29.04
"SEASON",,"Good Friday",1,6,2829.85,0,2829.85,77,466,.16,471.64,.5904,-40.55
"SEASON",,"Hari Raya Haji",1,6,5090.9,0,5090.9,134,865,.29,848.48,1.062,6.96
"SEASON",,"Hari Raya Haji Day 2",1,6,5008.17,0,5008.17,130,761,.29,834.7,1.0448,5.22
"SEASON",,"Hari Raya Haji holiday",1,1,779.68,0,779.68,19,114,.04,779.68,.9759,-1.72
"SEASON",,"Hari Raya Puasa",1,7,6561.76,0,6561.76,174,1086,.37,937.39,1.1733,18.17
"SEASON",,"Hari Raya Puasa Holiday",1,1,766.15,0,766.15,19,128,.04,766.15,.959,-3.42
"SEASON",,"Hari Raya Puasa Holiday Day 2",1,6,5849.55,0,5849.55,143,866,.33,974.93,1.2203,22.9
"SEASON",,"Harvest Festival",1,6,5021.63,0,5021.63,121,752,.29,836.94,1.0476,5.5
"SEASON",,"Isra and Mi'raj",1,6,5079.62,0,5079.62,122,766,.29,846.6,1.0597,6.72
"SEASON",,"Labour Day",1,6,3371.57,0,3371.57,97,622,.19,561.93,.7034,-29.16
"SEASON",,"Labour Day observed",1,1,886.01,0,886.01,22,124,.05,886.01,1.109,11.69
"SEASON",,"Malaysia Day",1,6,3459.52,0,3459.52,76,547,.2,576.59,.7217,-27.32
"SEASON",,"Malaysia Day Holiday",1,1,519.59,0,519.59,19,115,.03,519.59,.6504,-34.5
"SEASON",,"Malaysia's National Day",1,6,4773.14,0,4773.14,115,715,.27,795.52,.9958,.28
"SEASON",,"Muharram",1,5,4088.23,0,4088.23,94,580,.23,817.65,1.0234,3.07
"SEASON",,"Muharram Holiday",1,1,1253.78,0,1253.78,26,162,.07,1253.78,1.5693,58.05
"SEASON",,"New Year's Day",1,6,4227.5,0,4227.5,125,769,.24,704.58,.8819,-11.18
"SEASON",,"New Year's Day observed",1,1,1075.92,0,1075.92,25,172,.06,1075.92,1.3467,35.63
"SEASON",,"New Year's Eve",1,6,9592.55,0,9592.55,257,1580,.55,1598.76,2.0012,101.54
"SEASON",,"Nuzul Al-Quran",1,6,3147.25,0,3147.25,88,524,.18,524.54,.6566,-33.88
"SEASON",,"Prophet Muhammad Birthday Holiday",1,1,736.91,0,736.91,17,127,.04,736.91,.9224,-7.11
"SEASON",,"Second Day of Chinese New Year",1,6,6185.92,0,6185.92,154,954,.35,1030.99,1.2905,29.96
"SEASON",,"Second Day of Harvest Festival",1,6,4842.19,0,4842.19,111,724,.28,807.03,1.0102,1.73
"SEASON",,"Second Harvest observed",1,1,1162.06,0,1162.06,29,188,.07,1162.06,1.4545,46.49
"SEASON",,"Thaipusam",1,6,3291.48,0,3291.48,91,607,.19,548.58,.6867,-30.85
"SEASON",,"The Prophet Muhammad's Birthday",1,5,2785.54,0,2785.54,79,493,.16,557.11,.6973,-29.77
"SEASON",,"The Yang di-Pertuan Agong's Birthday",1,6,6200.33,0,6200.33,160,1015,.35,1033.39,1.2935,30.27
"SEASON",,"Valentine's Day",1,6,3847.09,0,3847.09,97,628,.22,641.18,.8026,-19.17
"SEASON",,"Wesak Day",1,6,4252.24,0,4252.24,114,684,.24,708.71,.8871,-10.66
"SEASON",,"Normal Period",999999,2008,1592918.05,0,1592918.05,41618,258286,90.96,793.29,.9929,
