CAL_DATE,BRANCH_NAME,CATEGORY_NAME,ITEM_NAME,QUANTITY_ON_HAND,IS_MYKASIH_ELIGIBLE,AVG_DAILY_SALES,DAYS_OF_SUPPLY,SUGGESTED_REORDER_POINT,SUGGESTED_MAX_LEVEL,STOCK_STATUS,ACTION_REQUIRED
2020-06-30,"Cheras 88 Speedmart","Alcoholic Beverages","Wain Putih 750ml",99,N,1.91,51.9,15,73,EXCESS,FREEZE PURCHASING
2020-05-31,"Cheras 88 Speedmart","Alcoholic Beverages","Wain Putih 750ml",113,N,1.91,59.2,15,73,EXCESS,FREEZE PURCHASING
2020-04-30,"Cheras 88 Speedmart","Alcoholic Beverages","Wain Putih 750ml",126,N,1.91,66,15,73,EXCESS,FREEZE PURCHASING
2020-06-30,"Cheras 88 Speedmart","Household Cleaning","Detergen 2kg",274,Y,2.08,131.5,17,79,EXCESS,FREEZE PURCHASING
2020-05-31,"Cheras 88 Speedmart","Household Cleaning","Detergen 2kg",281,Y,2.08,134.9,17,79,EXCESS,FREEZE PURCHASING
2020-06-30,"Ampang 88 Speedmart","Cooking Essentials","Cuka 500ml",243,N,2.13,114.4,17,81,EXCESS,FREEZE PURCHASING
2020-05-31,"Ampang 88 Speedmart","Cooking Essentials","Cuka 500ml",255,N,2.13,120,17,81,EXCESS,FREEZE PURCHASING
2020-04-30,"Ampang 88 Speedmart","Cooking Essentials","Cuka 500ml",264,N,2.13,124.2,17,81,EXCESS,FREEZE PURCHASING
2020-04-30,"Cheras 88 Speedmart","Frozen Food","Sayuran Beku 300g",171,N,3,57,21,114,EXCESS,FREEZE PURCHASING
2020-05-31,"Cheras 88 Speedmart","Canned and Packaged Food","Cendawan Sup 300g",29,N,2,14.5,17,76,NORMAL,MONITOR
2020-04-30,"Cheras 88 Speedmart","Canned and Packaged Food","Cendawan Sup 300g",39,N,2,19.5,17,76,NORMAL,MONITOR
2020-06-30,"Cheras 88 Speedmart","Household Cleaning","Pembersih Kaca 500ml",73,Y,1.9,38.4,15,72,EXCESS,FREEZE PURCHASING
2020-05-31,"Cheras 88 Speedmart","Household Cleaning","Pembersih Kaca 500ml",100,Y,1.9,52.6,15,72,EXCESS,FREEZE PURCHASING
2020-04-30,"Cheras 88 Speedmart","Household Cleaning","Pembersih Kaca 500ml",115,Y,1.9,60.5,15,72,EXCESS,FREEZE PURCHASING
2020-06-30,"Cheras 88 Speedmart","Rice and Grains","Tepung Gandum 1kg",339,N,1.92,176.9,16,73,EXCESS,FREEZE PURCHASING
2020-05-31,"Cheras 88 Speedmart","Rice and Grains","Tepung Gandum 1kg",354,N,1.92,184.7,16,73,EXCESS,FREEZE PURCHASING
2020-04-30,"Cheras 88 Speedmart","Rice and Grains","Tepung Gandum 1kg",372,N,1.92,194.1,16,73,EXCESS,FREEZE PURCHASING
2020-06-30,"Ampang 88 Speedmart","Dairy Products","Susu Kambing 1L",38,Y,1.46,26,12,56,NORMAL,MONITOR
2020-05-31,"Ampang 88 Speedmart","Dairy Products","Susu Kambing 1L",53,Y,1.46,36.3,12,56,NORMAL,MONITOR
2020-04-30,"Ampang 88 Speedmart","Dairy Products","Susu Kambing 1L",59,Y,1.46,40.4,12,56,EXCESS,FREEZE PURCHASING
2020-06-30,"Ampang 88 Speedmart","Beverages","Kola 330ml",249,N,1.42,175.8,11,54,EXCESS,FREEZE PURCHASING
2020-05-31,"Ampang 88 Speedmart","Beverages","Kola 330ml",255,N,1.42,180,11,54,EXCESS,FREEZE PURCHASING
2020-04-30,"Ampang 88 Speedmart","Beverages","Kola 330ml",272,N,1.42,192,11,54,EXCESS,FREEZE PURCHASING
2020-06-30,"Cheras 88 Speedmart","Cooking Essentials","Kicap Manis 600ml",443,Y,1.94,228.2,16,74,EXCESS,FREEZE PURCHASING
2020-05-31,"Cheras 88 Speedmart","Cooking Essentials","Kicap Manis 600ml",458,Y,1.94,235.9,16,74,EXCESS,FREEZE PURCHASING
2020-04-30,"Cheras 88 Speedmart","Cooking Essentials","Kicap Manis 600ml",477,Y,1.94,245.7,16,74,EXCESS,FREEZE PURCHASING
2020-06-30,"Cheras 88 Speedmart","Rice and Grains","Beras Super 5kg",266,N,1.95,136.1,16,74,EXCESS,FREEZE PURCHASING
2020-05-31,"Cheras 88 Speedmart","Rice and Grains","Beras Super 5kg",297,N,1.95,152,16,74,EXCESS,FREEZE PURCHASING
2020-04-30,"Cheras 88 Speedmart","Rice and Grains","Beras Super 5kg",307,N,1.95,157.1,16,74,EXCESS,FREEZE PURCHASING
2020-06-30,"Ampang 88 Speedmart","Frozen Food","Sayuran Beku 300g",49,N,2.31,21.2,19,88,NORMAL,MONITOR
2020-05-31,"Ampang 88 Speedmart","Frozen Food","Sayuran Beku 300g",68,N,2.31,29.5,19,88,NORMAL,MONITOR
2020-06-30,"Cheras 88 Speedmart","Dairy Products","Susu Rendah Lemak 1L",92,Y,2.53,36.4,20,96,NORMAL,MONITOR
2020-05-31,"Cheras 88 Speedmart","Dairy Products","Susu Rendah Lemak 1L",115,Y,2.53,45.5,20,96,EXCESS,FREEZE PURCHASING
2020-04-30,"Cheras 88 Speedmart","Dairy Products","Susu Rendah Lemak 1L",127,Y,2.53,50.2,20,96,EXCESS,FREEZE PURCHASING
2020-05-31,"Ampang 88 Speedmart","Rice and Grains","Tepung Ubi 500g",469,N,2,234.5,16,76,EXCESS,FREEZE PURCHASING
2020-04-30,"Ampang 88 Speedmart","Rice and Grains","Tepung Ubi 500g",482,N,2,241,16,76,EXCESS,FREEZE PURCHASING
2020-06-30,"Cheras 88 Speedmart","Beverages","Minuman Tenaga 250ml",159,N,2.25,70.7,18,86,EXCESS,FREEZE PURCHASING
2020-05-31,"Cheras 88 Speedmart","Beverages","Minuman Tenaga 250ml",179,N,2.25,79.6,18,86,EXCESS,FREEZE PURCHASING
2020-04-30,"Cheras 88 Speedmart","Beverages","Minuman Tenaga 250ml",190,N,2.25,84.4,18,86,EXCESS,FREEZE PURCHASING
2020-05-31,"Cheras 88 Speedmart","Frozen Food","Pizza Beku 400g",136,N,1.6,85,13,61,EXCESS,FREEZE PURCHASING
2020-07-31,"Ampang 88 Speedmart","Cooking Essentials","Madu 250g",346,N,1.67,207.6,13,63,EXCESS,FREEZE PURCHASING
2020-06-30,"Ampang 88 Speedmart","Cooking Essentials","Madu 250g",349,N,1.67,209.4,13,63,EXCESS,FREEZE PURCHASING
2020-05-31,"Ampang 88 Speedmart","Cooking Essentials","Madu 250g",361,N,1.67,216.6,13,63,EXCESS,FREEZE PURCHASING
2020-04-30,"Ampang 88 Speedmart","Cooking Essentials","Madu 250g",374,N,1.67,224.4,13,63,EXCESS,FREEZE PURCHASING
2020-04-30,"Cheras 88 Speedmart","Beverages","Teh Tarik 250ml",124,N,1.8,68.9,14,68,EXCESS,FREEZE PURCHASING
2020-04-30,"Cheras 88 Speedmart","Baby Products","Susu Formula 900g",380,N,1,380,7,38,EXCESS,FREEZE PURCHASING
2020-06-30,"Ampang 88 Speedmart","Rice and Grains","Beras Wangi 10kg",489,N,1.83,266.7,15,70,EXCESS,FREEZE PURCHASING
2020-05-31,"Ampang 88 Speedmart","Rice and Grains","Beras Wangi 10kg",504,N,1.83,274.9,15,70,EXCESS,FREEZE PURCHASING
2020-05-31,"Ampang 88 Speedmart","Instant Food","Bihun Segera 60g",306,Y,2,153,16,76,EXCESS,FREEZE PURCHASING
2020-05-31,"Cheras 88 Speedmart","Organic Foods","Beras Organik 5kg",47,N,2.13,22.1,17,81,NORMAL,MONITOR
2020-05-31,"Ampang 88 Speedmart","Organic Foods","Beras Organik 5kg",167,N,2,83.5,16,76,EXCESS,FREEZE PURCHASING
2020-05-31,"Cheras 88 Speedmart","Beverages","Minuman Isotonic 500ml",46,N,2.19,21,18,83,NORMAL,MONITOR
2020-06-30,"Cheras 88 Speedmart","Personal Care","Pembersih Muka 100ml",105,N,1.6,65.6,14,61,EXCESS,FREEZE PURCHASING
2020-05-31,"Cheras 88 Speedmart","Personal Care","Pembersih Muka 100ml",123,N,1.6,76.9,14,61,EXCESS,FREEZE PURCHASING
2020-06-30,"Cheras 88 Speedmart","Baby Products","Pampers S 24pcs",55,Y,1.2,45.8,9,46,EXCESS,FREEZE PURCHASING
2020-06-30,"Ampang 88 Speedmart","Alcoholic Beverages","Whisky 700ml",207,N,2.5,82.8,20,95,EXCESS,FREEZE PURCHASING
2020-06-30,"Ampang 88 Speedmart","Personal Care","Syampu 500ml",270,N,2,135,15,76,EXCESS,FREEZE PURCHASING
2020-06-30,"Cheras 88 Speedmart","Household Cleaning","Penyapu 1pc",110,Y,1,110,7,38,EXCESS,FREEZE PURCHASING
2020-06-30,"Ampang 88 Speedmart","Snacks and Confectionery","Biskut 200g",117,N,2,58.5,14,76,EXCESS,FREEZE PURCHASING
2020-06-30,"Ampang 88 Speedmart","Instant Food","Nasi Segera 200g",62,Y,3,20.7,24,114,NORMAL,MONITOR
2020-06-30,"Ampang 88 Speedmart","Premium Items","Kaviar 50g",17,N,2.5,6.8,22,95,LOW,PLANNED REORDER
2020-06-30,"Cheras 88 Speedmart","Instant Food","Oat Segera 1kg",214,N,1,214,7,38,EXCESS,FREEZE PURCHASING
2020-07-31,"Cheras 88 Speedmart","Household Cleaning","Pembersih Kaca 500ml",66,Y,1,66,7,38,EXCESS,FREEZE PURCHASING
2020-12-31,"Cheras 88 Speedmart","Instant Food","Mee Segera 80g",281,Y,1.57,179.5,13,59,EXCESS,FREEZE PURCHASING
2020-11-30,"Cheras 88 Speedmart","Instant Food","Mee Segera 80g",291,Y,1.57,185.9,13,59,EXCESS,FREEZE PURCHASING
2020-10-31,"Cheras 88 Speedmart","Instant Food","Mee Segera 80g",310,Y,1.57,198.1,13,59,EXCESS,FREEZE PURCHASING
2020-09-30,"Cheras 88 Speedmart","Instant Food","Mee Segera 80g",315,Y,1.57,201.3,13,59,EXCESS,FREEZE PURCHASING
2020-08-31,"Cheras 88 Speedmart","Instant Food","Mee Segera 80g",320,Y,1.57,204.4,13,59,EXCESS,FREEZE PURCHASING
2020-07-31,"Cheras 88 Speedmart","Instant Food","Mee Segera 80g",325,Y,1.57,207.6,13,59,EXCESS,FREEZE PURCHASING
2020-10-31,"Cheras 88 Speedmart","Baby Products","Pampers S 24pcs",32,Y,1.67,19.2,13,63,NORMAL,MONITOR
2020-09-30,"Cheras 88 Speedmart","Baby Products","Pampers S 24pcs",33,Y,1.67,19.8,13,63,NORMAL,MONITOR
2020-08-31,"Cheras 88 Speedmart","Baby Products","Pampers S 24pcs",41,Y,1.67,24.6,13,63,NORMAL,MONITOR
2020-07-31,"Cheras 88 Speedmart","Baby Products","Pampers S 24pcs",45,Y,1.67,27,13,63,NORMAL,MONITOR
2020-07-31,"Petaling Jaya 88 Speedmart","Beverages","Kola 330ml",177,N,1.33,132.8,11,51,EXCESS,FREEZE PURCHASING
2020-10-31,"Cheras 88 Speedmart","Rice and Grains","Tepung Gandum 1kg",305,N,1.89,161.5,15,72,EXCESS,FREEZE PURCHASING
2020-09-30,"Cheras 88 Speedmart","Rice and Grains","Tepung Gandum 1kg",305,N,1.89,161.5,15,72,EXCESS,FREEZE PURCHASING
2020-08-31,"Cheras 88 Speedmart","Rice and Grains","Tepung Gandum 1kg",314,N,1.89,166.2,15,72,EXCESS,FREEZE PURCHASING
2020-07-31,"Cheras 88 Speedmart","Rice and Grains","Tepung Gandum 1kg",331,N,1.89,175.2,15,72,EXCESS,FREEZE PURCHASING
2020-12-31,"Cheras 88 Speedmart","Canned and Packaged Food","Kacang Hancur 425g",10,Y,1.67,6,13,63,LOW,PLANNED REORDER
2020-11-30,"Cheras 88 Speedmart","Canned and Packaged Food","Kacang Hancur 425g",26,Y,1.67,15.6,13,63,NORMAL,MONITOR
2020-10-31,"Cheras 88 Speedmart","Canned and Packaged Food","Kacang Hancur 425g",35,Y,1.67,21,13,63,NORMAL,MONITOR
2020-09-30,"Cheras 88 Speedmart","Canned and Packaged Food","Kacang Hancur 425g",44,Y,1.67,26.4,13,63,NORMAL,MONITOR
2020-08-31,"Cheras 88 Speedmart","Canned and Packaged Food","Kacang Hancur 425g",45,Y,1.67,27,13,63,NORMAL,MONITOR
2020-07-31,"Cheras 88 Speedmart","Canned and Packaged Food","Kacang Hancur 425g",13,Y,1.67,7.8,13,63,NORMAL,MONITOR
2020-08-31,"Petaling Jaya 88 Speedmart","Snacks and Confectionery","Keropok 100g",28,N,1.78,15.7,14,68,NORMAL,MONITOR
2020-07-31,"Petaling Jaya 88 Speedmart","Snacks and Confectionery","Keropok 100g",34,N,1.78,19.1,14,68,NORMAL,MONITOR
2020-12-31,"Petaling Jaya 88 Speedmart","Canned and Packaged Food","Sardin 425g",159,N,2.22,71.6,18,84,EXCESS,FREEZE PURCHASING
2020-11-30,"Petaling Jaya 88 Speedmart","Canned and Packaged Food","Sardin 425g",165,N,2.22,74.3,18,84,EXCESS,FREEZE PURCHASING
2020-10-31,"Petaling Jaya 88 Speedmart","Canned and Packaged Food","Sardin 425g",181,N,2.22,81.5,18,84,EXCESS,FREEZE PURCHASING
2020-09-30,"Petaling Jaya 88 Speedmart","Canned and Packaged Food","Sardin 425g",186,N,2.22,83.7,18,84,EXCESS,FREEZE PURCHASING
2020-08-31,"Petaling Jaya 88 Speedmart","Canned and Packaged Food","Sardin 425g",189,N,2.22,85.1,18,84,EXCESS,FREEZE PURCHASING
2020-07-31,"Petaling Jaya 88 Speedmart","Canned and Packaged Food","Sardin 425g",195,N,2.22,87.8,18,84,EXCESS,FREEZE PURCHASING
2020-10-31,"Petaling Jaya 88 Speedmart","Dairy Products","Krim 200ml",217,Y,1.94,111.8,16,74,EXCESS,FREEZE PURCHASING
2020-09-30,"Petaling Jaya 88 Speedmart","Dairy Products","Krim 200ml",226,Y,1.94,116.4,16,74,EXCESS,FREEZE PURCHASING
2020-08-31,"Petaling Jaya 88 Speedmart","Dairy Products","Krim 200ml",231,Y,1.94,119,16,74,EXCESS,FREEZE PURCHASING
2020-07-31,"Petaling Jaya 88 Speedmart","Dairy Products","Krim 200ml",237,Y,1.94,122.1,16,74,EXCESS,FREEZE PURCHASING
2020-12-31,"Petaling Jaya 88 Speedmart","Canned and Packaged Food","Tuna Chunk 185g",203,Y,1.55,131.1,13,59,EXCESS,FREEZE PURCHASING
2020-11-30,"Petaling Jaya 88 Speedmart","Canned and Packaged Food","Tuna Chunk 185g",215,Y,1.55,138.9,13,59,EXCESS,FREEZE PURCHASING
2020-10-31,"Petaling Jaya 88 Speedmart","Canned and Packaged Food","Tuna Chunk 185g",224,Y,1.55,144.7,13,59,EXCESS,FREEZE PURCHASING
2020-09-30,"Petaling Jaya 88 Speedmart","Canned and Packaged Food","Tuna Chunk 185g",238,Y,1.55,153.7,13,59,EXCESS,FREEZE PURCHASING
2020-08-31,"Petaling Jaya 88 Speedmart","Canned and Packaged Food","Tuna Chunk 185g",246,Y,1.55,158.9,13,59,EXCESS,FREEZE PURCHASING
2020-07-31,"Petaling Jaya 88 Speedmart","Canned and Packaged Food","Tuna Chunk 185g",251,Y,1.55,162.1,13,59,EXCESS,FREEZE PURCHASING
2020-09-30,"Petaling Jaya 88 Speedmart","Rice and Grains","Beras Basmathi 5kg",607,Y,2,303.5,16,76,EXCESS,FREEZE PURCHASING
2020-08-31,"Petaling Jaya 88 Speedmart","Rice and Grains","Beras Basmathi 5kg",615,Y,2,307.5,16,76,EXCESS,FREEZE PURCHASING
2020-07-31,"Petaling Jaya 88 Speedmart","Rice and Grains","Beras Basmathi 5kg",624,Y,2,312,16,76,EXCESS,FREEZE PURCHASING
2020-09-30,"Ampang 88 Speedmart","Rice and Grains","Tepung Beras 500g",455,N,1.88,242.7,15,71,EXCESS,FREEZE PURCHASING
2020-08-31,"Ampang 88 Speedmart","Rice and Grains","Tepung Beras 500g",459,N,1.88,244.8,15,71,EXCESS,FREEZE PURCHASING
2020-07-31,"Ampang 88 Speedmart","Rice and Grains","Tepung Beras 500g",462,N,1.88,246.4,15,71,EXCESS,FREEZE PURCHASING
2020-12-31,"Ampang 88 Speedmart","Canned and Packaged Food","Daging Lembu 400g",247,Y,1.91,129.1,16,73,EXCESS,FREEZE PURCHASING
2020-11-30,"Ampang 88 Speedmart","Canned and Packaged Food","Daging Lembu 400g",258,Y,1.91,134.9,16,73,EXCESS,FREEZE PURCHASING
2020-10-31,"Ampang 88 Speedmart","Canned and Packaged Food","Daging Lembu 400g",271,Y,1.91,141.7,16,73,EXCESS,FREEZE PURCHASING
2020-09-30,"Ampang 88 Speedmart","Canned and Packaged Food","Daging Lembu 400g",97,Y,1.91,50.7,16,73,EXCESS,FREEZE PURCHASING
2020-08-31,"Ampang 88 Speedmart","Canned and Packaged Food","Daging Lembu 400g",105,Y,1.91,54.9,16,73,EXCESS,FREEZE PURCHASING
2020-07-31,"Ampang 88 Speedmart","Canned and Packaged Food","Daging Lembu 400g",112,Y,1.91,58.5,16,73,EXCESS,FREEZE PURCHASING
2020-08-31,"Cheras 88 Speedmart","Stationery and Daily Needs","Pensil 12pcs",33,N,1.38,24,11,52,NORMAL,MONITOR
2020-07-31,"Cheras 88 Speedmart","Stationery and Daily Needs","Pensil 12pcs",35,N,1.38,25.5,11,52,NORMAL,MONITOR
