Branch_Name,City,Cal_Year_Month,Cal_Month_Name,Cal_Year,Total_Orders,Total_Revenue,Avg_Order_Value,Gross_Margin,Gross_Margin_Pct,Total_Returns,Return_Rate_Pct
"Cheras 88 Speedmart","Cheras",2020-05,"May",2020,308,10010.84,32.5,3748.99,37.4,15,4.87
"Cheras 88 Speedmart","Cheras",2020-06,"June",2020,296,10300.31,34.8,3886.38,37.7,23,7.77
"Cheras 88 Speedmart","Cheras",2020-07,"July",2020,173,6141.79,35.5,2191.08,35.7,10,5.78
"Cheras 88 Speedmart","Cheras",2020-08,"August",2020,161,6547.12,40.67,2298.8,35.1,11,6.83
"Cheras 88 Speedmart","Cheras",2020-09,"September",2020,117,4328.13,36.99,1546.63,35.7,5,4.27
"Cheras 88 Speedmart","Cheras",2020-10,"October",2020,100,4145.89,41.46,1440.25,34.7,5,5
"Cheras 88 Speedmart","Cheras",2020-11,"November",2020,180,6756.5,37.54,2464.67,36.5,10,5.56
"Cheras 88 Speedmart","Cheras",2020-12,"December",2020,229,8472,37,3095.9,36.5,19,8.3
"Cheras 88 Speedmart","Cheras",2021-01,"January",2021,106,3684.19,34.76,1339.41,36.4,6,5.66
"Cheras 88 Speedmart","Cheras",2021-02,"February",2021,102,3483.32,34.15,1203.36,34.5,4,3.92
"Cheras 88 Speedmart","Cheras",2021-03,"March",2021,101,4032.09,39.92,1388.19,34.4,4,3.96
"Cheras 88 Speedmart","Cheras",2021-04,"April",2021,71,2722.7,38.35,940,34.5,8,11.27
"Cheras 88 Speedmart","Cheras",2021-05,"May",2021,86,3266.9,37.99,1151.27,35.2,5,5.81
"Cheras 88 Speedmart","Cheras",2021-06,"June",2021,126,4719.8,37.46,1663.15,35.2,5,3.97
"Cheras 88 Speedmart","Cheras",2021-07,"July",2021,63,1527.92,24.25,570.35,37.3,6,9.52
"Cheras 88 Speedmart","Cheras",2021-08,"August",2021,67,2279.7,34.03,773.39,33.9,2,2.99
"Cheras 88 Speedmart","Cheras",2021-09,"September",2021,62,2325.18,37.5,783.59,33.7,7,11.29
"Cheras 88 Speedmart","Cheras",2021-10,"October",2021,80,2760.34,34.5,935.21,33.9,4,5
"Cheras 88 Speedmart","Cheras",2021-11,"November",2021,91,3138.56,34.49,1034.55,33,5,5.49
"Cheras 88 Speedmart","Cheras",2021-12,"December",2021,133,4752.95,35.74,1637.37,34.4,13,9.77
"Cheras 88 Speedmart","Cheras",2022-01,"January",2022,79,2577.88,32.63,849.21,32.9,8,10.13
"Cheras 88 Speedmart","Cheras",2022-02,"February",2022,58,2525.36,43.54,810.1,32.1,11,18.97
"Cheras 88 Speedmart","Cheras",2022-03,"March",2022,48,1790.86,37.31,588.08,32.8,6,12.5
"Cheras 88 Speedmart","Cheras",2022-04,"April",2022,55,1726.94,31.4,580.91,33.6,4,7.27
"Cheras 88 Speedmart","Cheras",2022-05,"May",2022,62,2244.02,36.19,733.26,32.7,4,6.45
"Cheras 88 Speedmart","Cheras",2022-06,"June",2022,60,2385.87,39.76,775.54,32.5,14,23.33
"Cheras 88 Speedmart","Cheras",2022-07,"July",2022,53,2032.07,38.34,633.51,31.2,4,7.55
"Cheras 88 Speedmart","Cheras",2022-08,"August",2022,54,1823.07,33.76,581.72,31.9,10,18.52
"Cheras 88 Speedmart","Cheras",2022-09,"September",2022,46,1672.92,36.37,526.52,31.5,4,8.7
"Cheras 88 Speedmart","Cheras",2022-10,"October",2022,43,1556.24,36.19,512.76,32.9,2,4.65
"Cheras 88 Speedmart","Cheras",2022-11,"November",2022,65,2082.82,32.04,670.45,32.2,1,1.54
"Cheras 88 Speedmart","Cheras",2022-12,"December",2022,115,4567.24,39.72,1402.98,30.7,10,8.7
"Cheras 88 Speedmart","Cheras",2023-01,"January",2023,76,2687.2,35.36,832.65,31,7,9.21
"Cheras 88 Speedmart","Cheras",2023-02,"February",2023,52,1941.68,37.34,587.88,30.3,4,7.69
"Cheras 88 Speedmart","Cheras",2023-03,"March",2023,47,1576.59,33.54,500.08,31.7,7,14.89
"Cheras 88 Speedmart","Cheras",2023-04,"April",2023,45,1708.56,37.97,508.99,29.8,3,6.67
"Cheras 88 Speedmart","Cheras",2023-05,"May",2023,52,2090.19,40.2,653.81,31.3,8,15.38
"Cheras 88 Speedmart","Cheras",2023-06,"June",2023,80,2895.38,36.19,919.71,31.8,7,8.75
"Cheras 88 Speedmart","Cheras",2023-07,"July",2023,50,1889.69,37.79,566.43,30,8,16
"Cheras 88 Speedmart","Cheras",2023-08,"August",2023,53,1849.63,34.9,565.4,30.6,10,18.87
"Cheras 88 Speedmart","Cheras",2023-09,"September",2023,41,1285.95,31.36,393.77,30.6,5,12.2
"Cheras 88 Speedmart","Cheras",2023-10,"October",2023,55,2715.15,49.37,774.21,28.5,5,9.09
"Cheras 88 Speedmart","Cheras",2023-11,"November",2023,75,3718.35,49.58,1049.42,28.2,3,4
"Cheras 88 Speedmart","Cheras",2023-12,"December",2023,102,4066.1,39.86,1204.78,29.6,7,6.86
"Cheras 88 Speedmart","Cheras",2024-01,"January",2024,49,2155.58,43.99,639.12,29.6,5,10.2
"Cheras 88 Speedmart","Cheras",2024-02,"February",2024,69,2243.34,32.51,667.65,29.8,12,17.39
"Cheras 88 Speedmart","Cheras",2024-03,"March",2024,52,1631.78,31.38,490.64,30.1,4,7.69
"Cheras 88 Speedmart","Cheras",2024-04,"April",2024,56,2384.79,42.59,695,29.1,8,14.29
"Cheras 88 Speedmart","Cheras",2024-05,"May",2024,53,1882.77,35.52,529.78,28.1,6,11.32
"Cheras 88 Speedmart","Cheras",2024-06,"June",2024,65,2373.65,36.52,728.05,30.7,7,10.77
"Cheras 88 Speedmart","Cheras",2024-07,"July",2024,55,1839.42,33.44,527.34,28.7,7,12.73
"Cheras 88 Speedmart","Cheras",2024-08,"August",2024,52,2073.34,39.87,546.79,26.4,7,13.46
"Cheras 88 Speedmart","Cheras",2024-09,"September",2024,49,1547.8,31.59,456.2,29.5,7,14.29
"Cheras 88 Speedmart","Cheras",2024-10,"October",2024,49,2174.64,44.38,592.05,27.2,4,8.16
"Cheras 88 Speedmart","Cheras",2024-11,"November",2024,70,2520.3,36,721.45,28.6,11,15.71
"Cheras 88 Speedmart","Cheras",2024-12,"December",2024,118,3819.39,32.37,1152.06,30.2,12,10.17
"Cheras 88 Speedmart","Cheras",2025-01,"January",2025,71,2619.39,36.89,767.13,29.3,9,12.68
"Cheras 88 Speedmart","Cheras",2025-02,"February",2025,38,1350.09,35.53,361.28,26.8,7,18.42
"Cheras 88 Speedmart","Cheras",2025-03,"March",2025,65,2782.46,42.81,753.22,27.1,7,10.77
"Cheras 88 Speedmart","Cheras",2025-04,"April",2025,43,1945.7,45.25,512.96,26.4,6,13.95
"Cheras 88 Speedmart","Cheras",2025-05,"May",2025,56,2512.57,44.87,677.23,27,11,19.64
"Cheras 88 Speedmart","Cheras",2025-06,"June",2025,84,3274.54,38.98,877.12,26.8,16,19.05
"Cheras 88 Speedmart","Cheras",2025-07,"July",2025,57,2085.33,36.58,574.28,27.5,9,15.79
"Cheras 88 Speedmart","Cheras",2025-08,"August",2025,43,1683.16,39.14,455.04,27,4,9.3
"Cheras 88 Speedmart","Cheras",2025-09,"September",2025,44,2026.73,46.06,507.91,25.1,8,18.18
"Cheras 88 Speedmart","Cheras",2025-10,"October",2025,67,2251.32,33.6,591.58,26.3,4,5.97
"Cheras 88 Speedmart","Cheras",2025-11,"November",2025,73,3400.99,46.59,844.15,24.8,8,10.96
"Cheras 88 Speedmart","Cheras",2025-12,"December",2025,120,4573.4,38.11,1233.78,27,11,9.17
"Cheras 88 Speedmart","Cheras",2026-01,"January",2026,74,2914.52,39.39,792.3,27.2,9,12.16
"Cheras 88 Speedmart","Cheras",2026-02,"February",2026,66,2748.24,41.64,792.47,28.8,18,27.27
"Cheras 88 Speedmart","Cheras",2026-03,"March",2026,79,3052.3,38.64,805.04,26.4,14,17.72
"Cheras 88 Speedmart","Cheras",2026-04,"April",2026,63,2757.6,43.77,696.94,25.3,9,14.29
"Cheras 88 Speedmart","Cheras",2026-05,"May",2026,49,2100.54,42.87,510.3,24.3,9,18.37
"Cheras 88 Speedmart","Cheras",2026-06,"June",2026,87,3635.15,41.78,912.42,25.1,18,20.69
"George Town 88 Speedmart","George Town",2021-10,"October",2021,63,2839.67,45.07,929.88,32.7,0,0
"George Town 88 Speedmart","George Town",2021-11,"November",2021,80,3192.39,39.9,1036.77,32.5,6,7.5
"George Town 88 Speedmart","George Town",2021-12,"December",2021,128,4589,35.85,1573.61,34.3,6,4.69
"George Town 88 Speedmart","George Town",2022-01,"January",2022,80,2616.56,32.71,917.05,35,5,6.25
"George Town 88 Speedmart","George Town",2022-02,"February",2022,47,1613.27,34.32,572.36,35.5,3,6.38
"George Town 88 Speedmart","George Town",2022-03,"March",2022,62,2414.79,38.95,781.79,32.4,2,3.23
"George Town 88 Speedmart","George Town",2022-04,"April",2022,54,1791.18,33.17,576.07,32.2,5,9.26
"George Town 88 Speedmart","George Town",2022-05,"May",2022,78,2349.14,30.12,748.57,31.9,9,11.54
"George Town 88 Speedmart","George Town",2022-06,"June",2022,56,1965.26,35.09,641.27,32.6,2,3.57
"George Town 88 Speedmart","George Town",2022-07,"July",2022,54,1882.18,34.86,614.39,32.6,11,20.37
"George Town 88 Speedmart","George Town",2022-08,"August",2022,57,2505.59,43.96,803.18,32.1,4,7.02
"George Town 88 Speedmart","George Town",2022-09,"September",2022,60,2397.27,39.95,754.13,31.5,3,5
"George Town 88 Speedmart","George Town",2022-10,"October",2022,51,2023.39,39.67,648.6,32.1,8,15.69
"George Town 88 Speedmart","George Town",2022-11,"November",2022,75,2866.75,38.22,918.47,32,3,4
"George Town 88 Speedmart","George Town",2022-12,"December",2022,133,5616.47,42.23,1806.44,32.2,9,6.77
"George Town 88 Speedmart","George Town",2023-01,"January",2023,85,3363.81,39.57,1048.61,31.2,11,12.94
"George Town 88 Speedmart","George Town",2023-02,"February",2023,30,1251.22,41.71,369.87,29.6,3,10
"George Town 88 Speedmart","George Town",2023-03,"March",2023,46,1867.38,40.6,581.79,31.2,2,4.35
"George Town 88 Speedmart","George Town",2023-04,"April",2023,35,1512.66,43.22,435.61,28.8,2,5.71
"George Town 88 Speedmart","George Town",2023-05,"May",2023,36,1172.21,32.56,368.67,31.5,4,11.11
"George Town 88 Speedmart","George Town",2023-06,"June",2023,53,2020.25,38.12,674.02,33.4,5,9.43
"George Town 88 Speedmart","George Town",2023-07,"July",2023,46,1562.54,33.97,452.14,28.9,3,6.52
"George Town 88 Speedmart","George Town",2023-08,"August",2023,37,1645.58,44.48,470.74,28.6,3,8.11
"George Town 88 Speedmart","George Town",2023-09,"September",2023,40,1213.98,30.35,359.7,29.6,4,10
"George Town 88 Speedmart","George Town",2023-10,"October",2023,50,2568.08,51.36,722.87,28.1,3,6
"George Town 88 Speedmart","George Town",2023-11,"November",2023,69,2791.63,40.46,868.17,31.1,9,13.04
"George Town 88 Speedmart","George Town",2023-12,"December",2023,117,4930.07,42.14,1439.87,29.2,13,11.11
"George Town 88 Speedmart","George Town",2024-01,"January",2024,61,2133.83,34.98,629.08,29.5,12,19.67
"George Town 88 Speedmart","George Town",2024-02,"February",2024,53,2468.37,46.57,719.8,29.2,8,15.09
"George Town 88 Speedmart","George Town",2024-03,"March",2024,53,2000.44,37.74,577.87,28.9,8,15.09
"George Town 88 Speedmart","George Town",2024-04,"April",2024,49,1945.86,39.71,558.6,28.7,10,20.41
"George Town 88 Speedmart","George Town",2024-05,"May",2024,40,1885.32,47.13,520.64,27.6,4,10
"George Town 88 Speedmart","George Town",2024-06,"June",2024,71,2832.95,39.9,799.42,28.2,8,11.27
"George Town 88 Speedmart","George Town",2024-07,"July",2024,58,2477.84,42.72,694.35,28,6,10.34
"George Town 88 Speedmart","George Town",2024-08,"August",2024,40,1449.38,36.23,398.06,27.5,6,15
"George Town 88 Speedmart","George Town",2024-09,"September",2024,46,1748.63,38.01,500.42,28.6,4,8.7
"George Town 88 Speedmart","George Town",2024-10,"October",2024,51,2474.58,48.52,656.64,26.5,6,11.76
"George Town 88 Speedmart","George Town",2024-11,"November",2024,68,2418.4,35.56,672.76,27.8,5,7.35
"George Town 88 Speedmart","George Town",2024-12,"December",2024,130,4448.04,34.22,1277.75,28.7,9,6.92
"George Town 88 Speedmart","George Town",2025-01,"January",2025,73,2652.25,36.33,720.37,27.2,4,5.48
"George Town 88 Speedmart","George Town",2025-02,"February",2025,40,1730.33,43.26,466.26,26.9,6,15
"George Town 88 Speedmart","George Town",2025-03,"March",2025,57,2315.06,40.62,647.66,28,5,8.77
"George Town 88 Speedmart","George Town",2025-04,"April",2025,38,1735.24,45.66,483.86,27.9,5,13.16
"George Town 88 Speedmart","George Town",2025-05,"May",2025,41,1448.68,35.33,380.3,26.3,8,19.51
"George Town 88 Speedmart","George Town",2025-06,"June",2025,68,2647.43,38.93,771.11,29.1,5,7.35
"George Town 88 Speedmart","George Town",2025-07,"July",2025,60,2301.91,38.37,632.38,27.5,12,20
"George Town 88 Speedmart","George Town",2025-08,"August",2025,68,2446.89,35.98,639.05,26.1,5,7.35
"George Town 88 Speedmart","George Town",2025-09,"September",2025,51,1983.86,38.9,503.81,25.4,15,29.41
"George Town 88 Speedmart","George Town",2025-10,"October",2025,54,2159.31,39.99,573.27,26.5,6,11.11
"George Town 88 Speedmart","George Town",2025-11,"November",2025,94,3301.37,35.12,862.42,26.1,16,17.02
"George Town 88 Speedmart","George Town",2025-12,"December",2025,129,5588.85,43.32,1440.04,25.8,14,10.85
"George Town 88 Speedmart","George Town",2026-01,"January",2026,56,2297.37,41.02,617.72,26.9,17,30.36
"George Town 88 Speedmart","George Town",2026-02,"February",2026,91,3894.98,42.8,988.14,25.4,17,18.68
"George Town 88 Speedmart","George Town",2026-03,"March",2026,61,2253.57,36.94,619.52,27.5,7,11.48
"George Town 88 Speedmart","George Town",2026-04,"April",2026,53,1883.98,35.55,485.24,25.8,8,15.09
"George Town 88 Speedmart","George Town",2026-05,"May",2026,51,1901.49,37.28,488.17,25.7,16,31.37
"George Town 88 Speedmart","George Town",2026-06,"June",2026,83,3055.51,36.81,806.9,26.4,18,21.69
"Ipoh 88 Speedmart","Ipoh",2021-07,"July",2021,64,2339.74,36.56,818.4,35,5,7.81
"Ipoh 88 Speedmart","Ipoh",2021-08,"August",2021,78,2889.33,37.04,956.4,33.1,4,5.13
"Ipoh 88 Speedmart","Ipoh",2021-09,"September",2021,77,2537.33,32.95,878.83,34.6,10,12.99
"Ipoh 88 Speedmart","Ipoh",2021-10,"October",2021,56,1860.21,33.22,624.25,33.6,4,7.14
"Ipoh 88 Speedmart","Ipoh",2021-11,"November",2021,95,3733.67,39.3,1297.6,34.8,2,2.11
"Ipoh 88 Speedmart","Ipoh",2021-12,"December",2021,118,3550.73,30.09,1229.85,34.6,14,11.86
"Ipoh 88 Speedmart","Ipoh",2022-01,"January",2022,73,3139.4,43.01,1010.8,32.2,3,4.11
"Ipoh 88 Speedmart","Ipoh",2022-02,"February",2022,43,1779.14,41.38,565.93,31.8,7,16.28
"Ipoh 88 Speedmart","Ipoh",2022-03,"March",2022,42,1388,33.05,452.74,32.6,1,2.38
"Ipoh 88 Speedmart","Ipoh",2022-04,"April",2022,51,1744,34.2,561.36,32.2,4,7.84
"Ipoh 88 Speedmart","Ipoh",2022-05,"May",2022,52,1844.09,35.46,575.26,31.2,7,13.46
"Ipoh 88 Speedmart","Ipoh",2022-06,"June",2022,66,2928.24,44.37,955.86,32.6,2,3.03
"Ipoh 88 Speedmart","Ipoh",2022-07,"July",2022,49,1241.22,25.33,431.92,34.8,7,14.29
"Ipoh 88 Speedmart","Ipoh",2022-08,"August",2022,67,2508.46,37.44,780.56,31.1,9,13.43
"Ipoh 88 Speedmart","Ipoh",2022-09,"September",2022,43,1447.35,33.66,492.4,34,5,11.63
"Ipoh 88 Speedmart","Ipoh",2022-10,"October",2022,59,2323.16,39.38,757.7,32.6,5,8.47
"Ipoh 88 Speedmart","Ipoh",2022-11,"November",2022,69,2391.11,34.65,794.99,33.2,3,4.35
"Ipoh 88 Speedmart","Ipoh",2022-12,"December",2022,117,4341.82,37.11,1370.98,31.6,6,5.13
"Ipoh 88 Speedmart","Ipoh",2023-01,"January",2023,66,2699.54,40.9,782.73,29,12,18.18
"Ipoh 88 Speedmart","Ipoh",2023-02,"February",2023,42,1591.37,37.89,492.94,31,4,9.52
"Ipoh 88 Speedmart","Ipoh",2023-03,"March",2023,55,2225.35,40.46,665.87,29.9,5,9.09
"Ipoh 88 Speedmart","Ipoh",2023-04,"April",2023,59,2134.89,36.18,656.5,30.8,6,10.17
"Ipoh 88 Speedmart","Ipoh",2023-05,"May",2023,56,2332.33,41.65,698.2,29.9,2,3.57
"Ipoh 88 Speedmart","Ipoh",2023-06,"June",2023,78,2992.1,38.36,890.07,29.7,7,8.97
"Ipoh 88 Speedmart","Ipoh",2023-07,"July",2023,50,2185.98,43.72,666.56,30.5,9,18
"Ipoh 88 Speedmart","Ipoh",2023-08,"August",2023,41,1475.58,35.99,451.1,30.6,5,12.2
"Ipoh 88 Speedmart","Ipoh",2023-09,"September",2023,45,1909.11,42.42,558.71,29.3,3,6.67
"Ipoh 88 Speedmart","Ipoh",2023-10,"October",2023,45,1956.73,43.48,570.02,29.1,1,2.22
"Ipoh 88 Speedmart","Ipoh",2023-11,"November",2023,69,2488.94,36.07,782.08,31.4,12,17.39
"Ipoh 88 Speedmart","Ipoh",2023-12,"December",2023,101,4115.97,40.75,1208.65,29.4,9,8.91
"Ipoh 88 Speedmart","Ipoh",2024-01,"January",2024,50,1768.96,35.38,531.35,30,11,22
"Ipoh 88 Speedmart","Ipoh",2024-02,"February",2024,51,1516.78,29.74,438.55,28.9,8,15.69
"Ipoh 88 Speedmart","Ipoh",2024-03,"March",2024,60,2554.63,42.58,730.86,28.6,4,6.67
"Ipoh 88 Speedmart","Ipoh",2024-04,"April",2024,69,2537.27,36.77,754.49,29.7,3,4.35
"Ipoh 88 Speedmart","Ipoh",2024-05,"May",2024,40,1901.09,47.53,533.03,28,5,12.5
"Ipoh 88 Speedmart","Ipoh",2024-06,"June",2024,63,2633.45,41.8,743.41,28.2,8,12.7
"Ipoh 88 Speedmart","Ipoh",2024-07,"July",2024,53,1957.42,36.93,531.39,27.1,8,15.09
"Ipoh 88 Speedmart","Ipoh",2024-08,"August",2024,35,1569.28,44.84,462.98,29.5,5,14.29
"Ipoh 88 Speedmart","Ipoh",2024-09,"September",2024,55,2729.19,49.62,707.44,25.9,9,16.36
"Ipoh 88 Speedmart","Ipoh",2024-10,"October",2024,55,2956.01,53.75,801.07,27.1,4,7.27
"Ipoh 88 Speedmart","Ipoh",2024-11,"November",2024,75,3247.59,43.3,884.49,27.2,8,10.67
"Ipoh 88 Speedmart","Ipoh",2024-12,"December",2024,98,4676.5,47.72,1281.94,27.4,13,13.27
