TIME_GRAIN,PERIOD_CODE,BRANCH_ID,BRANCH_NAME,CATEGORY_NAME,ITEM_ID,ITEM_NAME,TOTAL_SALES_QTY,TOTAL_PURCHASE_QTY,AVG_STOCK_ON_HAND,INVENTORY_TURNOVER_RATIO,CATEGORY_TURNOVER_RATIO,STOCK_EFFICIENCY_CATEGORY
Monthly,2020-01,"B001","Ampang 88 Speedmart","Beverages","I0043","Susu Soya 1L",23,102,79,.29,.14,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Beverages","I0040","Teh Tarik 250ml",22,177,150,.15,.14,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Beverages","I0036","Air Mineral 1.5L",19,187,163,.12,.14,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Beverages","I0041","Kopi 3in1 10s",16,181,163,.1,.14,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Beverages","I0042","Milo 1kg",7,245,233,.03,.14,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0033","Cendawan Sup 300g",34,342,303,.11,.16,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0026","Tuna Chunk 185g",33,136,99,.33,.16,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0031","Ayam Masak 400g",29,299,264,.11,.16,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0027","Kacang Hancur 425g",28,124,80,.35,.16,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0034","Nangka Muda 565g",27,98,67,.4,.16,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0029","Sup Ayam 400g",27,238,207,.13,.16,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0025","Sardin 425g",26,74,41,.63,.16,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0028","Jagung Manis 425g",18,104,73,.25,.16,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0032","Daging Lembu 400g",14,210,183,.08,.16,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0030","Baked Beans 415g",8,214,206,.04,.16,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Cooking Essentials","I0022","Sos Tiram 300ml",33,250,209,.16,.07,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Cooking Essentials","I0019","Cuka 500ml",25,368,341,.07,.07,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Cooking Essentials","I0014","Minyak Zaitun 500ml",25,383,353,.07,.07,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Cooking Essentials","I0015","Kicap Manis 600ml",25,184,154,.16,.07,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Cooking Essentials","I0017","Sos Cili 400ml",21,132,102,.21,.07,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Cooking Essentials","I0021","Minyak Bijian 200ml",21,210,187,.11,.07,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Cooking Essentials","I0018","Sos Tomato 400ml",20,149,125,.16,.07,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Cooking Essentials","I0024","Serbuk Perasa 100g",16,507,487,.03,.07,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Cooking Essentials","I0023","Tepung Jagung 200g",15,559,530,.03,.07,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Cooking Essentials","I0020","Madu 250g",14,245,230,.06,.07,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Cooking Essentials","I0013","Minyak Masak 1kg",13,579,564,.02,.07,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Cooking Essentials","I0016","Kicap Masin 600ml",11,379,364,.03,.07,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Dairy Products","I0054","Susu Rendah Lemak 1L",34,102,58,.59,.23,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Dairy Products","I0062","Susu Kambing 1L",28,60,28,1,.23,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Dairy Products","I0058","Krim 200ml",27,37,7,3.86,.23,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Dairy Products","I0059","Susu Cair 200ml",25,88,61,.41,.23,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Dairy Products","I0055","Keju 250g",22,116,90,.24,.23,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Dairy Products","I0061","Keju Mozzarella 200g",21,76,54,.39,.23,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Dairy Products","I0056","Mentega 250g",16,154,127,.13,.23,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Dairy Products","I0060","Tepung Susu 1kg",16,204,183,.09,.23,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Dairy Products","I0057","Yogurt 180g",13,221,202,.06,.23,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Dairy Products","I0053","Susu Segar 1L",13,130,107,.12,.23,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Frozen Food","I0063","Ayam Beku 1kg",41,165,120,.34,.5,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Frozen Food","I0069","Nuget 500g",37,129,91,.41,.5,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Frozen Food","I0064","Daging Beku 500g",32,80,48,.67,.5,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Frozen Food","I0068","Sosej Beku 500g",32,99,57,.56,.5,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Frozen Food","I0070","Kentang Goreng 1kg",27,70,45,.6,.5,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Frozen Food","I0067","Pizza Beku 400g",23,52,23,1,.5,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Frozen Food","I0066","Sayuran Beku 300g",23,64,41,.56,.5,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Frozen Food","I0065","Ikan Beku 500g",14,52,32,.44,.5,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Household Cleaning","I0094","Pembersih Kaca 500ml",33,211,172,.19,.13,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Household Cleaning","I0096","Mop 1pc",31,71,35,.89,.13,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Household Cleaning","I0089","Detergen 2kg",22,356,326,.07,.13,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Household Cleaning","I0091","Pewangi Pakaian 1L",19,200,171,.11,.13,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Household Cleaning","I0092","Peluntur 1L",19,54,29,.66,.13,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Household Cleaning","I0095","Penyapu 1pc",17,277,245,.07,.13,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Household Cleaning","I0090","Pembersih Lantai 1L",16,281,265,.06,.13,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Household Cleaning","I0093","Sabun Pinggan 500ml",14,114,94,.15,.13,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Imported Goods","I0119","Keju Parmesan 200g",42,57,5,8.4,1.21,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Imported Goods","I0120","Kopi Arabika 250g",27,88,52,.52,1.21,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Instant Food","I0073","Bihun Segera 60g",44,222,165,.27,.11,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Instant Food","I0071","Mee Segera 80g",35,229,183,.19,.11,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Instant Food","I0079","Oat Segera 1kg",29,86,46,.63,.11,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Instant Food","I0074","Nasi Segera 200g",29,165,130,.22,.11,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Instant Food","I0076","Pasta Segera 150g",28,897,859,.03,.11,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Instant Food","I0077","Sos Pasta 200g",27,418,382,.07,.11,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Instant Food","I0075","Bubur Segera 50g",20,245,205,.1,.11,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Instant Food","I0078","Cup Soup 100g",18,103,78,.23,.11,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Instant Food","I0072","Mee Segera Cup 65g",14,340,305,.05,.11,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Instant Food","I0080","Cereal 500g",12,63,44,.27,.11,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Organic Foods","I0117","Beras Organik 5kg",22,143,116,.19,.1,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Organic Foods","I0118","Minyak Zaitun Organik 500ml",17,316,289,.06,.1,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Personal Care","I0083","Ubat Gigi 150g",29,229,193,.15,.15,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Personal Care","I0082","Sabun Mandi 100g",29,216,179,.16,.15,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Personal Care","I0087","Krim Pelindung 50g",25,87,58,.43,.15,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Personal Care","I0084","Losyen 250ml",23,147,123,.19,.15,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Personal Care","I0085","Deodorant 50ml",18,237,211,.09,.15,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Personal Care","I0086","Pembersih Muka 100ml",18,141,111,.16,.15,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Personal Care","I0088","Balm 30g",14,79,58,.24,.15,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Personal Care","I0081","Syampu 500ml",13,201,171,.08,.15,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Premium Items","I0116","Foie Gras 100g",29,42,12,2.42,1.04,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Premium Items","I0115","Kaviar 50g",19,55,34,.56,1.04,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Rice and Grains","I0004","Tepung Beras 500g",32,319,286,.11,.08,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Rice and Grains","I0011","Beras Perang 1kg",32,206,167,.19,.08,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Rice and Grains","I0001","Beras Super 5kg",30,484,451,.07,.08,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Rice and Grains","I0008","Beras Basmathi 5kg",29,554,514,.06,.08,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Rice and Grains","I0002","Beras Wangi 10kg",28,331,298,.09,.08,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Rice and Grains","I0007","Quinoa 500g",25,444,414,.06,.08,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Rice and Grains","I0010","Bijirin Sarapan 500g",25,337,307,.08,.08,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Rice and Grains","I0005","Beras Pulut 1kg",24,75,42,.57,.08,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Rice and Grains","I0009","Tepung Jagung 500g",23,224,192,.12,.08,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Rice and Grains","I0003","Tepung Gandum 1kg",23,391,363,.06,.08,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Rice and Grains","I0006","Oatmeal 1kg",20,267,236,.08,.08,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Rice and Grains","I0012","Tepung Ubi 500g",13,541,522,.02,.08,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Snacks and Confectionery","I0052","Mochi 120g",38,82,39,.97,.22,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Snacks and Confectionery","I0045","Kerepek 150g",28,88,56,.5,.22,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Snacks and Confectionery","I0050","Kacang Putih 200g",25,238,211,.12,.22,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Snacks and Confectionery","I0048","Gula-gula 150g",20,89,65,.31,.22,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Snacks and Confectionery","I0049","Pudding 100g",20,52,33,.61,.22,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Snacks and Confectionery","I0051","Keropok 100g",17,153,130,.13,.22,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Snacks and Confectionery","I0046","Coklat 100g",16,174,157,.1,.22,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Snacks and Confectionery","I0047","Biskut 200g",10,122,105,.1,.22,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Stationery and Daily Needs","I0106","Pen 10pcs",38,105,61,.62,.36,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Stationery and Daily Needs","I0108","Pemadam 5pcs",32,79,43,.74,.36,"Fast Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Stationery and Daily Needs","I0109","Bateri AA 4pcs",24,84,55,.44,.36,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Stationery and Daily Needs","I0105","Kertas A4 500sheets",17,157,131,.13,.36,"Slow Moving"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Stationery and Daily Needs","I0110","Bateri AAA 4pcs",17,78,61,.28,.36,"Normal"
Monthly,2020-01,"B001","Ampang 88 Speedmart","Stationery and Daily Needs","I0107","Pensil 12pcs",13,62,42,.31,.36,"Normal"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Alcoholic Beverages","I0112","Wain Merah 750ml",21,0,180,.12,.11,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Alcoholic Beverages","I0114","Whisky 700ml",15,0,281,.05,.11,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Alcoholic Beverages","I0113","Wain Putih 750ml",14,0,94,.15,.11,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Alcoholic Beverages","I0111","Bir 330ml",14,0,19,.74,.11,"Fast Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Baby Products","I0103","Sabun Bayi 250ml",28,0,542,.05,.04,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Baby Products","I0097","Susu Formula 900g",22,0,178,.12,.04,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Baby Products","I0099","Tisu Basah Baby 80pcs",17,0,72,.24,.04,"Normal"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Baby Products","I0098","Pampers S 24pcs",15,0,275,.05,.04,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Baby Products","I0101","Bedak Bayi 150g",15,0,533,.03,.04,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Baby Products","I0104","Botol Susu 250ml",14,0,342,.04,.04,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Baby Products","I0100","Makanan Bayi 120g",14,0,332,.04,.04,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Baby Products","I0102","Minyak Bayi 100ml",6,0,675,.01,.04,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Beverages","I0035","Minuman Isotonic 500ml",27,0,57,.47,.13,"Normal"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Beverages","I0042","Milo 1kg",25,0,204,.12,.13,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Beverages","I0037","Jus Oren 1L",21,0,69,.3,.13,"Normal"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Beverages","I0043","Susu Soya 1L",21,0,54,.39,.13,"Normal"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Beverages","I0044","Minuman Tenaga 250ml",21,0,372,.06,.13,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Beverages","I0038","Kola 330ml",19,0,133,.14,.13,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Beverages","I0036","Air Mineral 1.5L",18,0,141,.13,.13,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Beverages","I0039","Sprite 330ml",17,0,167,.1,.13,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Beverages","I0040","Teh Tarik 250ml",15,0,128,.12,.13,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Beverages","I0041","Kopi 3in1 10s",10,0,141,.07,.13,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0030","Baked Beans 415g",24,0,177,.14,.12,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0029","Sup Ayam 400g",22,0,171,.13,.12,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0032","Daging Lembu 400g",19,0,159,.12,.12,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0033","Cendawan Sup 300g",19,0,280,.07,.12,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0026","Tuna Chunk 185g",18,0,79,.23,.12,"Normal"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0031","Ayam Masak 400g",17,0,241,.07,.12,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0025","Sardin 425g",16,0,25,.64,.12,"Fast Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0034","Nangka Muda 565g",13,0,51,.25,.12,"Normal"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0028","Jagung Manis 425g",12,0,59,.2,.12,"Normal"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Canned and Packaged Food","I0027","Kacang Hancur 425g",10,101,161,.06,.12,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Cooking Essentials","I0022","Sos Tiram 300ml",36,220,394,.09,.06,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Cooking Essentials","I0021","Minyak Bijian 200ml",27,0,160,.17,.06,"Normal"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Cooking Essentials","I0014","Minyak Zaitun 500ml",27,0,314,.09,.06,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Cooking Essentials","I0016","Kicap Masin 600ml",24,0,335,.07,.06,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Cooking Essentials","I0020","Madu 250g",24,0,203,.12,.06,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Cooking Essentials","I0019","Cuka 500ml",21,0,318,.07,.06,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Cooking Essentials","I0023","Tepung Jagung 200g",18,0,509,.04,.06,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Cooking Essentials","I0013","Minyak Masak 1kg",16,0,543,.03,.06,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Cooking Essentials","I0024","Serbuk Perasa 100g",14,0,471,.03,.06,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Cooking Essentials","I0017","Sos Cili 400ml",10,0,82,.12,.06,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Cooking Essentials","I0015","Kicap Manis 600ml",8,0,146,.05,.06,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Cooking Essentials","I0018","Sos Tomato 400ml",7,0,117,.06,.06,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Dairy Products","I0062","Susu Kambing 1L",31,47,37,.84,.22,"Fast Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Dairy Products","I0058","Krim 200ml",29,32,8,3.63,.22,"Fast Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Dairy Products","I0054","Susu Rendah Lemak 1L",25,0,28,.89,.22,"Fast Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Dairy Products","I0061","Keju Mozzarella 200g",20,0,30,.67,.22,"Fast Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Dairy Products","I0059","Susu Cair 200ml",19,0,37,.51,.22,"Fast Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Dairy Products","I0060","Tepung Susu 1kg",13,0,159,.08,.22,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Dairy Products","I0053","Susu Segar 1L",11,0,91,.12,.22,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Dairy Products","I0056","Mentega 250g",10,0,116,.09,.22,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Dairy Products","I0055","Keju 250g",6,0,84,.07,.22,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Dairy Products","I0057","Yogurt 180g",6,0,191,.03,.22,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Frozen Food","I0066","Sayuran Beku 300g",27,55,65,.42,.23,"Normal"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Frozen Food","I0065","Ikan Beku 500g",17,45,58,.29,.23,"Normal"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Frozen Food","I0067","Pizza Beku 400g",14,16,21,.67,.23,"Fast Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Frozen Food","I0070","Kentang Goreng 1kg",14,59,80,.18,.23,"Normal"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Frozen Food","I0063","Ayam Beku 1kg",12,0,103,.12,.23,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Frozen Food","I0069","Nuget 500g",11,0,71,.15,.23,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Frozen Food","I0064","Daging Beku 500g",9,0,35,.26,.23,"Normal"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Frozen Food","I0068","Sosej Beku 500g",8,0,50,.16,.23,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Household Cleaning","I0096","Mop 1pc",23,59,56,.41,.1,"Normal"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Household Cleaning","I0094","Pembersih Kaca 500ml",22,191,339,.06,.1,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Household Cleaning","I0091","Pewangi Pakaian 1L",22,0,143,.15,.1,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Household Cleaning","I0093","Sabun Pinggan 500ml",21,103,162,.13,.1,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Household Cleaning","I0090","Pembersih Lantai 1L",20,0,242,.08,.1,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Household Cleaning","I0095","Penyapu 1pc",17,0,222,.08,.1,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Household Cleaning","I0092","Peluntur 1L",15,44,57,.26,.1,"Normal"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Household Cleaning","I0089","Detergen 2kg",13,0,307,.04,.1,"Slow Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Imported Goods","I0120","Kopi Arabika 250g",23,73,98,.23,.35,"Normal"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Imported Goods","I0119","Keju Parmesan 200g",20,48,25,.8,.35,"Fast Moving"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Instant Food","I0071","Mee Segera 80g",26,0,154,.17,.07,"Normal"
Monthly,2020-02,"B001","Ampang 88 Speedmart","Instant Food","I0072","Mee Segera Cup 65g",25,0,270,.09,.07,"Slow Moving"
