ItemID,ItemName,UnitPrice,UnitMeasure,Description,IsHalal,IsMyKasihEligible,Status,CategoryID,IntroductionDate,DiscontinuationDate,DemandProfile
I0028,Jagung Manis 425g,6.3,BAG,Jagung Manis 425g - Canned and Packaged Food,Y,N,ACTIVE,PC003,2024-01-01,,MEDIUM_MOVING
I0029,Sup Ayam 400g,4.0,BAG,Sup Ayam 400g - Canned and Packaged Food,Y,N,ACTIVE,PC003,2025-12-21,,MEDIUM_MOVING
I0030,Baked Beans 415g,4.8,BAG,Baked Beans 415g - Canned and Packaged Food,Y,Y,ACTIVE,PC003,2026-04-22,,MEDIUM_MOVING
I0031,Ayam Masak 400g,5.2,BOX,Ayam Masak 400g - Canned and Packaged Food,Y,N,ACTIVE,PC003,2025-01-09,,MEDIUM_MOVING
I0032,Daging Lembu 400g,4.8,PACK,Daging Lembu 400g - Canned and Packaged Food,Y,Y,INACTIVE,PC003,2026-01-14,2026-02-03 00:00:00,MEDIUM_MOVING
I0033,Cendawan Sup 300g,2.6,PACK,Cendawan Sup 300g - Canned and Packaged Food,Y,N,ACTIVE,PC003,2025-04-30,,MEDIUM_MOVING
I0034,Nangka Muda 565g,5.1,BAG,Nangka Muda 565g - Canned and Packaged Food,Y,Y,ACTIVE,PC003,2026-05-03,,MEDIUM_MOVING
I0035,Minuman Isotonic 500ml,1.5,BOX,Minuman Isotonic 500ml - Beverages,Y,N,ACTIVE,PC004,2024-01-01,,SEASONAL
I0036,Air Mineral 1.5L,1.7,BOTTLE,Air Mineral 1.5L - Beverages,Y,N,ACTIVE,PC004,2024-01-01,,SEASONAL
I0037,Jus Oren 1L,1.5,PCS,Jus Oren 1L - Beverages,Y,N,ACTIVE,PC004,2024-01-01,,SEASONAL
I0038,Kola 330ml,1.7,BOTTLE,Kola 330ml - Beverages,Y,N,ACTIVE,PC004,2024-01-01,,SEASONAL
I0039,Sprite 330ml,1.7,BOX,Sprite 330ml - Beverages,Y,N,ACTIVE,PC004,2024-10-10,,SEASONAL
I0040,Teh Tarik 250ml,1.7,PCS,Teh Tarik 250ml - Beverages,Y,N,ACTIVE,PC004,2024-07-08,,SEASONAL
I0041,Kopi 3in1 10s,1.5,BAG,Kopi 3in1 10s - Beverages,Y,N,ACTIVE,PC004,2025-09-09,,SEASONAL
I0042,Milo 1kg,1.7,BAG,Milo 1kg - Beverages,Y,N,ACTIVE,PC004,2025-03-06,,SEASONAL
I0043,Susu Soya 1L,1.7,CAN,Susu Soya 1L - Beverages,Y,N,ACTIVE,PC004,2025-01-13,,SEASONAL
I0044,Minuman Tenaga 250ml,1.5,PCS,Minuman Tenaga 250ml - Beverages,Y,N,ACTIVE,PC004,2025-08-05,,SEASONAL
I0045,Kerepek 150g,4.0,PCS,Kerepek 150g - Snacks and Confectionery,Y,N,ACTIVE,PC005,2026-05-04,,SEASONAL
I0046,Coklat 100g,1.2,PCS,Coklat 100g - Snacks and Confectionery,Y,N,ACTIVE,PC005,2024-08-03,,SEASONAL
I0047,Biskut 200g,3.9,BOX,Biskut 200g - Snacks and Confectionery,Y,N,ACTIVE,PC005,2024-07-04,,SEASONAL
I0048,Gula-gula 150g,2.1,BAG,Gula-gula 150g - Snacks and Confectionery,Y,N,ACTIVE,PC005,2024-12-06,,SEASONAL
I0049,Pudding 100g,2.3,BOX,Pudding 100g - Snacks and Confectionery,Y,N,ACTIVE,PC005,2024-09-09,,SEASONAL
I0050,Kacang Putih 200g,3.7,PCS,Kacang Putih 200g - Snacks and Confectionery,Y,N,ACTIVE,PC005,2025-06-06,,SEASONAL
I0051,Keropok 100g,2.1,BAG,Keropok 100g - Snacks and Confectionery,N,N,ACTIVE,PC005,2025-01-30,,SEASONAL
I0052,Mochi 120g,2.8,PCS,Mochi 120g - Snacks and Confectionery,Y,N,INACTIVE,PC005,2025-11-12,2025-11-24 00:00:00,SEASONAL
I0053,Susu Segar 1L,7.9,BAG,Susu Segar 1L - Dairy Products,Y,N,INACTIVE,PC006,2024-01-01,2024-08-08 00:00:00,MEDIUM_MOVING
I0054,Susu Rendah Lemak 1L,6.9,CAN,Susu Rendah Lemak 1L - Dairy Products,Y,Y,ACTIVE,PC006,2024-01-01,,MEDIUM_MOVING
I0055,Keju 250g,2.1,PCS,Keju 250g - Dairy Products,Y,Y,ACTIVE,PC006,2024-01-01,,MEDIUM_MOVING
I0056,Mentega 250g,2.2,BOX,Mentega 250g - Dairy Products,Y,Y,ACTIVE,PC006,2024-01-01,,MEDIUM_MOVING
I0057,Yogurt 180g,2.1,BOX,Yogurt 180g - Dairy Products,Y,Y,ACTIVE,PC006,2026-02-17,,MEDIUM_MOVING
I0058,Krim 200ml,2.0,BOTTLE,Krim 200ml - Dairy Products,Y,Y,ACTIVE,PC006,2025-11-26,,MEDIUM_MOVING
I0059,Susu Cair 200ml,2.1,CAN,Susu Cair 200ml - Dairy Products,Y,Y,ACTIVE,PC006,2025-11-16,,MEDIUM_MOVING
I0060,Tepung Susu 1kg,6.3,BOX,Tepung Susu 1kg - Dairy Products,Y,Y,ACTIVE,PC006,2024-12-31,,MEDIUM_MOVING
I0061,Keju Mozzarella 200g,2.1,BAG,Keju Mozzarella 200g - Dairy Products,N,Y,ACTIVE,PC006,2026-06-04,,MEDIUM_MOVING
I0062,Susu Kambing 1L,5.9,BOX,Susu Kambing 1L - Dairy Products,Y,Y,ACTIVE,PC006,2025-09-01,,MEDIUM_MOVING
I0063,Ayam Beku 1kg,8.7,BAG,Ayam Beku 1kg - Frozen Food,Y,N,ACTIVE,PC007,2025-10-03,,SLOW_MOVING
I0064,Daging Beku 500g,3.5,PACK,Daging Beku 500g - Frozen Food,Y,N,INACTIVE,PC007,2024-07-04,2025-10-25 00:00:00,SLOW_MOVING
I0065,Ikan Beku 500g,5.6,PCS,Ikan Beku 500g - Frozen Food,Y,N,ACTIVE,PC007,2025-09-25,,SLOW_MOVING
I0066,Sayuran Beku 300g,3.0,BAG,Sayuran Beku 300g - Frozen Food,Y,N,ACTIVE,PC007,2026-03-22,,SLOW_MOVING
I0067,Pizza Beku 400g,4.3,PACK,Pizza Beku 400g - Frozen Food,N,N,ACTIVE,PC007,2025-04-10,,SLOW_MOVING
I0068,Sosej Beku 500g,5.2,PACK,Sosej Beku 500g - Frozen Food,Y,N,ACTIVE,PC007,2025-01-01,,SLOW_MOVING
I0069,Nuget 500g,4.4,PACK,Nuget 500g - Frozen Food,Y,N,ACTIVE,PC007,2026-06-12,,SLOW_MOVING
I0070,Kentang Goreng 1kg,9.2,PCS,Kentang Goreng 1kg - Frozen Food,Y,N,ACTIVE,PC007,2024-12-15,,SLOW_MOVING
I0071,Mee Segera 80g,1.5,BAG,Mee Segera 80g - Instant Food,Y,Y,ACTIVE,PC008,2024-01-01,,FAST_MOVING
I0072,Mee Segera Cup 65g,1.6,BOX,Mee Segera Cup 65g - Instant Food,Y,N,ACTIVE,PC008,2024-01-01,,FAST_MOVING
I0073,Bihun Segera 60g,1.8,BOX,Bihun Segera 60g - Instant Food,Y,Y,ACTIVE,PC008,2024-01-01,,FAST_MOVING
I0074,Nasi Segera 200g,1.5,PCS,Nasi Segera 200g - Instant Food,Y,Y,ACTIVE,PC008,2024-01-01,,FAST_MOVING
I0075,Bubur Segera 50g,1.6,PACK,Bubur Segera 50g - Instant Food,Y,N,INACTIVE,PC008,2026-01-18,2026-04-15 00:00:00,FAST_MOVING
I0076,Pasta Segera 150g,1.5,BOX,Pasta Segera 150g - Instant Food,Y,N,ACTIVE,PC008,2024-09-09,,FAST_MOVING
I0077,Sos Pasta 200g,1.7,PCS,Sos Pasta 200g - Instant Food,Y,Y,ACTIVE,PC008,2025-01-04,,FAST_MOVING
I0078,Cup Soup 100g,1.6,BOX,Cup Soup 100g - Instant Food,Y,Y,ACTIVE,PC008,2025-08-11,,FAST_MOVING
I0079,Oat Segera 1kg,4.5,BAG,Oat Segera 1kg - Instant Food,Y,N,ACTIVE,PC008,2026-05-07,,FAST_MOVING
I0080,Cereal 500g,2.7,PCS,Cereal 500g - Instant Food,Y,N,ACTIVE,PC008,2026-05-29,,FAST_MOVING
I0081,Syampu 500ml,6.1,BOTTLE,Syampu 500ml - Personal Care,Y,N,ACTIVE,PC009,2026-06-13,,MEDIUM_MOVING
I0082,Sabun Mandi 100g,3.1,BOX,Sabun Mandi 100g - Personal Care,Y,N,INACTIVE,PC009,2025-03-29,2025-10-31 00:00:00,MEDIUM_MOVING
I0083,Ubat Gigi 150g,3.1,BOX,Ubat Gigi 150g - Personal Care,Y,N,ACTIVE,PC009,2025-10-19,,MEDIUM_MOVING
I0084,Losyen 250ml,3.1,PCS,Losyen 250ml - Personal Care,Y,N,ACTIVE,PC009,2024-09-15,,MEDIUM_MOVING
I0085,Deodorant 50ml,3.1,PCS,Deodorant 50ml - Personal Care,Y,N,ACTIVE,PC009,2025-12-15,,MEDIUM_MOVING
I0086,Pembersih Muka 100ml,3.0,BOX,Pembersih Muka 100ml - Personal Care,Y,N,ACTIVE,PC009,2026-03-29,,MEDIUM_MOVING
I0087,Krim Pelindung 50g,3.2,PACK,Krim Pelindung 50g - Personal Care,Y,N,ACTIVE,PC009,2024-10-29,,MEDIUM_MOVING
I0088,Balm 30g,3.1,PCS,Balm 30g - Personal Care,Y,N,ACTIVE,PC009,2025-05-22,,MEDIUM_MOVING
I0089,Detergen 2kg,6.5,BAG,Detergen 2kg - Household Cleaning,Y,Y,ACTIVE,PC010,2024-01-01,,MEDIUM_MOVING
I0090,Pembersih Lantai 1L,4.3,BOTTLE,Pembersih Lantai 1L - Household Cleaning,Y,Y,ACTIVE,PC010,2024-01-01,,MEDIUM_MOVING
I0091,Pewangi Pakaian 1L,3.6,BAG,Pewangi Pakaian 1L - Household Cleaning,Y,N,ACTIVE,PC010,2024-01-01,,MEDIUM_MOVING
I0092,Peluntur 1L,5.7,BOX,Peluntur 1L - Household Cleaning,Y,Y,ACTIVE,PC010,2024-01-01,,MEDIUM_MOVING
I0093,Sabun Pinggan 500ml,2.1,PCS,Sabun Pinggan 500ml - Household Cleaning,Y,N,ACTIVE,PC010,2025-12-04,,MEDIUM_MOVING
I0094,Pembersih Kaca 500ml,2.0,CAN,Pembersih Kaca 500ml - Household Cleaning,Y,Y,ACTIVE,PC010,2026-02-20,,MEDIUM_MOVING
I0095,Penyapu 1pc,5.9,TIN,Penyapu 1pc - Household Cleaning,Y,Y,ACTIVE,PC010,2025-01-17,,MEDIUM_MOVING
I0096,Mop 1pc,3.6,TIN,Mop 1pc - Household Cleaning,Y,N,ACTIVE,PC010,2025-12-15,,MEDIUM_MOVING
I0097,Susu Formula 900g,12.4,PCS,Susu Formula 900g - Baby Products,Y,N,ACTIVE,PC011,2024-01-01,,FAST_MOVING
I0098,Pampers S 24pcs,32.5,TIN,Pampers S 24pcs - Baby Products,Y,Y,INACTIVE,PC011,2024-01-01,2025-05-26 00:00:00,FAST_MOVING
I0099,Tisu Basah Baby 80pcs,32.2,TIN,Tisu Basah Baby 80pcs - Baby Products,N,Y,ACTIVE,PC011,2024-01-01,,FAST_MOVING
I0100,Makanan Bayi 120g,5.1,BOX,Makanan Bayi 120g - Baby Products,Y,Y,ACTIVE,PC011,2024-01-01,,FAST_MOVING
I0101,Bedak Bayi 150g,5.1,BAG,Bedak Bayi 150g - Baby Products,Y,Y,ACTIVE,PC011,2024-09-12,,FAST_MOVING
I0102,Minyak Bayi 100ml,5.2,BOX,Minyak Bayi 100ml - Baby Products,N,N,ACTIVE,PC011,2025-06-28,,FAST_MOVING
I0103,Sabun Bayi 250ml,5.2,BOTTLE,Sabun Bayi 250ml - Baby Products,Y,N,ACTIVE,PC011,2024-10-10,,FAST_MOVING
I0104,Botol Susu 250ml,5.5,BOX,Botol Susu 250ml - Baby Products,Y,Y,INACTIVE,PC011,2025-04-28,2026-05-25 00:00:00,FAST_MOVING
I0105,Kertas A4 500sheets,8.4,BOTTLE,Kertas A4 500sheets - Stationery and Daily Needs,Y,N,ACTIVE,PC012,2025-09-17,,SLOW_MOVING
I0106,Pen 10pcs,8.3,BAG,Pen 10pcs - Stationery and Daily Needs,Y,N,ACTIVE,PC012,2025-09-06,,SLOW_MOVING
I0107,Pensil 12pcs,8.1,PCS,Pensil 12pcs - Stationery and Daily Needs,Y,N,ACTIVE,PC012,2025-10-17,,SLOW_MOVING
I0108,Pemadam 5pcs,8.7,TIN,Pemadam 5pcs - Stationery and Daily Needs,Y,N,INACTIVE,PC012,2024-11-03,2026-02-18 00:00:00,SLOW_MOVING
I0109,Bateri AA 4pcs,8.3,PCS,Bateri AA 4pcs - Stationery and Daily Needs,Y,N,INACTIVE,PC012,2025-07-14,2026-01-31 00:00:00,SLOW_MOVING
I0110,Bateri AAA 4pcs,8.3,CAN,Bateri AAA 4pcs - Stationery and Daily Needs,Y,N,ACTIVE,PC012,2025-06-17,,SLOW_MOVING
I0111,Bir 330ml,10.1,PCS,Bir 330ml - Alcoholic Beverages,N,N,ACTIVE,PC013,2025-07-22,,SEASONAL
I0112,Wain Merah 750ml,12.4,CAN,Wain Merah 750ml - Alcoholic Beverages,N,N,ACTIVE,PC013,2025-04-02,,SEASONAL
I0113,Wain Putih 750ml,14.1,BOX,Wain Putih 750ml - Alcoholic Beverages,N,N,ACTIVE,PC013,2025-05-05,,SEASONAL
I0114,Whisky 700ml,20.0,PCS,Whisky 700ml - Alcoholic Beverages,N,N,ACTIVE,PC013,2025-01-04,,SEASONAL
I0115,Kaviar 50g,54.3,BOX,Kaviar 50g - Premium Items,Y,N,ACTIVE,PC014,2024-10-21,,SLOW_MOVING
I0116,Foie Gras 100g,50.6,BOX,Foie Gras 100g - Premium Items,Y,N,ACTIVE,PC014,2025-10-19,,SLOW_MOVING
I0117,Beras Organik 5kg,50.5,BOX,Beras Organik 5kg - Organic Foods,Y,N,ACTIVE,PC015,2026-03-27,,MEDIUM_MOVING
I0118,Minyak Zaitun Organik 500ml,16.0,BAG,Minyak Zaitun Organik 500ml - Organic Foods,N,N,ACTIVE,PC015,2024-09-09,,MEDIUM_MOVING
I0119,Keju Parmesan 200g,20.7,BAG,Keju Parmesan 200g - Imported Goods,Y,N,ACTIVE,PC016,2025-08-07,,SLOW_MOVING
I0120,Kopi Arabika 250g,20.6,PACK,Kopi Arabika 250g - Imported Goods,Y,N,ACTIVE,PC016,2025-09-07,,SLOW_MOVING
