PurchaseOrderID,ItemID,QuantityOrdered,QuantityReceived,UnitCost,LineTotal
PO0014,I0009,70,70,32.46,2272.2
PO0014,I0089,196,196,6.46,1266.16
PO0015,I0098,15,15,23.18,347.7
PO0015,I0003,13,13,16.14,209.82
PO0015,I0093,41,41,5.01,205.41
PO0015,I0073,10,10,14.11,141.1
PO0016,I0072,6,5,8.08,48.48
PO0016,I0042,22,21,23.55,518.1
PO0016,I0057,13,13,20.72,269.36
PO0016,I0102,9,8,28.39,255.51
PO0016,I0077,13,11,24.74,321.62
PO0017,I0100,11,11,36.43,400.73
PO0017,I0025,30,30,14.2,426.0
PO0017,I0010,5,5,30.7,153.5
PO0017,I0020,28,28,15.84,443.52
PO0018,I0080,26,26,7.15,185.9
PO0018,I0120,5,5,5.25,26.25
PO0018,I0105,34,34,4.55,154.7
PO0018,I0025,6,6,15.15,90.9
PO0019,I0007,28,27,30.91,865.48
PO0019,I0097,13,13,22.33,290.29
PO0019,I0062,22,22,11.77,258.94
PO0019,I0072,26,23,7.88,204.88
PO0020,I0098,73,70,19.32,1410.36
PO0020,I0088,50,49,16.67,833.5
PO0020,I0103,32,29,14.83,474.56
PO0021,I0105,10,10,5.2,52.0
PO0021,I0030,32,32,23.5,752.0
PO0021,I0035,7,7,29.54,206.78
PO0021,I0080,5,5,7.88,39.4
PO0021,I0005,17,17,25.43,432.31
PO0021,I0050,34,34,6.94,235.96
PO0022,I0059,149,135,1.7,253.3
PO0022,I0089,149,136,6.5,968.5
PO0022,I0024,58,54,4.94,286.52
PO0023,I0073,63,52,14.45,910.35
PO0023,I0038,32,32,18.73,599.36
PO0023,I0058,26,22,29.58,769.08
PO0024,I0010,20,20,26.85,537.0
PO0024,I0040,36,36,12.07,434.52
PO0024,I0030,29,29,21.77,631.33
PO0025,I0098,46,43,20.4,938.4
PO0025,I0073,11,11,12.7,139.7
PO0025,I0043,13,12,28.63,372.19
PO0025,I0058,43,41,30.0,1290.0
PO0026,I0076,66,53,9.63,635.58
PO0026,I0006,156,156,3.26,508.56
PO0026,I0071,163,149,7.35,1198.05
PO0026,I0106,73,64,22.1,1613.3
PO0027,I0102,40,38,29.21,1168.4
PO0027,I0043,13,11,30.11,391.43
PO0027,I0028,77,75,4.46,343.42
PO0027,I0052,11,10,29.91,329.01
PO0027,I0033,37,33,13.79,510.23
PO0028,I0097,16,15,26.2,419.2
PO0028,I0078,20,19,28.62,572.4
PO0028,I0043,14,14,29.93,419.02
PO0028,I0077,21,18,23.13,485.73
PO0028,I0063,21,19,28.59,600.39
PO0028,I0038,26,26,22.55,586.3
PO0029,I0062,25,23,13.42,335.5
PO0029,I0057,27,25,22.0,594.0
PO0030,I0041,23,23,3.12,71.76
PO0030,I0106,79,79,21.06,1663.74
PO0031,I0016,30,30,9.52,285.6
PO0031,I0051,175,175,5.69,995.75
PO0031,I0071,128,128,6.49,830.72
PO0031,I0011,107,107,6.61,707.27
PO0031,I0106,129,129,21.14,2727.06
PO0032,I0080,29,29,6.93,200.97
PO0032,I0030,14,14,25.87,362.18
PO0032,I0075,19,19,36.28,689.32
PO0032,I0035,17,17,32.15,546.55
PO0033,I0084,123,123,24.99,3073.77
PO0033,I0029,144,144,8.86,1275.84
PO0033,I0064,116,116,20.78,2410.48
PO0033,I0089,182,182,6.49,1181.18
PO0034,I0119,80,78,18.34,1467.2
PO0034,I0109,44,40,18.45,811.8
PO0035,I0050,21,21,6.15,129.15
PO0035,I0005,34,34,25.69,873.46
PO0036,I0025,6,4,12.54,75.24
PO0036,I0045,6,6,6.39,38.34
PO0036,I0080,38,28,7.12,270.56
PO0037,I0033,28,28,12.91,361.48
PO0037,I0008,21,19,11.36,238.56
PO0038,I0104,35,35,10.18,356.3
PO0038,I0064,91,91,21.81,1984.71
PO0038,I0004,188,188,2.51,471.88
PO0038,I0114,168,168,12.44,2089.92
PO0038,I0119,110,110,16.53,1818.3
PO0039,I0029,48,48,7.8,374.4
PO0039,I0049,87,87,3.31,287.97
PO0039,I0114,131,131,12.41,1625.71
PO0039,I0024,106,106,5.08,538.48
PO0039,I0059,191,191,1.6,305.6
PO0040,I0024,64,63,4.48,286.72
PO0040,I0084,47,47,25.31,1189.57
PO0040,I0119,133,131,16.23,2158.59
PO0040,I0079,175,169,27.34,4784.5
PO0041,I0110,6,0,6.47,38.82
PO0041,I0015,10,0,2.61,26.1
PO0041,I0115,37,0,25.98,961.26
PO0042,I0032,16,14,19.98,319.68
PO0042,I0062,18,16,13.91,250.38
PO0043,I0027,31,22,17.24,534.44
PO0043,I0002,21,20,9.63,202.23
PO0043,I0022,20,14,20.94,418.8
PO0043,I0062,25,24,11.48,287.0
PO0044,I0049,156,143,3.68,574.08
PO0044,I0089,30,30,6.5,195.0
PO0044,I0024,152,140,4.48,680.96
PO0044,I0014,67,65,19.28,1291.76
PO0044,I0009,122,111,28.84,3518.48
PO0044,I0069,84,80,8.01,672.84
PO0045,I0004,195,195,2.5,487.5
PO0045,I0084,135,135,27.17,3667.95
PO0045,I0014,43,43,19.1,821.3
PO0045,I0059,134,134,1.67,223.78
PO0046,I0061,106,100,12.36,1310.16
PO0046,I0009,141,127,27.68,3902.88
PO0047,I0088,62,58,15.89,985.18
PO0047,I0083,64,54,15.1,966.4
PO0047,I0038,59,55,20.25,1194.75
PO0047,I0063,79,70,26.44,2088.76
PO0047,I0003,50,48,14.54,727.0
PO0048,I0006,58,58,3.06,177.48
PO0048,I0051,123,123,5.06,622.38
PO0048,I0021,78,78,31.79,2479.62
PO0049,I0087,40,40,33.36,1334.4
PO0049,I0083,37,33,14.19,525.03
PO0049,I0063,30,30,28.33,849.9
PO0049,I0002,15,15,10.3,154.5
PO0050,I0029,76,75,8.49,645.24
PO0050,I0004,161,161,2.73,439.53
PO0050,I0014,99,96,16.24,1607.76
PO0051,I0102,6,5,27.81,166.86
PO0051,I0057,27,20,18.55,500.85
PO0051,I0012,24,20,28.18,676.32
PO0052,I0108,75,70,26.63,1997.25
PO0052,I0018,52,49,24.91,1295.32
PO0052,I0098,67,67,22.6,1514.2
PO0052,I0053,79,77,33.77,2667.83
PO0053,I0109,32,30,18.35,587.2
PO0053,I0089,134,126,6.56,879.04
PO0053,I0064,53,50,20.41,1081.73
PO0053,I0119,117,109,17.24,2017.08
PO0054,I0058,51,48,30.37,1548.87
PO0054,I0093,30,29,5.1,153.0
PO0054,I0003,29,28,14.71,426.59
PO0054,I0018,65,63,26.01,1690.65
PO0054,I0053,71,63,33.37,2369.27
PO0055,I0003,36,0,16.12,580.32
PO0055,I0108,44,0,28.53,1255.32
PO0055,I0043,41,0,27.5,1127.5
PO0055,I0103,14,0,16.96,237.44
PO0056,I0049,157,157,3.05,478.85
PO0056,I0029,21,21,8.09,169.89
PO0056,I0089,154,154,6.1,939.4
PO0056,I0004,65,65,2.54,165.1
PO0056,I0069,130,130,8.06,1047.8
PO0056,I0109,184,184,16.06,2955.04
PO0057,I0061,191,182,11.83,2259.53
PO0057,I0080,31,29,6.34,196.54
PO0057,I0051,151,150,4.81,726.31
PO0057,I0091,178,171,1.72,306.16
PO0057,I0095,8,8,11.75,94.0
PO0058,I0064,23,21,18.45,424.35
PO0058,I0089,151,150,5.21,786.71
PO0058,I0114,58,57,12.39,718.62
PO0058,I0029,60,59,7.86,471.6
PO0058,I0014,195,187,18.64,3634.8
PO0058,I0079,134,128,29.2,3912.8
PO0059,I0071,129,129,6.9,890.1
PO0059,I0016,45,45,9.0,405.0
PO0059,I0011,125,125,7.43,928.75
PO0059,I0106,171,171,22.46,3840.66
PO0060,I0020,37,31,12.58,465.46
PO0060,I0010,15,15,30.55,458.25
PO0060,I0050,13,13,6.17,80.21
PO0060,I0115,37,35,28.04,1037.48
PO0060,I0070,22,20,29.06,639.32
PO0060,I0030,11,11,21.91,241.01
PO0061,I0017,22,21,15.11,332.42
PO0061,I0102,8,8,28.74,229.92
PO0061,I0062,8,7,13.6,108.8
PO0061,I0052,31,29,28.47,882.57
PO0061,I0092,17,15,22.07,375.19
PO0061,I0012,30,29,29.04,871.2
PO0062,I0010,7,6,28.69,200.83
PO0062,I0075,26,23,36.48,948.48
PO0062,I0025,17,15,13.45,228.65
PO0062,I0035,13,13,28.97,376.61
PO0063,I0100,7,7,34.75,243.25
PO0063,I0010,11,11,25.73,283.03
PO0063,I0085,24,24,12.97,311.28
PO0063,I0015,40,40,2.5,100.0
PO0063,I0095,5,5,11.62,58.1
PO0064,I0111,50,50,22.7,1135.0
PO0064,I0071,180,180,6.37,1146.6
PO0065,I0035,31,31,25.77,798.87
PO0065,I0015,7,7,2.49,17.43
PO0065,I0075,29,29,33.17,961.93
PO0065,I0080,9,9,6.46,58.14
PO0065,I0010,5,5,30.88,154.4
PO0066,I0091,126,126,1.76,221.76
PO0066,I0016,91,91,9.28,844.48
PO0066,I0106,28,28,20.2,565.6
PO0066,I0041,34,34,2.99,101.66
PO0066,I0066,166,166,20.88,3466.08
PO0067,I0020,26,25,15.12,393.12
PO0067,I0040,10,10,12.62,126.2
PO0067,I0004,132,122,2.59,341.88
PO0067,I0079,76,70,27.12,2061.12
PO0068,I0049,181,170,3.03,548.43
PO0068,I0079,184,179,28.56,5255.04
PO0068,I0014,119,109,18.26,2172.94
PO0068,I0084,145,141,26.57,3852.65
PO0069,I0105,39,39,4.68,182.52
PO0069,I0120,7,7,6.38,44.66
PO0069,I0085,26,26,13.1,340.6
PO0070,I0109,23,23,19.19,441.37
PO0070,I0009,199,199,32.35,6437.65
PO0070,I0089,177,177,5.67,1003.59
PO0070,I0049,96,96,3.01,288.96
PO0071,I0092,38,36,23.0,874.0
PO0071,I0032,17,17,24.87,422.79
PO0071,I0012,28,28,29.39,822.92
PO0071,I0038,49,49,18.22,892.78
PO0071,I0098,41,40,20.16,826.56
PO0072,I0008,37,37,12.12,448.44
PO0072,I0053,66,62,36.8,2428.8
PO0072,I0058,60,59,35.87,2152.2
PO0072,I0093,40,40,5.0,200.0
PO0073,I0098,24,21,18.92,454.08
PO0073,I0052,23,22,35.74,822.02
PO0073,I0053,33,32,30.12,993.96
PO0073,I0077,34,31,21.68,737.12
PO0073,I0063,60,55,31.38,1882.8
PO0073,I0103,16,14,16.67,266.72
PO0074,I0109,175,175,18.71,3274.25
PO0074,I0059,35,35,1.59,55.65
PO0074,I0029,95,95,8.11,770.45
PO0074,I0104,40,40,9.4,376.0
PO0075,I0056,131,117,6.17,808.27
PO0075,I0066,39,38,18.59,725.01
PO0075,I0104,40,39,8.54,341.6
PO0075,I0084,153,153,24.39,3731.67
PO0076,I0085,12,12,12.23,146.76
PO0076,I0095,11,10,12.41,136.51
PO0076,I0016,101,101,9.35,944.35
PO0077,I0069,125,113,6.7,837.5
PO0077,I0009,144,139,30.87,4445.28
PO0077,I0014,169,154,18.69,3158.61
PO0078,I0078,75,74,29.12,2184.0
PO0078,I0003,40,40,13.98,559.2
PO0078,I0008,53,47,12.14,643.42
PO0079,I0027,40,39,20.89,835.6
PO0079,I0062,20,18,11.95,239.0
PO0079,I0022,40,39,22.0,880.0
PO0079,I0098,46,43,20.31,934.26
PO0079,I0108,58,52,23.16,1343.28
PO0079,I0037,34,31,30.15,1025.1
PO0080,I0091,138,138,1.75,241.5
PO0080,I0046,54,54,12.73,687.42
PO0081,I0091,59,59,2.04,120.36
PO0081,I0046,173,173,13.29,2299.17
PO0081,I0071,127,127,7.63,969.01
PO0081,I0061,130,130,13.75,1787.5
PO0082,I0088,10,10,17.27,172.7
PO0082,I0093,26,26,5.24,136.24
PO0083,I0097,22,0,22.62,497.64
PO0083,I0072,5,0,8.9,44.5
PO0083,I0077,24,0,22.2,532.8
PO0083,I0032,14,0,23.95,335.3
PO0084,I0093,45,45,4.57,205.65
PO0084,I0097,10,10,23.5,235.0
PO0084,I0037,33,31,34.06,1123.98
PO0085,I0115,20,19,24.28,485.6
PO0085,I0010,30,27,31.22,936.6
PO0086,I0088,22,19,15.56,342.32
PO0086,I0008,69,63,12.5,862.5
PO0086,I0053,35,35,35.26,1234.1
PO0087,I0024,86,86,4.94,424.84
PO0087,I0014,140,140,18.88,2643.2
PO0087,I0009,61,61,28.92,1764.12
PO0087,I0059,77,77,1.71,131.67
PO0088,I0072,40,40,9.17,366.8
PO0088,I0103,18,18,15.11,271.98
PO0088,I0003,29,29,14.26,413.54
PO0088,I0043,61,54,29.71,1812.31
PO0089,I0032,15,11,23.9,358.5
PO0089,I0092,6,5,18.8,112.8
PO0089,I0072,29,26,7.75,224.75
PO0089,I0097,36,25,26.19,942.84
PO0090,I0084,193,193,27.92,5388.56
PO0090,I0114,27,27,12.95,349.65
PO0090,I0014,62,62,20.05,1243.1
PO0091,I0076,120,120,8.57,1028.4
PO0091,I0046,189,189,13.04,2464.56
PO0091,I0061,107,107,12.01,1285.07
PO0091,I0111,138,138,23.54,3248.52
PO0091,I0051,86,86,5.02,431.72
PO0092,I0111,137,137,21.36,2926.32
PO0092,I0031,151,151,9.85,1487.35
PO0092,I0061,23,23,12.24,281.52
PO0092,I0086,158,158,21.67,3423.86
PO0093,I0091,189,189,2.04,385.56
PO0093,I0016,163,163,9.69,1579.47
PO0094,I0002,9,9,9.5,85.5
PO0094,I0077,16,15,23.84,381.44
PO0095,I0079,146,133,30.3,4423.8
PO0095,I0111,72,66,21.17,1524.24
PO0095,I0084,22,21,26.71,587.62
PO0096,I0050,12,10,7.29,87.48
PO0096,I0031,177,173,8.84,1564.68
PO0096,I0014,109,106,18.78,2047.02
PO0096,I0066,129,127,17.07,2202.03
PO0096,I0119,45,41,18.77,844.65
PO0097,I0049,106,103,3.13,331.78
PO0097,I0079,108,106,30.56,3300.48
PO0097,I0029,69,64,9.23,636.87
PO0097,I0084,144,132,24.93,3589.92
PO0097,I0004,175,158,2.74,479.5
PO0097,I0009,141,127,31.01,4372.41
PO0098,I0071,44,44,7.63,335.72
PO0098,I0046,172,172,14.03,2413.16
PO0098,I0041,154,154,3.41,525.14
PO0099,I0021,107,107,31.37,3356.59
PO0099,I0061,190,190,13.81,2623.9
PO0099,I0071,140,140,6.97,975.8
PO0099,I0111,62,62,20.5,1271.0
PO0099,I0016,127,127,10.04,1275.08
PO0100,I0042,34,30,23.57,801.38
PO0100,I0027,7,6,19.39,135.73
PO0100,I0092,19,18,20.82,395.58
PO0100,I0107,12,11,9.47,113.64
PO0101,I0024,31,28,4.89,151.59
PO0101,I0074,39,38,30.53,1190.67
PO0101,I0054,92,84,5.9,542.8
PO0101,I0064,154,152,21.1,3249.4
PO0102,I0060,17,16,37.66,640.22
PO0102,I0004,187,173,2.47,461.89
PO0102,I0094,134,125,2.46,329.64
PO0102,I0066,138,138,20.49,2827.62
PO0102,I0114,43,41,11.14,479.02
PO0102,I0044,199,188,8.19,1629.81
PO0103,I0066,90,0,20.38,1834.2
PO0103,I0036,166,0,17.87,2966.42
PO0104,I0029,86,86,9.23,793.78
PO0104,I0024,126,126,4.41,555.66
PO0104,I0059,93,93,1.56,145.08
PO0104,I0119,26,26,18.51,481.26
PO0105,I0028,13,13,4.33,56.29
PO0105,I0037,5,5,33.87,169.35
PO0105,I0103,10,10,17.42,174.2
PO0105,I0052,11,11,31.62,347.82
PO0106,I0106,68,0,21.61,1469.48
PO0106,I0026,128,0,2.51,321.28
PO0106,I0071,192,0,6.73,1292.16
PO0106,I0006,107,0,3.22,344.54
PO0106,I0101,179,0,27.47,4917.13
PO0106,I0031,162,0,9.85,1595.7
PO0107,I0019,183,183,14.58,2668.14
PO0107,I0119,196,196,17.98,3524.08
PO0107,I0009,173,173,29.76,5148.48
PO0107,I0109,146,146,16.86,2461.56
PO0107,I0069,99,99,7.96,788.04
PO0108,I0069,85,84,6.93,589.05
PO0108,I0064,139,130,21.36,2969.04
PO0108,I0044,165,162,7.68,1267.2
PO0108,I0004,146,143,2.83,413.18
PO0109,I0033,34,32,14.29,485.86
PO0109,I0118,68,64,12.53,852.04
PO0109,I0053,77,77,33.12,2550.24
PO0109,I0083,67,64,14.51,972.17
PO0110,I0030,15,14,23.72,355.8
PO0110,I0055,29,24,19.92,577.68
PO0110,I0010,16,12,30.14,482.24
PO0111,I0013,28,28,31.77,889.56
PO0111,I0098,38,35,20.37,774.06
PO0111,I0043,34,34,28.0,952.0
PO0111,I0063,47,43,29.6,1391.2
PO0112,I0022,21,0,20.92,439.32
PO0112,I0082,37,0,5.87,217.19
PO0112,I0033,31,0,15.08,467.48
PO0112,I0058,53,0,31.75,1682.75
PO0113,I0092,36,29,22.1,795.6
PO0113,I0082,11,9,5.15,56.65
PO0113,I0062,5,5,13.41,67.05
PO0113,I0057,37,26,19.3,714.1
PO0114,I0071,149,149,6.85,1020.65
PO0114,I0046,139,139,15.0,2085.0
PO0115,I0021,49,49,30.76,1507.24
PO0115,I0096,22,22,11.16,245.52
PO0115,I0106,27,27,21.51,580.77
PO0116,I0035,5,5,27.08,135.4
PO0116,I0005,26,20,23.79,618.54
PO0116,I0055,11,7,20.42,224.62
PO0116,I0045,11,8,6.92,76.12
PO0116,I0015,33,25,2.83,93.39
PO0117,I0080,23,23,7.64,175.72
PO0117,I0065,35,35,7.08,247.8
PO0117,I0060,7,7,35.34,247.38
PO0117,I0010,20,20,34.14,682.8
PO0118,I0009,90,90,32.21,2898.9
PO0118,I0064,103,103,18.59,1914.77
PO0118,I0054,78,78,5.19,404.82
PO0119,I0062,32,0,13.62,435.84
PO0119,I0018,57,0,24.19,1378.83
PO0119,I0088,15,0,16.82,252.3
PO0119,I0033,56,0,14.92,835.52
PO0120,I0049,68,61,3.41,231.88
PO0120,I0099,95,89,6.41,608.95
PO0120,I0004,132,127,2.35,310.2
PO0120,I0119,187,172,17.92,3351.04
PO0121,I0059,102,0,1.76,179.52
PO0121,I0074,96,0,30.07,2886.72
PO0121,I0024,164,0,5.32,872.48
PO0121,I0079,186,0,33.27,6188.22
PO0121,I0014,118,0,18.91,2231.38
PO0122,I0001,25,25,31.03,775.75
PO0122,I0071,194,194,7.69,1491.86
PO0122,I0036,116,116,16.73,1940.68
PO0122,I0011,63,63,7.18,452.34
PO0122,I0016,157,157,9.37,1471.09
PO0123,I0107,16,15,10.12,161.92
PO0123,I0027,19,19,20.82,395.58
PO0124,I0059,146,146,1.78,259.88
PO0124,I0104,28,28,10.52,294.56
PO0124,I0084,193,193,26.05,5027.65
PO0125,I0109,27,27,17.66,476.82
PO0125,I0019,78,78,15.37,1198.86
PO0125,I0054,22,22,5.6,123.2
PO0125,I0119,45,45,19.23,865.35
PO0126,I0034,179,163,5.08,909.32
PO0126,I0024,95,94,5.0,475.0
PO0126,I0074,82,80,30.03,2462.46
PO0126,I0094,183,178,2.22,406.26
PO0126,I0064,161,155,20.16,3245.76
PO0127,I0074,87,87,29.66,2580.42
PO0127,I0109,141,130,16.16,2278.56
PO0127,I0059,43,40,1.56,67.08
PO0127,I0064,31,31,21.53,667.43
PO0127,I0009,107,105,32.46,3473.22
PO0128,I0104,192,181,8.46,1624.32
PO0128,I0054,78,75,5.0,390.0
PO0128,I0089,54,52,6.23,336.42
PO0129,I0063,76,76,28.71,2181.96
PO0129,I0067,13,13,10.15,131.95
PO0129,I0088,16,14,16.77,268.32
PO0130,I0105,16,16,5.1,81.6
PO0130,I0025,28,28,15.81,442.68
PO0130,I0120,26,26,5.97,155.22
PO0130,I0100,38,38,36.87,1401.06
PO0131,I0074,175,158,26.85,4698.75
PO0131,I0049,104,95,3.68,382.72
PO0132,I0026,86,86,2.29,196.94
PO0132,I0041,173,173,3.11,538.03
PO0132,I0061,153,153,12.79,1956.87
PO0132,I0001,184,184,34.13,6279.92
PO0132,I0021,51,51,35.92,1831.92
PO0132,I0011,144,144,7.47,1075.68
PO0133,I0020,35,35,14.29,500.15
PO0133,I0075,22,22,35.09,771.98
PO0133,I0085,25,25,12.32,308.0
PO0133,I0080,32,32,7.47,239.04
PO0134,I0107,12,11,11.12,133.44
PO0134,I0032,18,16,24.88,447.84
PO0134,I0057,29,26,19.34,560.86
PO0134,I0017,35,34,12.77,446.95
PO0134,I0002,32,31,8.8,281.6
PO0134,I0067,25,23,11.69,292.25
PO0135,I0084,74,74,29.54,2185.96
PO0135,I0004,118,118,2.46,290.28
PO0135,I0079,152,152,33.61,5108.72
PO0135,I0009,64,64,31.33,2005.12
PO0136,I0023,52,51,20.95,1089.4
PO0136,I0103,30,27,16.49,494.7
PO0136,I0033,40,32,15.89,635.6
PO0136,I0063,69,59,28.13,1940.97
PO0136,I0068,22,19,3.76,82.72
PO0137,I0025,17,12,14.26,242.42
PO0137,I0060,39,33,31.57,1231.23
PO0137,I0035,13,10,26.17,340.21
PO0137,I0070,39,29,36.61,1427.79
PO0138,I0049,137,137,3.5,479.5
PO0138,I0089,63,63,6.91,435.33
PO0138,I0054,54,54,5.9,318.6
PO0138,I0044,100,100,8.47,847.0
PO0139,I0114,195,195,13.04,2542.8
PO0139,I0044,48,48,9.08,435.84
PO0140,I0058,57,55,32.41,1847.37
PO0140,I0098,73,66,20.61,1504.53
PO0140,I0018,77,73,25.7,1978.9
PO0140,I0008,58,54,12.8,742.4
PO0141,I0118,35,30,11.54,403.9
PO0141,I0033,80,80,13.5,1080.0
PO0141,I0063,14,14,28.4,397.6
PO0141,I0078,30,27,32.17,965.1
PO0141,I0103,40,39,16.66,666.4
PO0142,I0009,57,52,32.03,1825.71
PO0142,I0044,147,141,8.34,1225.98
PO0143,I0028,26,23,4.05,105.3
PO0143,I0003,37,33,16.0,592.0
PO0144,I0022,40,36,21.1,844.0
PO0144,I0117,40,39,26.78,1071.2
PO0144,I0067,31,29,12.28,380.68
PO0144,I0112,34,34,11.56,393.04
PO0144,I0072,17,15,9.67,164.39
PO0144,I0017,7,6,12.79,89.53
PO0145,I0084,101,97,29.1,2939.1
PO0145,I0029,142,136,9.47,1344.74
PO0145,I0009,142,135,28.95,4110.9
PO0145,I0054,25,24,5.64,141.0
PO0145,I0104,168,163,8.77,1473.36
PO0145,I0089,159,155,5.84,928.56
PO0146,I0032,18,16,25.69,462.42
PO0146,I0037,26,24,36.86,958.36
PO0146,I0082,12,10,5.19,62.28
PO0146,I0007,17,17,30.64,520.88
PO0146,I0072,5,4,8.92,44.6
PO0147,I0044,146,146,8.56,1249.76
PO0147,I0059,134,131,1.49,199.66
PO0147,I0069,153,146,8.29,1268.37
PO0147,I0109,38,38,17.26,655.88
PO0148,I0044,120,120,8.26,991.2
PO0148,I0099,56,56,5.77,323.12
PO0148,I0019,87,87,17.72,1541.64
PO0148,I0084,58,58,28.64,1661.12
PO0148,I0074,21,21,30.45,639.45
PO0149,I0110,13,13,6.42,83.46
PO0149,I0120,8,8,5.78,46.24
PO0150,I0024,57,57,5.24,298.68
PO0150,I0029,140,140,8.08,1131.2
PO0150,I0059,109,109,1.76,191.84
PO0150,I0074,193,193,28.5,5500.5
PO0151,I0085,24,18,11.72,281.28
PO0151,I0105,38,37,5.02,190.76
PO0151,I0030,6,4,21.75,130.5
PO0151,I0095,29,22,10.8,313.2
PO0152,I0004,83,79,2.85,236.55
PO0152,I0049,52,49,3.35,174.2
PO0152,I0099,149,134,6.74,1004.26
PO0152,I0079,49,45,32.64,1599.36
PO0152,I0084,165,150,29.18,4814.7
PO0153,I0096,105,95,9.84,1033.2
PO0153,I0014,181,173,19.55,3538.55
PO0153,I0075,15,15,36.99,554.85
PO0153,I0051,127,120,5.29,671.83
PO0153,I0110,10,10,6.69,66.9
PO0154,I0072,13,11,9.59,124.67
PO0154,I0067,16,14,10.13,162.08
PO0154,I0057,36,34,22.78,820.08
PO0154,I0082,37,35,5.56,205.72
PO0155,I0090,27,27,36.77,992.79
PO0155,I0110,12,12,6.81,81.72
PO0155,I0120,10,10,6.17,61.7
PO0155,I0065,34,34,7.8,265.2
PO0155,I0030,31,31,25.62,794.22
PO0155,I0050,18,18,6.99,125.82
PO0156,I0100,15,11,28.89,433.35
PO0156,I0035,18,12,28.09,505.62
PO0156,I0030,24,18,25.78,618.72
PO0156,I0110,10,8,5.25,52.5
PO0157,I0023,24,21,25.27,606.48
PO0157,I0018,73,72,25.6,1868.8
PO0157,I0093,47,47,5.55,260.85
PO0157,I0043,25,22,32.05,801.25
PO0157,I0118,15,13,11.35,170.25
PO0157,I0053,31,30,35.75,1108.25
PO0158,I0098,68,62,22.54,1532.72
PO0158,I0042,40,39,21.27,850.8
PO0158,I0058,24,24,34.28,822.72
PO0158,I0007,40,40,32.82,1312.8
PO0158,I0113,38,36,24.9,946.2
PO0159,I0027,32,32,23.32,746.24
PO0159,I0117,34,31,25.77,876.18
PO0159,I0052,14,14,33.76,472.64
PO0160,I0069,184,184,7.88,1449.92
PO0160,I0049,67,67,3.34,223.78
PO0161,I0032,17,17,22.68,385.56
PO0161,I0092,34,30,23.73,806.82
PO0161,I0097,22,22,23.36,513.92
PO0161,I0082,12,11,5.64,67.68
PO0161,I0057,26,26,21.27,553.02
PO0162,I0083,30,27,14.88,446.4
PO0162,I0078,76,75,33.25,2527.0
PO0162,I0108,68,66,26.68,1814.24
