ItemID,Year,SellingPrice
I0055,2025,2.1
I0055,2026,2.1
I0056,2024,2.0
I0056,2025,2.1
I0056,2026,2.2
I0057,2024,
I0057,2025,
I0057,2026,2.1
I0058,2024,
I0058,2025,2.0
I0058,2026,2.0
I0059,2024,
I0059,2025,2.0
I0059,2026,2.1
I0060,2024,5.8
I0060,2025,6.0
I0060,2026,6.3
I0061,2024,
I0061,2025,
I0061,2026,2.1
I0062,2024,
I0062,2025,5.7
I0062,2026,5.9
I0063,2024,
I0063,2025,8.5
I0063,2026,8.7
I0064,2024,3.3
I0064,2025,3.4
I0064,2026,3.5
I0065,2024,
I0065,2025,5.4
I0065,2026,5.6
I0066,2024,
I0066,2025,
I0066,2026,3.0
I0067,2024,
I0067,2025,4.2
I0067,2026,4.3
I0068,2024,
I0068,2025,5.0
I0068,2026,5.2
I0069,2024,
I0069,2025,
I0069,2026,4.4
I0070,2024,8.6
I0070,2025,8.8
I0070,2026,9.2
I0071,2024,1.5
I0071,2025,1.5
I0071,2026,1.5
I0072,2024,1.5
I0072,2025,1.5
I0072,2026,1.6
I0073,2024,1.6
I0073,2025,1.7
I0073,2026,1.8
I0074,2024,1.5
I0074,2025,1.5
I0074,2026,1.5
I0075,2024,
I0075,2025,
I0075,2026,1.6
I0076,2024,1.4
I0076,2025,1.5
I0076,2026,1.5
I0077,2024,
I0077,2025,1.7
I0077,2026,1.7
I0078,2024,
I0078,2025,1.5
I0078,2026,1.6
I0079,2024,
I0079,2025,
I0079,2026,4.5
I0080,2024,
I0080,2025,
I0080,2026,2.7
I0081,2024,
I0081,2025,
I0081,2026,6.1
I0082,2024,
I0082,2025,3.0
I0082,2026,3.1
I0083,2024,
I0083,2025,3.0
I0083,2026,3.1
I0084,2024,2.9
I0084,2025,3.0
I0084,2026,3.1
I0085,2024,
I0085,2025,3.0
I0085,2026,3.1
I0086,2024,
I0086,2025,
I0086,2026,3.0
I0087,2024,3.0
I0087,2025,3.1
I0087,2026,3.2
I0088,2024,
I0088,2025,3.0
I0088,2026,3.1
I0089,2024,5.9
I0089,2025,6.2
I0089,2026,6.5
I0090,2024,4.0
I0090,2025,4.2
I0090,2026,4.3
I0091,2024,3.4
I0091,2025,3.5
I0091,2026,3.6
I0092,2024,5.3
I0092,2025,5.5
I0092,2026,5.7
I0093,2024,
I0093,2025,2.0
I0093,2026,2.1
I0094,2024,
I0094,2025,
I0094,2026,2.0
I0095,2024,
I0095,2025,5.6
I0095,2026,5.9
I0096,2024,
I0096,2025,3.4
I0096,2026,3.6
I0097,2024,11.7
I0097,2025,12.1
I0097,2026,12.4
I0098,2024,30.2
I0098,2025,31.0
I0098,2026,32.5
I0099,2024,30.6
I0099,2025,31.3
I0099,2026,32.2
I0100,2024,4.9
I0100,2025,5.0
I0100,2026,5.1
I0101,2024,4.9
I0101,2025,5.0
I0101,2026,5.1
I0102,2024,
I0102,2025,5.0
I0102,2026,5.2
I0103,2024,4.8
I0103,2025,5.0
I0103,2026,5.2
I0104,2024,
I0104,2025,5.3
I0104,2026,5.5
I0105,2024,
I0105,2025,8.1
I0105,2026,8.4
I0106,2024,
I0106,2025,7.9
I0106,2026,8.3
I0107,2024,
I0107,2025,7.9
I0107,2026,8.1
I0108,2024,8.3
I0108,2025,8.5
I0108,2026,8.7
I0109,2024,
I0109,2025,8.0
I0109,2026,8.3
I0110,2024,
I0110,2025,8.0
I0110,2026,8.3
I0111,2024,
I0111,2025,9.9
I0111,2026,10.1
I0112,2024,
I0112,2025,11.9
I0112,2026,12.4
I0113,2024,
I0113,2025,13.6
I0113,2026,14.1
I0114,2024,
I0114,2025,19.4
I0114,2026,20.0
I0115,2024,50.9
I0115,2025,52.6
I0115,2026,54.3
I0116,2024,
I0116,2025,49.1
I0116,2026,50.6
I0117,2024,
I0117,2025,
I0117,2026,50.5
I0118,2024,15.0
I0118,2025,15.5
I0118,2026,16.0
I0119,2024,
I0119,2025,20.2
I0119,2026,20.7
I0120,2024,
I0120,2025,20.2
I0120,2026,20.6
