BranchID,ItemID,QuantityOnHand,ReorderLevel,ReorderQuantity,LastUpdated
B002,I0039,0,52,142,2024-06-05
B002,I0040,0,54,107,2024-06-05
B002,I0041,0,75,130,2024-06-05
B002,I0042,0,35,102,2024-06-05
B002,I0043,0,59,97,2024-06-05
B002,I0044,0,69,171,2024-06-05
B002,I0045,0,123,220,2024-06-05
B002,I0046,0,95,194,2024-06-05
B002,I0047,0,52,118,2024-06-05
B002,I0048,0,34,55,2024-06-05
B002,I0049,0,90,259,2024-06-05
B002,I0050,0,130,228,2024-06-05
B002,I0051,0,56,118,2024-06-05
B002,I0052,0,79,199,2024-06-05
B002,I0053,124,70,133,2024-06-05
B002,I0054,309,38,111,2024-06-05
B002,I0055,319,33,56,2024-06-05
B002,I0056,186,77,180,2024-06-05
B002,I0057,0,11,17,2024-06-05
B002,I0058,0,120,294,2024-06-05
B002,I0059,0,101,168,2024-06-05
B002,I0060,0,49,137,2024-06-05
B002,I0061,0,51,120,2024-06-05
B002,I0062,0,101,205,2024-06-05
B002,I0063,0,32,53,2024-06-05
B002,I0064,0,28,63,2024-06-05
B002,I0065,0,29,81,2024-06-05
B002,I0066,0,51,146,2024-06-05
B002,I0067,0,49,129,2024-06-05
B002,I0068,0,24,56,2024-06-05
B002,I0069,0,21,41,2024-06-05
B002,I0070,0,40,112,2024-06-05
B002,I0071,280,155,291,2024-06-05
B002,I0072,330,50,116,2024-06-05
B002,I0073,509,26,55,2024-06-05
B002,I0074,612,144,267,2024-06-05
B002,I0075,0,190,331,2024-06-05
B002,I0076,0,74,200,2024-06-05
B002,I0077,0,26,41,2024-06-05
B002,I0078,0,142,412,2024-06-05
B002,I0079,0,120,232,2024-06-05
B002,I0080,0,226,518,2024-06-05
B002,I0081,0,39,67,2024-06-05
B002,I0082,0,17,44,2024-06-05
B002,I0083,0,23,38,2024-06-05
B002,I0084,0,62,113,2024-06-05
B002,I0085,0,74,123,2024-06-05
B002,I0086,0,43,70,2024-06-05
B002,I0087,0,41,70,2024-06-05
B002,I0088,0,65,138,2024-06-05
B002,I0089,77,108,264,2024-06-05
B002,I0090,224,93,193,2024-06-05
B002,I0091,247,32,81,2024-06-05
B002,I0092,376,57,88,2024-06-05
B002,I0093,0,62,147,2024-06-05
B002,I0094,0,38,99,2024-06-05
B002,I0095,0,80,129,2024-06-05
B002,I0096,0,32,71,2024-06-05
B002,I0097,132,118,297,2024-06-05
B002,I0098,512,22,60,2024-06-05
B002,I0099,395,95,276,2024-06-05
B002,I0100,90,159,333,2024-06-05
B002,I0101,0,184,504,2024-06-05
B002,I0102,0,109,316,2024-06-05
B002,I0103,0,62,167,2024-06-05
B002,I0104,0,177,379,2024-06-05
B002,I0105,0,14,37,2024-06-05
B002,I0106,0,41,101,2024-06-05
B002,I0107,0,13,24,2024-06-05
B002,I0108,0,27,47,2024-06-05
B002,I0109,0,5,10,2024-06-05
B002,I0110,0,19,55,2024-06-05
B002,I0111,0,27,41,2024-06-05
B002,I0112,0,71,126,2024-06-05
B002,I0113,0,40,99,2024-06-05
B002,I0114,0,108,187,2024-06-05
B002,I0115,0,37,59,2024-06-05
B002,I0116,0,20,32,2024-06-05
B002,I0117,0,18,32,2024-06-05
B002,I0118,0,74,210,2024-06-05
B002,I0119,0,19,42,2024-06-05
B002,I0120,0,12,21,2024-06-05
B003,I0001,260,91,264,2024-09-01
B003,I0002,805,35,92,2024-09-01
B003,I0003,126,21,52,2024-09-01
B003,I0004,756,131,243,2024-09-01
B003,I0005,0,134,282,2024-09-01
B003,I0006,636,144,254,2024-09-01
B003,I0007,599,40,88,2024-09-01
B003,I0008,0,170,489,2024-09-01
B003,I0009,0,160,412,2024-09-01
B003,I0010,0,183,538,2024-09-01
B003,I0011,0,145,394,2024-09-01
B003,I0012,0,232,409,2024-09-01
B003,I0013,759,75,221,2024-09-01
B003,I0014,675,91,146,2024-09-01
B003,I0015,498,94,249,2024-09-01
B003,I0016,415,185,282,2024-09-01
B003,I0017,0,162,458,2024-09-01
B003,I0018,0,102,200,2024-09-01
B003,I0019,204,172,414,2024-09-01
B003,I0020,0,37,76,2024-09-01
B003,I0021,0,28,79,2024-09-01
B003,I0022,0,93,233,2024-09-01
B003,I0023,0,149,412,2024-09-01
B003,I0024,0,78,220,2024-09-01
B003,I0025,257,66,163,2024-09-01
B003,I0026,340,96,224,2024-09-01
B003,I0027,363,97,268,2024-09-01
B003,I0028,434,122,206,2024-09-01
B003,I0029,0,13,32,2024-09-01
B003,I0030,0,59,134,2024-09-01
B003,I0031,0,79,164,2024-09-01
B003,I0032,0,66,170,2024-09-01
B003,I0033,0,31,86,2024-09-01
B003,I0034,0,25,38,2024-09-01
B003,I0035,327,118,343,2024-09-01
B003,I0036,295,83,159,2024-09-01
B003,I0037,282,102,288,2024-09-01
B003,I0038,155,74,150,2024-09-01
B003,I0039,0,82,239,2024-09-01
B003,I0040,257,60,134,2024-09-01
B003,I0041,0,38,65,2024-09-01
B003,I0042,0,70,204,2024-09-01
B003,I0043,0,63,113,2024-09-01
B003,I0044,0,89,265,2024-09-01
B003,I0045,0,28,42,2024-09-01
B003,I0046,146,29,50,2024-09-01
B003,I0047,350,40,96,2024-09-01
B003,I0048,0,34,76,2024-09-01
B003,I0049,0,26,61,2024-09-01
B003,I0050,0,67,190,2024-09-01
B003,I0051,0,18,40,2024-09-01
B003,I0052,0,118,265,2024-09-01
B003,I0053,0,51,132,2024-09-01
B003,I0054,115,113,172,2024-09-01
B003,I0055,49,27,56,2024-09-01
B003,I0056,188,9,17,2024-09-01
B003,I0057,0,89,179,2024-09-01
B003,I0058,0,95,200,2024-09-01
B003,I0059,0,52,99,2024-09-01
B003,I0060,0,66,170,2024-09-01
B003,I0061,0,29,65,2024-09-01
B003,I0062,0,93,257,2024-09-01
B003,I0063,0,35,66,2024-09-01
B003,I0064,42,19,42,2024-09-01
B003,I0065,0,10,26,2024-09-01
B003,I0066,0,31,90,2024-09-01
B003,I0067,0,46,101,2024-09-01
B003,I0068,0,38,81,2024-09-01
B003,I0069,0,55,140,2024-09-01
B003,I0070,0,47,136,2024-09-01
B003,I0071,236,31,91,2024-09-01
B003,I0072,356,147,433,2024-09-01
B003,I0073,733,64,183,2024-09-01
B003,I0074,106,70,157,2024-09-01
B003,I0075,0,98,174,2024-09-01
B003,I0076,0,167,474,2024-09-01
B003,I0077,0,103,249,2024-09-01
B003,I0078,0,172,414,2024-09-01
B003,I0079,0,42,88,2024-09-01
B003,I0080,0,100,220,2024-09-01
B003,I0081,0,95,212,2024-09-01
B003,I0082,0,39,88,2024-09-01
B003,I0083,0,79,202,2024-09-01
B003,I0084,0,75,170,2024-09-01
B003,I0085,0,75,198,2024-09-01
B003,I0086,0,49,122,2024-09-01
B003,I0087,0,43,107,2024-09-01
B003,I0088,0,37,103,2024-09-01
B003,I0089,262,8,21,2024-09-01
B003,I0090,169,76,175,2024-09-01
B003,I0091,346,55,157,2024-09-01
B003,I0092,150,93,203,2024-09-01
B003,I0093,0,102,189,2024-09-01
B003,I0094,0,28,73,2024-09-01
B003,I0095,0,48,88,2024-09-01
B003,I0096,0,69,160,2024-09-01
B003,I0097,623,151,345,2024-09-01
B003,I0098,285,150,421,2024-09-01
B003,I0099,531,60,164,2024-09-01
B003,I0100,431,198,469,2024-09-01
B003,I0101,0,28,42,2024-09-01
B003,I0102,0,115,180,2024-09-01
B003,I0103,0,108,297,2024-09-01
B003,I0104,0,178,307,2024-09-01
B003,I0105,0,50,80,2024-09-01
B003,I0106,0,31,65,2024-09-01
B003,I0107,0,21,38,2024-09-01
B003,I0108,0,31,69,2024-09-01
B003,I0109,0,34,83,2024-09-01
B003,I0110,0,21,57,2024-09-01
B003,I0111,0,39,112,2024-09-01
B003,I0112,0,52,131,2024-09-01
B003,I0113,0,11,25,2024-09-01
B003,I0114,0,60,94,2024-09-01
B003,I0115,0,10,20,2024-09-01
B003,I0116,0,49,86,2024-09-01
B003,I0117,0,94,212,2024-09-01
B003,I0118,0,43,106,2024-09-01
B003,I0119,0,36,98,2024-09-01
B003,I0120,0,23,41,2024-09-01
B004,I0001,160,23,49,2025-01-03
B004,I0002,280,75,219,2025-01-03
B004,I0003,192,85,195,2025-01-03
B004,I0004,260,18,38,2025-01-03
B004,I0005,0,48,136,2025-01-03
B004,I0006,398,41,86,2025-01-03
B004,I0007,320,34,53,2025-01-03
B004,I0008,0,66,128,2025-01-03
B004,I0009,0,18,31,2025-01-03
B004,I0010,244,70,136,2025-01-03
B004,I0011,0,98,262,2025-01-03
B004,I0012,0,108,268,2025-01-03
B004,I0013,234,24,45,2025-01-03
B004,I0014,177,63,182,2025-01-03
B004,I0015,213,33,60,2025-01-03
B004,I0016,162,36,76,2025-01-03
B004,I0017,253,39,85,2025-01-03
B004,I0018,0,28,76,2025-01-03
B004,I0019,75,16,33,2025-01-03
B004,I0020,292,57,91,2025-01-03
B004,I0021,0,75,208,2025-01-03
B004,I0022,0,119,238,2025-01-03
B004,I0023,0,32,77,2025-01-03
B004,I0024,0,27,66,2025-01-03
B004,I0025,202,7,17,2025-01-03
B004,I0026,164,48,89,2025-01-03
B004,I0027,176,49,89,2025-01-03
B004,I0028,22,19,41,2025-01-03
B004,I0029,0,18,33,2025-01-03
B004,I0030,0,9,25,2025-01-03
B004,I0031,0,64,156,2025-01-03
B004,I0032,0,44,73,2025-01-03
B004,I0033,0,26,39,2025-01-03
B004,I0034,0,35,95,2025-01-03
B004,I0035,178,43,101,2025-01-03
B004,I0036,124,44,119,2025-01-03
B004,I0037,153,12,20,2025-01-03
B004,I0038,124,55,108,2025-01-03
B004,I0039,66,23,52,2025-01-03
B004,I0040,189,12,25,2025-01-03
B004,I0041,0,24,49,2025-01-03
B004,I0042,0,48,101,2025-01-03
B004,I0043,0,32,62,2025-01-03
B004,I0044,0,37,68,2025-01-03
B004,I0045,0,33,54,2025-01-03
B004,I0046,140,20,58,2025-01-03
B004,I0047,134,43,100,2025-01-03
B004,I0048,165,50,114,2025-01-03
B004,I0049,207,35,71,2025-01-03
B004,I0050,0,56,129,2025-01-03
B004,I0051,0,22,42,2025-01-03
B004,I0052,0,18,30,2025-01-03
B004,I0053,0,12,21,2025-01-03
B004,I0054,122,22,33,2025-01-03
B004,I0055,179,33,63,2025-01-03
B004,I0056,28,18,42,2025-01-03
B004,I0057,0,12,22,2025-01-03
B004,I0058,0,21,36,2025-01-03
B004,I0059,0,34,80,2025-01-03
B004,I0060,53,21,45,2025-01-03
B004,I0061,0,20,58,2025-01-03
B004,I0062,0,26,45,2025-01-03
B004,I0063,0,21,54,2025-01-03
B004,I0064,22,24,49,2025-01-03
B004,I0065,0,11,23,2025-01-03
B004,I0066,0,7,15,2025-01-03
B004,I0067,0,22,36,2025-01-03
B004,I0068,34,24,40,2025-01-03
B004,I0069,0,23,56,2025-01-03
B004,I0070,44,29,49,2025-01-03
B004,I0071,334,78,152,2025-01-03
B004,I0072,88,72,174,2025-01-03
B004,I0073,110,92,255,2025-01-03
B004,I0074,209,59,92,2025-01-03
B004,I0075,0,39,115,2025-01-03
B004,I0076,248,18,36,2025-01-03
B004,I0077,0,61,139,2025-01-03
B004,I0078,0,11,26,2025-01-03
B004,I0079,0,47,83,2025-01-03
B004,I0080,0,34,74,2025-01-03
B004,I0081,0,14,34,2025-01-03
B004,I0082,0,14,28,2025-01-03
B004,I0083,0,17,42,2025-01-03
B004,I0084,177,34,88,2025-01-03
B004,I0085,0,28,70,2025-01-03
B004,I0086,0,13,27,2025-01-03
B004,I0087,141,20,51,2025-01-03
B004,I0088,0,17,42,2025-01-03
B004,I0089,83,28,74,2025-01-03
B004,I0090,85,17,32,2025-01-03
B004,I0091,42,11,26,2025-01-03
B004,I0092,120,5,10,2025-01-03
B004,I0093,0,62,153,2025-01-03
B004,I0094,0,25,53,2025-01-03
B004,I0095,0,27,51,2025-01-03
B004,I0096,0,18,43,2025-01-03
B004,I0097,268,47,100,2025-01-03
B004,I0098,267,37,87,2025-01-03
B004,I0099,75,91,193,2025-01-03
B004,I0100,161,77,146,2025-01-03
B004,I0101,172,78,189,2025-01-03
B004,I0102,0,43,65,2025-01-03
B004,I0103,81,100,215,2025-01-03
B004,I0104,0,50,82,2025-01-03
B004,I0105,0,11,26,2025-01-03
B004,I0106,0,11,21,2025-01-03
B004,I0107,0,16,36,2025-01-03
B004,I0108,58,20,32,2025-01-03
B004,I0109,0,20,50,2025-01-03
B004,I0110,0,5,13,2025-01-03
B004,I0111,0,61,163,2025-01-03
B004,I0112,0,57,104,2025-01-03
B004,I0113,0,32,80,2025-01-03
B004,I0114,0,68,145,2025-01-03
B004,I0115,81,5,10,2025-01-03
B004,I0116,0,6,17,2025-01-03
B004,I0117,0,21,59,2025-01-03
B004,I0118,16,41,70,2025-01-03
B004,I0119,0,7,10,2025-01-03
B004,I0120,0,17,36,2025-01-03
B005,I0001,385,81,226,2025-02-23
B005,I0002,378,35,93,2025-02-23
B005,I0003,254,37,94,2025-02-23
B005,I0004,192,28,48,2025-02-23
B005,I0005,0,77,126,2025-02-23
B005,I0006,122,33,80,2025-02-23
B005,I0007,45,62,148,2025-02-23
B005,I0008,0,106,218,2025-02-23
B005,I0009,0,29,86,2025-02-23
B005,I0010,126,59,126,2025-02-23
B005,I0011,0,67,148,2025-02-23
B005,I0012,0,89,194,2025-02-23
B005,I0013,348,43,65,2025-02-23
B005,I0014,104,99,243,2025-02-23
B005,I0015,335,77,225,2025-02-23
B005,I0016,242,57,113,2025-02-23
B005,I0017,346,81,153,2025-02-23
B005,I0018,0,66,188,2025-02-23
B005,I0019,217,80,187,2025-02-23
B005,I0020,154,82,125,2025-02-23
B005,I0021,0,81,161,2025-02-23
B005,I0022,0,22,56,2025-02-23
B005,I0023,0,18,44,2025-02-23
B005,I0024,0,31,84,2025-02-23
B005,I0025,30,38,91,2025-02-23
B005,I0026,169,21,45,2025-02-23
B005,I0027,64,14,27,2025-02-23
B005,I0028,147,23,52,2025-02-23
B005,I0029,0,30,74,2025-02-23
B005,I0030,0,34,86,2025-02-23
B005,I0031,111,39,63,2025-02-23
B005,I0032,0,6,13,2025-02-23
B005,I0033,0,38,96,2025-02-23
B005,I0034,0,10,17,2025-02-23
B005,I0035,109,11,23,2025-02-23
B005,I0036,139,22,46,2025-02-23
B005,I0037,173,16,29,2025-02-23
B005,I0038,150,28,74,2025-02-23
B005,I0039,262,43,105,2025-02-23
B005,I0040,202,52,147,2025-02-23
B005,I0041,0,12,20,2025-02-23
B005,I0042,0,69,170,2025-02-23
B005,I0043,128,25,43,2025-02-23
B005,I0044,0,21,55,2025-02-23
B005,I0045,0,16,47,2025-02-23
B005,I0046,188,51,109,2025-02-23
B005,I0047,103,49,142,2025-02-23
B005,I0048,224,8,23,2025-02-23
B005,I0049,142,65,128,2025-02-23
B005,I0050,0,23,46,2025-02-23
B005,I0051,118,46,77,2025-02-23
B005,I0052,0,37,76,2025-02-23
B005,I0053,0,49,117,2025-02-23
B005,I0054,25,49,75,2025-02-23
B005,I0055,31,21,41,2025-02-23
B005,I0056,107,43,84,2025-02-23
B005,I0057,0,9,23,2025-02-23
B005,I0058,0,61,124,2025-02-23
B005,I0059,0,32,81,2025-02-23
B005,I0060,177,30,46,2025-02-23
B005,I0061,0,19,38,2025-02-23
B005,I0062,0,22,57,2025-02-23
B005,I0063,0,20,44,2025-02-23
B005,I0064,23,8,17,2025-02-23
B005,I0065,0,8,13,2025-02-23
B005,I0066,0,22,43,2025-02-23
B005,I0067,0,16,36,2025-02-23
B005,I0068,63,9,21,2025-02-23
B005,I0069,0,5,10,2025-02-23
B005,I0070,60,27,53,2025-02-23
B005,I0071,60,71,173,2025-02-23
B005,I0072,420,90,244,2025-02-23
B005,I0073,264,71,189,2025-02-23
B005,I0074,157,48,91,2025-02-23
B005,I0075,0,63,156,2025-02-23
B005,I0076,310,8,22,2025-02-23
B005,I0077,445,38,71,2025-02-23
B005,I0078,0,11,21,2025-02-23
B005,I0079,0,24,56,2025-02-23
B005,I0080,0,74,120,2025-02-23
B005,I0081,0,44,116,2025-02-23
B005,I0082,0,14,37,2025-02-23
B005,I0083,0,5,10,2025-02-23
B005,I0084,107,37,102,2025-02-23
B005,I0085,0,13,31,2025-02-23
B005,I0086,0,28,80,2025-02-23
B005,I0087,179,47,98,2025-02-23
B005,I0088,0,15,39,2025-02-23
B005,I0089,117,42,107,2025-02-23
B005,I0090,190,34,95,2025-02-23
B005,I0091,122,57,90,2025-02-23
B005,I0092,47,36,95,2025-02-23
B005,I0093,0,15,25,2025-02-23
B005,I0094,0,49,104,2025-02-23
B005,I0095,183,22,53,2025-02-23
B005,I0096,0,37,85,2025-02-23
B005,I0097,85,40,110,2025-02-23
B005,I0098,234,10,16,2025-02-23
B005,I0099,367,76,163,2025-02-23
B005,I0100,244,11,28,2025-02-23
B005,I0101,296,17,28,2025-02-23
B005,I0102,0,81,124,2025-02-23
B005,I0103,75,9,23,2025-02-23
B005,I0104,0,107,235,2025-02-23
B005,I0105,0,7,18,2025-02-23
B005,I0106,0,5,11,2025-02-23
B005,I0107,0,6,10,2025-02-23
B005,I0108,64,15,34,2025-02-23
B005,I0109,0,11,24,2025-02-23
B005,I0110,0,19,50,2025-02-23
B005,I0111,0,10,28,2025-02-23
B005,I0112,0,44,66,2025-02-23
B005,I0113,0,20,49,2025-02-23
B005,I0114,206,36,74,2025-02-23
B005,I0115,19,5,14,2025-02-23
B005,I0116,0,10,15,2025-02-23
B005,I0117,0,6,15,2025-02-23
B005,I0118,179,30,69,2025-02-23
B005,I0119,0,13,23,2025-02-23
B005,I0120,0,21,40,2025-02-23
B006,I0001,314,65,149,2025-03-21
B006,I0002,237,58,152,2025-03-21
B006,I0003,120,15,40,2025-03-21
B006,I0004,227,54,130,2025-03-21
B006,I0005,0,63,159,2025-03-21
B006,I0006,131,22,63,2025-03-21
B006,I0007,118,13,19,2025-03-21
B006,I0008,0,50,83,2025-03-21
B006,I0009,0,30,59,2025-03-21
B006,I0010,127,76,221,2025-03-21
B006,I0011,0,54,136,2025-03-21
B006,I0012,0,43,106,2025-03-21
B006,I0013,339,46,128,2025-03-21
B006,I0014,156,83,135,2025-03-21
B006,I0015,180,19,37,2025-03-21
B006,I0016,300,50,111,2025-03-21
B006,I0017,201,53,138,2025-03-21
B006,I0018,0,28,54,2025-03-21
B006,I0019,359,61,156,2025-03-21
B006,I0020,394,73,144,2025-03-21
B006,I0021,0,19,39,2025-03-21
B006,I0022,0,17,41,2025-03-21
B006,I0023,0,26,57,2025-03-21
B006,I0024,0,110,167,2025-03-21
B006,I0025,174,35,61,2025-03-21
B006,I0026,84,34,98,2025-03-21
B006,I0027,40,24,39,2025-03-21
B006,I0028,139,38,110,2025-03-21
B006,I0029,0,21,45,2025-03-21
B006,I0030,0,31,50,2025-03-21
B006,I0031,164,24,40,2025-03-21
B006,I0032,0,19,46,2025-03-21
B006,I0033,0,30,79,2025-03-21
B006,I0034,0,12,32,2025-03-21
B006,I0035,89,42,116,2025-03-21
B006,I0036,30,29,74,2025-03-21
B006,I0037,164,20,58,2025-03-21
B006,I0038,103,43,69,2025-03-21
B006,I0039,119,28,67,2025-03-21
B006,I0040,187,50,88,2025-03-21
B006,I0041,0,33,87,2025-03-21
B006,I0042,260,58,138,2025-03-21
B006,I0043,45,68,118,2025-03-21
B006,I0044,0,25,71,2025-03-21
B006,I0045,0,8,18,2025-03-21
B006,I0046,93,45,75,2025-03-21
B006,I0047,34,30,63,2025-03-21
B006,I0048,213,31,50,2025-03-21
B006,I0049,216,23,36,2025-03-21
B006,I0050,0,9,24,2025-03-21
B006,I0051,84,28,80,2025-03-21
B006,I0052,0,35,94,2025-03-21
B006,I0053,0,35,88,2025-03-21
B006,I0054,110,31,55,2025-03-21
B006,I0055,31,38,94,2025-03-21
B006,I0056,24,30,84,2025-03-21
B006,I0057,0,44,83,2025-03-21
B006,I0058,0,16,33,2025-03-21
B006,I0059,0,16,34,2025-03-21
B006,I0060,139,53,157,2025-03-21
B006,I0061,0,22,37,2025-03-21
B006,I0062,0,31,50,2025-03-21
B006,I0063,0,7,17,2025-03-21
B006,I0064,27,6,12,2025-03-21
B006,I0065,0,5,12,2025-03-21
B006,I0066,0,13,31,2025-03-21
B006,I0067,0,5,12,2025-03-21
B006,I0068,30,14,22,2025-03-21
B006,I0069,0,11,19,2025-03-21
B006,I0070,52,10,18,2025-03-21
B006,I0071,78,73,156,2025-03-21
B006,I0072,94,57,154,2025-03-21
B006,I0073,110,55,128,2025-03-21
B006,I0074,94,21,56,2025-03-21
B006,I0075,0,90,263,2025-03-21
B006,I0076,407,28,70,2025-03-21
B006,I0077,198,32,62,2025-03-21
B006,I0078,0,41,81,2025-03-21
B006,I0079,0,24,60,2025-03-21
B006,I0080,0,39,114,2025-03-21
B006,I0081,0,21,34,2025-03-21
B006,I0082,0,6,13,2025-03-21
B006,I0083,0,40,100,2025-03-21
B006,I0084,182,32,52,2025-03-21
B006,I0085,0,54,115,2025-03-21
B006,I0086,0,23,54,2025-03-21
B006,I0087,97,18,48,2025-03-21
B006,I0088,0,10,24,2025-03-21
B006,I0089,34,16,46,2025-03-21
B006,I0090,54,7,13,2025-03-21
B006,I0091,226,39,92,2025-03-21
B006,I0092,38,29,68,2025-03-21
B006,I0093,0,43,100,2025-03-21
B006,I0094,0,29,58,2025-03-21
B006,I0095,150,18,39,2025-03-21
