OrderID,FullfillmentType,OrderDateTime,OrderStatus,SubtotalAmount,VoucherDiscountAmount,MyKasihSubsidyTotal,GrandTotal,BranchID,VoucherID
O00034,DELIVERY,2020-01-02 15:32:17,COMPLETED,10.27,0.00,0.00,15.17,B001,NULL
O00035,WALK_IN,2020-01-02 16:07:41,COMPLETED,16.49,0.00,0.00,16.49,B001,NULL
O00036,PICKUP,2020-01-02 18:47:17,COMPLETED,34.75,0.00,0.00,34.75,B001,NULL
O00037,WALK_IN,2020-01-03 09:59:47,COMPLETED,25.62,0.00,0.00,25.62,B001,NULL
O00038,WALK_IN,2020-01-03 10:54:53,COMPLETED,12.35,0.00,0.00,12.35,B001,NULL
O00039,WALK_IN,2020-01-03 11:04:24,COMPLETED,14.61,0.00,0.00,14.61,B001,NULL
O00040,WALK_IN,2020-01-03 11:50:34,COMPLETED,38.34,0.00,0.00,38.34,B001,NULL
O00041,WALK_IN,2020-01-03 13:37:32,COMPLETED,9.55,0.00,0.00,9.55,B001,NULL
O00042,WALK_IN,2020-01-03 13:57:31,COMPLETED,45.79,0.00,0.00,45.79,B001,NULL
O00043,WALK_IN,2020-01-03 14:18:01,COMPLETED,11.12,0.00,0.00,11.12,B001,NULL
O00044,DELIVERY,2020-01-03 15:39:01,COMPLETED,28.90,0.00,0.00,33.80,B001,NULL
O00045,DELIVERY,2020-01-03 15:39:49,COMPLETED,2.63,0.00,0.00,7.53,B001,NULL
O00046,PICKUP,2020-01-03 16:42:38,COMPLETED,100.42,0.00,0.00,100.42,B001,NULL
O00047,WALK_IN,2020-01-03 17:23:53,COMPLETED,44.76,0.00,0.00,44.76,B001,NULL
O00048,WALK_IN,2020-01-03 17:55:12,COMPLETED,10.77,0.00,0.00,10.77,B001,NULL
O00049,WALK_IN,2020-01-03 18:16:11,COMPLETED,87.94,0.00,0.00,87.94,B001,NULL
O00050,WALK_IN,2020-01-03 18:54:37,COMPLETED,21.15,0.00,0.00,21.15,B001,NULL
O00051,WALK_IN,2020-01-03 19:44:34,COMPLETED,7.18,0.00,0.00,7.18,B001,NULL
O00052,WALK_IN,2020-01-03 19:58:31,COMPLETED,93.90,0.00,0.00,93.90,B001,NULL
O00053,WALK_IN,2020-01-03 20:26:40,COMPLETED,19.13,0.00,0.00,19.13,B001,NULL
O00054,WALK_IN,2020-01-03 21:05:15,COMPLETED,18.29,0.00,0.00,18.29,B001,NULL
O00055,WALK_IN,2020-01-04 08:47:54,COMPLETED,14.35,0.00,0.00,14.35,B001,NULL
O00056,PICKUP,2020-01-04 12:47:51,COMPLETED,15.48,0.00,0.00,15.48,B001,NULL
O00057,DELIVERY,2020-01-04 12:55:11,COMPLETED,25.43,0.00,0.00,30.33,B001,NULL
O00058,DELIVERY,2020-01-04 13:14:41,COMPLETED,26.29,0.00,0.00,31.19,B001,NULL
O00059,WALK_IN,2020-01-04 13:24:10,COMPLETED,30.04,0.00,0.00,30.04,B001,NULL
O00060,WALK_IN,2020-01-04 13:59:38,COMPLETED,29.10,0.00,0.00,29.10,B001,NULL
O00061,PICKUP,2020-01-04 15:46:34,COMPLETED,10.95,0.00,0.00,10.95,B001,NULL
O00062,WALK_IN,2020-01-04 16:00:34,COMPLETED,58.81,0.00,0.00,58.81,B001,NULL
O00063,PICKUP,2020-01-04 16:06:56,COMPLETED,24.20,0.00,0.00,24.20,B001,NULL
O00064,WALK_IN,2020-01-04 16:48:29,COMPLETED,19.95,0.00,0.00,19.95,B001,NULL
O00065,WALK_IN,2020-01-04 17:15:23,COMPLETED,12.23,0.00,0.00,12.23,B001,NULL
O00066,DELIVERY,2020-01-04 17:38:12,COMPLETED,68.24,0.00,0.00,75.14,B001,NULL
O00067,WALK_IN,2020-01-04 18:14:14,COMPLETED,27.54,0.00,0.00,27.54,B001,NULL
O00068,DELIVERY,2020-01-04 19:58:21,COMPLETED,20.00,0.00,0.00,24.90,B001,NULL
O00069,WALK_IN,2020-01-04 20:28:29,COMPLETED,100.05,0.00,0.00,100.05,B001,NULL
O00070,WALK_IN,2020-01-04 21:44:29,COMPLETED,14.85,0.00,0.00,14.85,B001,NULL
O00071,WALK_IN,2020-01-04 21:45:09,COMPLETED,1.93,0.00,0.00,1.93,B001,NULL
O00072,WALK_IN,2020-01-04 21:50:46,COMPLETED,9.14,0.00,0.00,9.14,B001,NULL
O00073,PICKUP,2020-01-05 09:45:27,COMPLETED,41.68,0.00,0.00,41.68,B001,NULL
O00074,DELIVERY,2020-01-05 09:47:46,COMPLETED,20.35,0.00,0.00,25.25,B001,NULL
O00075,PICKUP,2020-01-05 11:09:46,COMPLETED,85.60,8.00,0.00,77.60,B001,V001
O00076,PICKUP,2020-01-05 12:26:46,COMPLETED,19.32,0.00,0.00,19.32,B001,NULL
O00077,WALK_IN,2020-01-05 12:49:22,COMPLETED,23.36,0.00,0.00,23.36,B001,NULL
O00078,WALK_IN,2020-01-05 13:31:09,COMPLETED,13.93,0.00,0.00,13.93,B001,NULL
O00079,DELIVERY,2020-01-05 15:17:27,COMPLETED,171.28,0.00,0.00,180.18,B001,NULL
O00080,WALK_IN,2020-01-05 16:09:06,COMPLETED,67.61,0.00,0.00,67.61,B001,NULL
O00081,DELIVERY,2020-01-05 17:18:31,COMPLETED,20.12,0.00,0.00,25.02,B001,NULL
O00082,WALK_IN,2020-01-05 17:36:14,COMPLETED,46.69,0.00,0.00,46.69,B001,NULL
O00083,PICKUP,2020-01-05 18:13:57,COMPLETED,31.29,0.00,0.00,31.29,B001,NULL
O00084,WALK_IN,2020-01-05 18:27:36,COMPLETED,8.56,0.00,0.00,8.56,B001,NULL
O00085,DELIVERY,2020-01-05 18:31:10,COMPLETED,11.60,0.00,0.00,16.50,B001,NULL
O00086,WALK_IN,2020-01-05 19:01:52,COMPLETED,54.19,0.00,0.00,54.19,B001,NULL
O00087,PICKUP,2020-01-05 21:22:39,COMPLETED,36.22,0.00,0.00,36.22,B001,NULL
O00088,WALK_IN,2020-01-06 09:03:22,COMPLETED,8.82,0.00,0.00,8.82,B001,NULL
O00089,WALK_IN,2020-01-06 09:58:28,COMPLETED,16.46,0.00,0.00,16.46,B001,NULL
O00090,PICKUP,2020-01-06 10:11:51,COMPLETED,18.86,0.00,0.00,18.86,B001,NULL
O00091,WALK_IN,2020-01-06 10:14:33,COMPLETED,161.48,0.00,0.00,161.48,B001,NULL
O00092,WALK_IN,2020-01-06 11:19:57,COMPLETED,4.36,0.00,0.00,4.36,B001,NULL
O00093,WALK_IN,2020-01-06 11:48:49,COMPLETED,90.55,8.00,0.00,82.55,B001,V001
O00094,WALK_IN,2020-01-06 13:28:19,COMPLETED,31.24,0.00,0.00,31.24,B001,NULL
O00095,DELIVERY,2020-01-06 17:25:41,COMPLETED,26.48,0.00,0.00,31.38,B001,NULL
O00096,WALK_IN,2020-01-06 18:33:25,COMPLETED,18.01,0.00,0.00,18.01,B001,NULL
O00097,WALK_IN,2020-01-06 19:05:43,COMPLETED,2.90,0.00,0.00,2.90,B001,NULL
O00098,WALK_IN,2020-01-06 19:19:28,COMPLETED,4.34,0.00,0.00,4.34,B001,NULL
O00099,WALK_IN,2020-01-06 19:42:03,COMPLETED,9.33,0.00,0.00,9.33,B001,NULL
O00100,WALK_IN,2020-01-07 09:20:07,COMPLETED,17.24,0.00,0.00,17.24,B001,NULL
O00101,WALK_IN,2020-01-07 10:08:38,COMPLETED,16.65,0.00,0.00,16.65,B001,NULL
O00102,WALK_IN,2020-01-07 10:11:02,COMPLETED,69.63,8.00,0.00,61.63,B001,V001
O00103,WALK_IN,2020-01-07 11:19:34,COMPLETED,78.28,0.00,0.00,78.28,B001,NULL
O00104,WALK_IN,2020-01-07 11:28:34,COMPLETED,14.77,0.00,0.00,14.77,B001,NULL
O00105,WALK_IN,2020-01-07 12:02:38,COMPLETED,16.52,0.00,0.00,16.52,B001,NULL
O00106,WALK_IN,2020-01-07 13:23:12,COMPLETED,25.27,0.00,0.00,25.27,B001,NULL
O00107,WALK_IN,2020-01-07 13:49:49,COMPLETED,41.98,0.00,0.00,41.98,B001,NULL
O00108,DELIVERY,2020-01-07 14:32:02,COMPLETED,13.21,0.00,0.00,18.11,B001,NULL
O00109,PICKUP,2020-01-07 14:32:37,COMPLETED,18.90,0.00,0.00,18.90,B001,NULL
O00110,WALK_IN,2020-01-07 14:37:33,COMPLETED,156.26,0.00,0.00,156.26,B001,NULL
O00111,WALK_IN,2020-01-07 15:42:42,COMPLETED,33.05,0.00,0.00,33.05,B001,NULL
O00112,PICKUP,2020-01-07 16:12:59,COMPLETED,9.16,0.00,0.00,9.16,B001,NULL
O00113,WALK_IN,2020-01-07 19:46:40,COMPLETED,7.46,0.00,0.00,7.46,B001,NULL
O00114,WALK_IN,2020-01-07 20:54:38,COMPLETED,23.88,0.00,0.00,23.88,B001,NULL
O00115,WALK_IN,2020-01-07 20:54:40,COMPLETED,66.81,0.00,0.00,66.81,B001,NULL
O00116,WALK_IN,2020-01-07 21:04:39,COMPLETED,15.04,0.00,0.00,15.04,B001,NULL
O00117,PICKUP,2020-01-07 21:37:35,COMPLETED,17.48,0.00,0.00,17.48,B001,NULL
O00118,WALK_IN,2020-01-08 10:19:05,COMPLETED,19.62,0.00,0.00,19.62,B001,NULL
O00119,WALK_IN,2020-01-08 12:51:44,COMPLETED,26.26,0.00,0.00,26.26,B001,NULL
O00120,WALK_IN,2020-01-08 14:11:42,COMPLETED,123.54,0.00,0.00,123.54,B001,NULL
O00121,WALK_IN,2020-01-08 14:53:06,COMPLETED,55.92,0.00,0.00,55.92,B001,NULL
O00122,WALK_IN,2020-01-08 17:53:40,COMPLETED,75.27,0.00,0.00,75.27,B001,NULL
O00123,DELIVERY,2020-01-08 18:45:07,COMPLETED,13.57,0.00,0.00,18.47,B001,NULL
O00124,PICKUP,2020-01-08 19:42:37,COMPLETED,38.34,0.00,0.00,38.34,B001,NULL
O00125,WALK_IN,2020-01-08 20:27:49,COMPLETED,42.72,0.00,0.00,42.72,B001,NULL
O00126,DELIVERY,2020-01-08 20:32:51,COMPLETED,34.16,0.00,0.00,39.06,B001,NULL
O00127,WALK_IN,2020-01-09 11:45:18,COMPLETED,29.63,0.00,0.00,29.63,B001,NULL
O00128,PICKUP,2020-01-09 12:05:23,COMPLETED,27.95,0.00,0.00,27.95,B001,NULL
O00129,WALK_IN,2020-01-09 12:24:03,COMPLETED,45.53,0.00,0.00,45.53,B001,NULL
O00130,WALK_IN,2020-01-09 12:33:29,COMPLETED,5.60,0.00,0.00,5.60,B001,NULL
O00131,PICKUP,2020-01-09 12:43:35,COMPLETED,87.60,0.00,0.00,87.60,B001,NULL
O00132,DELIVERY,2020-01-09 12:58:28,COMPLETED,4.34,0.00,0.00,9.24,B001,NULL
O00133,WALK_IN,2020-01-09 13:26:53,COMPLETED,25.35,0.00,0.00,25.35,B001,NULL
O00134,WALK_IN,2020-01-09 13:31:00,COMPLETED,12.15,0.00,0.00,12.15,B001,NULL
O00135,WALK_IN,2020-01-09 14:05:40,COMPLETED,4.27,0.00,0.00,4.27,B001,NULL
O00136,WALK_IN,2020-01-09 14:20:44,COMPLETED,11.78,0.00,0.00,11.78,B001,NULL
O00137,WALK_IN,2020-01-09 15:52:45,COMPLETED,70.30,0.00,0.00,70.30,B001,NULL
O00138,WALK_IN,2020-01-09 16:32:45,COMPLETED,2.88,0.00,0.00,2.88,B001,NULL
O00139,WALK_IN,2020-01-09 17:42:37,COMPLETED,81.75,0.00,0.00,81.75,B001,NULL
O00140,WALK_IN,2020-01-09 18:22:33,COMPLETED,59.85,0.00,0.00,59.85,B001,NULL
O00141,WALK_IN,2020-01-09 18:31:47,COMPLETED,29.72,0.00,0.00,29.72,B001,NULL
O00142,WALK_IN,2020-01-09 18:46:06,COMPLETED,37.99,0.00,0.00,37.99,B001,NULL
O00143,PICKUP,2020-01-09 19:33:41,COMPLETED,39.01,0.00,0.00,39.01,B001,NULL
O00144,WALK_IN,2020-01-09 20:06:57,COMPLETED,56.29,8.00,0.00,48.29,B001,V001
O00145,WALK_IN,2020-01-10 08:03:48,COMPLETED,4.52,0.00,0.00,4.52,B001,NULL
O00146,WALK_IN,2020-01-10 13:04:52,COMPLETED,54.42,0.00,0.00,54.42,B001,NULL
O00147,WALK_IN,2020-01-10 13:23:42,COMPLETED,20.71,0.00,0.00,20.71,B001,NULL
O00148,WALK_IN,2020-01-10 14:12:04,COMPLETED,22.96,0.00,0.00,22.96,B001,NULL
O00149,WALK_IN,2020-01-10 15:50:32,COMPLETED,36.85,0.00,0.00,36.85,B001,NULL
O00150,PICKUP,2020-01-10 16:34:47,COMPLETED,87.87,0.00,0.00,87.87,B001,NULL
O00151,PICKUP,2020-01-10 16:42:15,COMPLETED,73.89,0.00,0.00,73.89,B001,NULL
O00152,DELIVERY,2020-01-10 17:34:37,COMPLETED,40.41,0.00,0.00,45.31,B001,NULL
O00153,WALK_IN,2020-01-10 17:51:06,COMPLETED,97.63,0.00,0.00,97.63,B001,NULL
O00154,DELIVERY,2020-01-10 19:05:54,COMPLETED,41.88,0.00,0.00,46.78,B001,NULL
O00155,DELIVERY,2020-01-10 19:24:54,COMPLETED,74.43,6.90,0.00,74.43,B001,V006
O00156,WALK_IN,2020-01-10 19:26:46,COMPLETED,32.82,0.00,0.00,32.82,B001,NULL
O00157,WALK_IN,2020-01-10 19:41:34,COMPLETED,34.43,0.00,0.00,34.43,B001,NULL
O00158,WALK_IN,2020-01-10 19:45:09,COMPLETED,36.52,0.00,0.00,36.52,B001,NULL
O00159,WALK_IN,2020-01-10 19:48:52,COMPLETED,9.51,0.00,0.00,9.51,B001,NULL
O00160,WALK_IN,2020-01-10 20:36:48,COMPLETED,11.42,0.00,0.00,11.42,B001,NULL
O00161,WALK_IN,2020-01-10 21:26:58,COMPLETED,27.42,0.00,0.00,27.42,B001,NULL
O00162,WALK_IN,2020-01-11 08:11:09,COMPLETED,4.08,0.00,0.00,4.08,B001,NULL
O00163,DELIVERY,2020-01-11 10:17:49,COMPLETED,144.22,0.00,0.00,153.12,B001,NULL
O00164,WALK_IN,2020-01-11 11:28:20,COMPLETED,149.15,0.00,0.00,149.15,B001,NULL
O00165,DELIVERY,2020-01-11 11:40:36,COMPLETED,16.06,0.00,0.00,20.96,B001,NULL
O00166,WALK_IN,2020-01-11 11:43:54,COMPLETED,20.05,0.00,0.00,20.05,B001,NULL
O00167,PICKUP,2020-01-11 11:56:44,COMPLETED,8.57,0.00,0.00,8.57,B001,NULL
O00168,WALK_IN,2020-01-11 12:01:05,COMPLETED,18.86,0.00,0.00,18.86,B001,NULL
O00169,DELIVERY,2020-01-11 12:13:19,COMPLETED,9.56,0.00,0.00,14.46,B001,NULL
O00170,PICKUP,2020-01-11 12:17:51,COMPLETED,33.38,0.00,0.00,33.38,B001,NULL
O00171,WALK_IN,2020-01-11 12:32:54,COMPLETED,77.92,0.00,0.00,77.92,B001,NULL
O00172,PICKUP,2020-01-11 12:49:49,COMPLETED,21.89,0.00,0.00,21.89,B001,NULL
O00173,DELIVERY,2020-01-11 12:54:18,COMPLETED,34.04,0.00,0.00,38.94,B001,NULL
O00174,WALK_IN,2020-01-11 13:10:01,COMPLETED,19.15,0.00,0.00,19.15,B001,NULL
O00175,WALK_IN,2020-01-11 13:14:18,COMPLETED,17.51,0.00,0.00,17.51,B001,NULL
O00176,PICKUP,2020-01-11 13:15:15,COMPLETED,15.82,0.00,0.00,15.82,B001,NULL
O00177,WALK_IN,2020-01-11 13:19:56,COMPLETED,18.90,0.00,0.00,18.90,B001,NULL
O00178,PICKUP,2020-01-11 13:31:53,COMPLETED,11.82,0.00,0.00,11.82,B001,NULL
O00179,WALK_IN,2020-01-11 14:58:37,COMPLETED,25.08,0.00,0.00,25.08,B001,NULL
O00180,WALK_IN,2020-01-11 15:23:37,COMPLETED,34.68,0.00,0.00,34.68,B001,NULL
O00181,WALK_IN,2020-01-11 15:32:38,COMPLETED,18.54,0.00,0.00,18.54,B001,NULL
O00182,WALK_IN,2020-01-11 15:48:35,COMPLETED,20.34,0.00,0.00,20.34,B001,NULL
O00183,WALK_IN,2020-01-11 15:51:10,COMPLETED,17.88,0.00,0.00,17.88,B001,NULL
O00184,WALK_IN,2020-01-11 16:16:43,COMPLETED,16.48,0.00,0.00,16.48,B001,NULL
O00185,DELIVERY,2020-01-11 16:22:29,COMPLETED,171.77,0.00,0.00,180.67,B001,NULL
O00186,WALK_IN,2020-01-11 17:51:24,COMPLETED,8.70,0.00,0.00,8.70,B001,NULL
O00187,WALK_IN,2020-01-11 18:39:26,COMPLETED,73.62,0.00,0.00,73.62,B001,NULL
O00188,PICKUP,2020-01-11 19:15:03,COMPLETED,46.21,0.00,0.00,46.21,B001,NULL
O00189,WALK_IN,2020-01-11 19:34:20,COMPLETED,12.16,0.00,0.00,12.16,B001,NULL
O00190,WALK_IN,2020-01-11 19:35:30,COMPLETED,42.04,0.00,0.00,42.04,B001,NULL
O00191,PICKUP,2020-01-11 19:45:18,COMPLETED,14.10,0.00,0.00,14.10,B001,NULL
O00192,WALK_IN,2020-01-11 19:53:02,COMPLETED,7.05,0.00,0.00,7.05,B001,NULL
O00193,PICKUP,2020-01-11 20:29:32,COMPLETED,12.79,0.00,0.00,12.79,B001,NULL
O00194,WALK_IN,2020-01-11 21:26:10,COMPLETED,10.94,0.00,0.00,10.94,B001,NULL
O00195,PICKUP,2020-01-12 08:10:33,COMPLETED,16.60,0.00,0.00,16.60,B001,NULL
O00196,WALK_IN,2020-01-12 08:21:55,COMPLETED,28.51,0.00,0.00,28.51,B001,NULL
O00197,DELIVERY,2020-01-12 09:03:24,COMPLETED,93.91,0.00,0.00,100.81,B001,NULL
O00198,WALK_IN,2020-01-12 09:19:07,COMPLETED,36.18,0.00,0.00,36.18,B001,NULL
O00199,PICKUP,2020-01-12 11:50:38,COMPLETED,7.25,0.00,0.00,7.25,B001,NULL
O00200,WALK_IN,2020-01-12 11:58:41,COMPLETED,33.12,0.00,0.00,33.12,B001,NULL
O00201,WALK_IN,2020-01-12 12:38:45,COMPLETED,15.48,0.00,0.00,15.48,B001,NULL
O00202,WALK_IN,2020-01-12 12:40:09,COMPLETED,6.37,0.00,0.00,6.37,B001,NULL
O00203,WALK_IN,2020-01-12 13:01:20,COMPLETED,35.85,0.00,0.00,35.85,B001,NULL
O00204,WALK_IN,2020-01-12 13:25:33,COMPLETED,21.52,0.00,0.00,21.52,B001,NULL
O00205,WALK_IN,2020-01-12 13:45:13,COMPLETED,64.36,8.00,0.00,56.36,B001,V001
O00206,WALK_IN,2020-01-12 14:15:35,COMPLETED,16.93,0.00,0.00,16.93,B001,NULL
O00207,WALK_IN,2020-01-12 14:23:42,COMPLETED,10.10,0.00,0.00,10.10,B001,NULL
O00208,PICKUP,2020-01-12 14:24:36,COMPLETED,33.05,0.00,0.00,33.05,B001,NULL
O00209,PICKUP,2020-01-12 16:01:08,COMPLETED,37.69,0.00,0.00,37.69,B001,NULL
O00210,WALK_IN,2020-01-12 16:28:07,COMPLETED,22.30,0.00,0.00,22.30,B001,NULL
O00211,WALK_IN,2020-01-12 16:35:48,COMPLETED,89.61,0.00,0.00,89.61,B001,NULL
O00212,WALK_IN,2020-01-12 17:53:02,COMPLETED,37.08,0.00,0.00,37.08,B001,NULL
O00213,PICKUP,2020-01-12 18:05:22,COMPLETED,73.97,0.00,0.00,73.97,B001,NULL
O00214,WALK_IN,2020-01-12 18:50:44,COMPLETED,7.71,0.00,0.00,7.71,B001,NULL
O00215,WALK_IN,2020-01-12 18:56:51,COMPLETED,20.75,0.00,0.00,20.75,B001,NULL
O00216,PICKUP,2020-01-12 19:03:23,COMPLETED,13.04,0.00,0.00,13.04,B001,NULL
O00217,WALK_IN,2020-01-12 19:03:25,COMPLETED,15.98,0.00,0.00,15.98,B001,NULL
O00218,PICKUP,2020-01-12 19:25:54,COMPLETED,54.27,0.00,0.00,54.27,B001,NULL
O00219,WALK_IN,2020-01-12 19:34:52,COMPLETED,36.16,0.00,0.00,36.16,B001,NULL
O00220,DELIVERY,2020-01-12 20:06:42,COMPLETED,3.40,0.00,0.00,8.30,B001,NULL
O00221,WALK_IN,2020-01-12 21:00:45,COMPLETED,7.24,0.00,0.00,7.24,B001,NULL
O00222,PICKUP,2020-01-13 09:23:14,COMPLETED,8.93,0.00,0.00,8.93,B001,NULL
O00223,WALK_IN,2020-01-13 10:37:22,COMPLETED,40.03,0.00,0.00,40.03,B001,NULL
O00224,WALK_IN,2020-01-13 10:43:03,COMPLETED,2.34,0.00,0.00,2.34,B001,NULL
O00225,WALK_IN,2020-01-13 10:56:48,COMPLETED,168.35,0.00,0.00,168.35,B001,NULL
O00226,DELIVERY,2020-01-13 12:22:01,COMPLETED,105.46,0.00,0.00,112.36,B001,NULL
O00227,WALK_IN,2020-01-13 13:24:20,COMPLETED,3.58,0.00,0.00,3.58,B001,NULL
O00228,WALK_IN,2020-01-13 13:43:50,COMPLETED,122.65,0.00,0.00,122.65,B001,NULL
O00229,WALK_IN,2020-01-13 13:51:37,COMPLETED,13.70,0.00,0.00,13.70,B001,NULL
O00230,PICKUP,2020-01-13 16:59:09,COMPLETED,4.42,0.00,0.00,4.42,B001,NULL
O00231,WALK_IN,2020-01-13 17:00:42,COMPLETED,3.76,0.00,0.00,3.76,B001,NULL
O00232,WALK_IN,2020-01-13 18:02:12,COMPLETED,107.68,8.00,0.00,99.68,B001,V001
O00233,PICKUP,2020-01-13 18:24:09,COMPLETED,7.28,0.00,0.00,7.28,B001,NULL
O00234,PICKUP,2020-01-13 18:38:26,COMPLETED,45.50,0.00,0.00,45.50,B001,NULL
O00235,DELIVERY,2020-01-13 19:26:56,COMPLETED,12.32,0.00,0.00,17.22,B001,NULL
O00236,DELIVERY,2020-01-13 20:41:12,COMPLETED,35.41,0.00,0.00,40.31,B001,NULL
O00237,WALK_IN,2020-01-14 08:02:49,COMPLETED,27.12,0.00,0.00,27.12,B001,NULL
O00238,WALK_IN,2020-01-14 11:00:00,COMPLETED,25.27,0.00,0.00,25.27,B001,NULL
O00239,PICKUP,2020-01-14 11:27:30,COMPLETED,33.29,0.00,0.00,33.29,B001,NULL
O00240,WALK_IN,2020-01-14 12:01:08,COMPLETED,39.19,0.00,0.00,39.19,B001,NULL
O00241,PICKUP,2020-01-14 15:53:01,COMPLETED,14.09,0.00,0.00,14.09,B001,NULL
O00242,WALK_IN,2020-01-14 16:00:54,COMPLETED,42.84,0.00,0.00,42.84,B001,NULL
O00243,DELIVERY,2020-01-14 16:03:18,COMPLETED,32.28,0.00,0.00,37.18,B001,NULL
O00244,DELIVERY,2020-01-14 16:06:56,COMPLETED,8.40,0.00,0.00,13.30,B001,NULL
O00245,PICKUP,2020-01-14 16:56:55,COMPLETED,11.94,0.00,0.00,11.94,B001,NULL
O00246,WALK_IN,2020-01-14 17:29:05,COMPLETED,1.76,0.00,0.00,1.76,B001,NULL
O00247,WALK_IN,2020-01-14 18:02:53,COMPLETED,149.49,0.00,0.00,149.49,B001,NULL
O00248,DELIVERY,2020-01-14 18:18:55,COMPLETED,31.20,0.00,0.00,36.10,B001,NULL
O00249,DELIVERY,2020-01-14 18:49:21,COMPLETED,20.79,0.00,0.00,25.69,B001,NULL
O00250,WALK_IN,2020-01-14 18:59:07,COMPLETED,77.87,0.00,0.00,77.87,B001,NULL
O00251,WALK_IN,2020-01-14 19:04:24,COMPLETED,45.04,0.00,0.00,45.04,B001,NULL
O00252,WALK_IN,2020-01-14 19:14:16,COMPLETED,57.14,0.00,0.00,57.14,B001,NULL
O00253,WALK_IN,2020-01-14 19:49:59,COMPLETED,13.33,0.00,0.00,13.33,B001,NULL
O00254,WALK_IN,2020-01-14 20:19:49,COMPLETED,10.06,0.00,0.00,10.06,B001,NULL
O00255,WALK_IN,2020-01-15 08:18:23,COMPLETED,13.33,0.00,0.00,13.33,B001,NULL
O00256,WALK_IN,2020-01-15 09:50:30,COMPLETED,3.42,0.00,0.00,3.42,B001,NULL
O00257,WALK_IN,2020-01-15 10:47:34,COMPLETED,47.43,0.00,0.00,47.43,B001,NULL
