PurchaseOrderID,OrderDate,ExpectedDeliveryDate,ReceivedDate,TotalAmount,Status,SupplierID,StaffID
PO0061,2024-08-11,2024-08-16,2024-08-18,2800.1,RECEIVED,SUP004,S0034
PO0062,2024-08-14,2024-08-21,2024-08-26,1754.57,RECEIVED,SUP010,S0034
PO0063,2024-08-22,2024-08-25,2024-08-26,995.66,RECEIVED,SUP003,S0034
PO0064,2024-08-23,2024-08-26,2024-08-25,2281.6,RECEIVED,SUP001,S0034
PO0065,2024-08-29,2024-09-01,2024-08-31,1990.77,RECEIVED,SUP003,S0047
PO0066,2024-09-11,2024-09-14,2024-09-12,5199.58,RECEIVED,SUP001,S0028
PO0067,2024-09-11,2024-09-16,2024-09-16,2922.32,RECEIVED,SUP006,S0034
PO0068,2024-09-13,2024-09-18,2024-09-17,11829.06,RECEIVED,SUP008,S0005
PO0069,2024-09-14,2024-09-17,2024-09-15,567.78,RECEIVED,SUP003,S0005
PO0070,2024-09-21,2024-09-24,2024-09-22,8171.57,RECEIVED,SUP002,S0047
PO0071,2024-09-27,2024-10-02,2024-10-04,3839.05,RECEIVED,SUP007,S0034
PO0072,2024-09-30,2024-10-05,2024-10-06,5229.44,RECEIVED,SUP005,S0045
PO0073,2024-10-09,2024-10-14,2024-10-13,5156.7,RECEIVED,SUP007,S0028
PO0074,2024-10-09,2024-10-12,2024-10-10,4476.35,RECEIVED,SUP002,S0005
PO0075,2024-10-09,2024-10-14,2024-10-13,5606.55,RECEIVED,SUP006,S0028
PO0076,2024-10-12,2024-10-17,2024-10-19,1227.62,RECEIVED,SUP006,S0005
PO0077,2024-10-17,2024-10-22,2024-10-24,8441.39,RECEIVED,SUP008,S0034
PO0078,2024-10-25,2024-10-30,2024-10-30,3386.62,RECEIVED,SUP005,S0047
PO0079,2024-10-26,2024-10-31,2024-11-02,5257.24,RECEIVED,SUP007,S0047
PO0080,2024-10-31,2024-11-03,2024-11-02,928.92,RECEIVED,SUP001,S0028
PO0081,2024-11-05,2024-11-08,2024-11-07,5176.04,RECEIVED,SUP001,S0034
PO0082,2024-11-06,2024-11-11,2024-11-11,308.94,RECEIVED,SUP005,S0029
PO0083,2024-11-08,2024-11-13,,1410.24,CANCELLED,SUP004,S0029
PO0084,2024-11-13,2024-11-18,2024-11-17,1564.63,RECEIVED,SUP007,S0028
PO0085,2024-11-17,2024-11-22,2024-11-22,1422.2,RECEIVED,SUP006,S0047
PO0086,2024-11-17,2024-11-22,2024-11-23,2438.92,RECEIVED,SUP005,S0029
PO0087,2024-11-24,2024-11-27,2024-11-26,4963.83,RECEIVED,SUP002,S0005
PO0088,2024-11-25,2024-11-30,2024-11-30,2864.63,RECEIVED,SUP007,S0034
PO0089,2024-11-29,2024-12-06,2024-12-08,1638.89,RECEIVED,SUP009,S0034
PO0090,2024-12-05,2024-12-08,2024-12-09,6981.31,RECEIVED,SUP002,S0047
PO0091,2024-12-13,2024-12-16,2024-12-17,8458.27,RECEIVED,SUP001,S0088
PO0092,2024-12-15,2024-12-18,2024-12-18,8119.05,RECEIVED,SUP001,S0029
PO0093,2024-12-15,2024-12-18,2024-12-17,1965.03,RECEIVED,SUP001,S0047
PO0094,2024-12-17,2024-12-22,2024-12-21,466.94,RECEIVED,SUP004,S0045
PO0095,2024-12-25,2024-12-30,2025-01-01,6535.66,RECEIVED,SUP006,S0034
PO0096,2024-12-26,2024-12-31,2025-01-03,6745.86,RECEIVED,SUP006,S0047
PO0097,2024-12-26,2024-12-31,2024-12-30,12710.96,RECEIVED,SUP008,S0088
PO0098,2024-12-27,2024-12-30,2024-12-30,3274.02,RECEIVED,SUP001,S0029
PO0099,2024-12-29,2025-01-01,2024-12-31,9502.37,RECEIVED,SUP001,S0005
PO0100,2025-01-02,2025-01-07,2025-01-09,1446.33,RECEIVED,SUP004,S0029
PO0101,2025-01-07,2025-01-12,2025-01-12,5134.46,RECEIVED,SUP008,S0088
PO0102,2025-01-07,2025-01-12,2025-01-12,6368.2,RECEIVED,SUP006,S0047
PO0103,2025-01-07,2025-01-10,,4800.62,CANCELLED,SUP001,S0005
PO0104,2025-01-08,2025-01-11,2025-01-09,1975.78,RECEIVED,SUP002,S0028
PO0105,2025-01-08,2025-01-13,2025-01-16,747.66,RECEIVED,SUP007,S0088
PO0106,2025-01-12,2025-01-15,,9940.29,CANCELLED,SUP001,S0029
PO0107,2025-01-13,2025-01-16,2025-01-15,14590.3,RECEIVED,SUP002,S0088
PO0108,2025-01-18,2025-01-23,2025-01-23,5238.47,RECEIVED,SUP008,S0047
PO0109,2025-01-19,2025-01-24,2025-01-23,4860.31,RECEIVED,SUP005,S0029
PO0110,2025-01-21,2025-01-28,2025-02-02,1415.72,RECEIVED,SUP010,S0029
PO0111,2025-01-24,2025-01-29,2025-02-01,4006.82,RECEIVED,SUP005,S0045
PO0112,2025-01-30,2025-02-04,,2806.74,CANCELLED,SUP007,S0005
PO0113,2025-02-02,2025-02-09,2025-02-11,1633.4,RECEIVED,SUP009,S0045
PO0114,2025-02-06,2025-02-09,2025-02-10,3105.65,RECEIVED,SUP001,S0088
PO0115,2025-02-10,2025-02-13,2025-02-13,2333.53,RECEIVED,SUP001,S0029
PO0116,2025-02-12,2025-02-19,2025-02-20,1148.07,RECEIVED,SUP010,S0029
PO0117,2025-02-12,2025-02-15,2025-02-14,1353.7,RECEIVED,SUP003,S0028
PO0118,2025-02-13,2025-02-16,2025-02-14,5218.49,RECEIVED,SUP002,S0045
PO0119,2025-02-13,2025-02-18,,2902.49,CANCELLED,SUP007,S0045
PO0120,2025-02-15,2025-02-20,2025-02-21,4502.07,RECEIVED,SUP008,S0047
PO0121,2025-02-18,2025-02-21,,12358.32,CANCELLED,SUP002,S0029
PO0122,2025-02-18,2025-02-21,2025-02-21,6131.72,RECEIVED,SUP001,S0033
PO0123,2025-02-21,2025-02-26,2025-02-26,557.5,RECEIVED,SUP004,S0029
PO0124,2025-02-23,2025-02-26,2025-02-26,5582.09,RECEIVED,SUP002,S0028
PO0125,2025-02-25,2025-02-28,2025-02-26,2664.23,RECEIVED,SUP002,S0047
PO0126,2025-03-02,2025-03-07,2025-03-10,7498.8,RECEIVED,SUP008,S0047
PO0127,2025-03-05,2025-03-10,2025-03-09,9066.71,RECEIVED,SUP008,S0027
PO0128,2025-03-05,2025-03-10,2025-03-11,2350.74,RECEIVED,SUP008,S0096
PO0129,2025-03-08,2025-03-13,2025-03-14,2582.23,RECEIVED,SUP007,S0029
PO0130,2025-03-09,2025-03-12,2025-03-10,2080.56,RECEIVED,SUP003,S0047
PO0131,2025-03-09,2025-03-14,2025-03-16,5081.47,RECEIVED,SUP008,S0088
PO0132,2025-03-19,2025-03-22,2025-03-23,11879.36,RECEIVED,SUP001,S0045
PO0133,2025-03-21,2025-03-24,2025-03-25,1819.17,RECEIVED,SUP003,S0096
PO0134,2025-03-26,2025-03-31,2025-03-30,2162.94,RECEIVED,SUP004,S0096
PO0135,2025-03-26,2025-03-29,2025-03-27,9590.08,RECEIVED,SUP002,S0045
PO0136,2025-03-27,2025-04-01,2025-04-02,4243.39,RECEIVED,SUP011,S0096
PO0137,2025-03-31,2025-04-07,2025-04-14,3241.65,RECEIVED,SUP010,S0029
PO0138,2025-04-03,2025-04-06,2025-04-06,2080.43,RECEIVED,SUP002,S0029
PO0139,2025-04-07,2025-04-10,2025-04-11,2978.64,RECEIVED,SUP002,S0005
PO0140,2025-04-09,2025-04-14,2025-04-17,6073.2,RECEIVED,SUP005,S0005
PO0141,2025-04-11,2025-04-16,2025-04-16,3513.0,RECEIVED,SUP011,S0033
PO0142,2025-04-13,2025-04-18,2025-04-21,3051.69,RECEIVED,SUP008,S0033
PO0143,2025-04-18,2025-04-23,2025-04-22,697.3,RECEIVED,SUP007,S0028
PO0144,2025-04-19,2025-04-24,2025-04-26,2942.84,RECEIVED,SUP004,S0024
PO0145,2025-04-20,2025-04-25,2025-04-28,10937.66,RECEIVED,SUP008,S0024
PO0146,2025-04-24,2025-04-29,2025-05-01,2048.54,RECEIVED,SUP004,S0029
PO0147,2025-04-27,2025-05-02,2025-05-05,3373.67,RECEIVED,SUP008,S0047
PO0148,2025-04-29,2025-05-02,2025-04-30,5156.53,RECEIVED,SUP002,S0096
PO0149,2025-04-30,2025-05-03,2025-05-04,129.7,RECEIVED,SUP003,S0070
PO0150,2025-05-02,2025-05-05,2025-05-06,7122.22,RECEIVED,SUP002,S0096
PO0151,2025-05-04,2025-05-11,2025-05-18,915.74,RECEIVED,SUP010,S0027
PO0152,2025-05-11,2025-05-16,2025-05-16,7829.07,RECEIVED,SUP008,S0027
PO0153,2025-05-12,2025-05-17,2025-05-16,5865.33,RECEIVED,SUP006,S0029
PO0154,2025-05-17,2025-05-22,2025-05-21,1312.55,RECEIVED,SUP004,S0045
PO0155,2025-05-18,2025-05-21,2025-05-21,2321.45,RECEIVED,SUP003,S0029
PO0156,2025-05-23,2025-05-30,2025-06-04,1610.19,RECEIVED,SUP010,S0045
PO0157,2025-05-25,2025-05-30,2025-06-01,4815.88,RECEIVED,SUP005,S0070
PO0158,2025-05-26,2025-05-31,2025-06-02,5465.24,RECEIVED,SUP007,S0024
PO0159,2025-05-26,2025-05-31,2025-06-01,2095.06,RECEIVED,SUP004,S0024
PO0160,2025-06-01,2025-06-04,2025-06-02,1673.7,RECEIVED,SUP002,S0027
PO0161,2025-06-01,2025-06-06,2025-06-06,2327.0,RECEIVED,SUP007,S0005
PO0162,2025-06-06,2025-06-11,2025-06-15,4787.64,RECEIVED,SUP011,S0106
PO0163,2025-06-09,2025-06-16,2025-06-19,2989.96,RECEIVED,SUP010,S0106
PO0164,2025-06-11,2025-06-16,2025-06-18,2931.43,RECEIVED,SUP007,S0070
PO0165,2025-06-11,2025-06-18,2025-06-23,1767.91,RECEIVED,SUP010,S0027
PO0166,2025-06-12,2025-06-17,2025-06-20,2397.38,RECEIVED,SUP004,S0005
PO0167,2025-06-15,2025-06-18,2025-06-19,2857.68,RECEIVED,SUP003,S0005
PO0168,2025-06-21,2025-06-26,2025-06-29,4013.57,RECEIVED,SUP007,S0045
PO0169,2025-06-21,2025-06-26,2025-06-25,2399.18,RECEIVED,SUP004,S0087
PO0170,2025-07-03,2025-07-10,2025-07-12,1808.07,RECEIVED,SUP009,S0047
PO0171,2025-07-04,2025-07-07,2025-07-06,1938.58,RECEIVED,SUP002,S0045
PO0172,2025-07-05,2025-07-08,,1865.36,CANCELLED,SUP003,S0027
PO0173,2025-07-06,2025-07-09,,8843.7,CANCELLED,SUP001,S0029
PO0174,2025-07-11,2025-07-16,2025-07-18,1237.93,RECEIVED,SUP005,S0064
PO0175,2025-07-16,2025-07-19,2025-07-18,5390.99,RECEIVED,SUP002,S0024
PO0176,2025-07-20,2025-07-23,2025-07-24,1707.42,RECEIVED,SUP003,S0033
PO0177,2025-07-21,2025-07-26,2025-07-27,2861.81,RECEIVED,SUP006,S0045
PO0178,2025-07-27,2025-08-01,2025-08-02,1901.52,RECEIVED,SUP005,S0005
PO0179,2025-08-02,2025-08-05,2025-08-06,5058.48,RECEIVED,SUP002,S0028
PO0180,2025-08-03,2025-08-08,2025-08-11,2293.26,RECEIVED,SUP007,S0096
PO0181,2025-08-03,2025-08-08,2025-08-07,2384.11,RECEIVED,SUP007,S0045
PO0182,2025-08-09,2025-08-12,2025-08-12,1255.33,RECEIVED,SUP003,S0087
PO0183,2025-08-10,2025-08-15,2025-08-14,5926.54,RECEIVED,SUP005,S0106
PO0184,2025-08-14,2025-08-17,2025-08-16,1581.78,RECEIVED,SUP003,S0048
PO0185,2025-08-20,2025-08-27,2025-08-30,2007.15,RECEIVED,SUP009,S0029
PO0186,2025-08-24,2025-08-29,2025-08-29,6413.7,RECEIVED,SUP006,S0047
PO0187,2025-08-31,2025-09-05,2025-09-07,6467.73,RECEIVED,SUP006,S0027
PO0188,2025-09-06,2025-09-09,2025-09-09,3943.11,RECEIVED,SUP002,S0106
PO0189,2025-09-13,2025-09-16,2025-09-17,3035.22,RECEIVED,SUP001,S0087
PO0190,2025-09-15,2025-09-18,2025-09-18,17069.55,RECEIVED,SUP001,S0028
PO0191,2025-09-15,2025-09-20,2025-09-19,2558.76,RECEIVED,SUP011,S0024
PO0192,2025-09-15,2025-09-20,2025-09-22,173.94,RECEIVED,SUP004,S0096
PO0193,2025-09-15,2025-09-20,2025-09-21,3471.17,RECEIVED,SUP007,S0027
PO0194,2025-09-18,2025-09-23,2025-09-26,1825.25,RECEIVED,SUP004,S0087
PO0195,2025-09-20,2025-09-25,2025-09-24,5602.2,RECEIVED,SUP006,S0064
PO0196,2025-09-22,2025-09-25,2025-09-25,2985.62,RECEIVED,SUP002,S0057
PO0197,2025-09-28,2025-10-03,2025-10-06,2550.79,RECEIVED,SUP004,S0033
PO0198,2025-10-03,2025-10-08,2025-10-09,1213.0,RECEIVED,SUP006,S0045
PO0199,2025-10-06,2025-10-09,2025-10-10,2251.45,RECEIVED,SUP001,S0064
PO0200,2025-10-09,2025-10-12,,5806.37,CANCELLED,SUP002,S0064
PO0201,2025-10-10,2025-10-15,,2621.46,CANCELLED,SUP006,S0045
PO0202,2025-10-11,2025-10-16,2025-10-16,1520.74,RECEIVED,SUP008,S0057
PO0203,2025-10-14,2025-10-19,2025-10-20,4938.7,RECEIVED,SUP011,S0047
PO0204,2025-10-22,2025-10-27,2025-10-27,4824.55,RECEIVED,SUP008,S0064
PO0205,2025-10-28,2025-11-02,2025-11-03,2086.8,RECEIVED,SUP004,S0087
PO0206,2025-10-29,2025-11-01,2025-11-01,2357.18,RECEIVED,SUP003,S0047
PO0207,2025-10-30,2025-11-02,2025-11-01,1273.61,RECEIVED,SUP003,S0096
PO0208,2025-10-30,2025-11-02,2025-11-02,6066.5,RECEIVED,SUP001,S0033
PO0209,2025-11-02,2025-11-07,2025-11-09,3297.43,RECEIVED,SUP005,S0070
PO0210,2025-11-02,2025-11-09,2025-11-10,3301.31,RECEIVED,SUP009,S0024
PO0211,2025-11-06,2025-11-09,2025-11-10,5422.83,RECEIVED,SUP002,S0045
PO0212,2025-11-09,2025-11-12,2025-11-10,1349.16,RECEIVED,SUP003,S0096
PO0213,2025-11-10,2025-11-15,2025-11-17,1823.83,RECEIVED,SUP004,S0070
PO0214,2025-11-12,2025-11-17,2025-11-18,1942.05,RECEIVED,SUP007,S0047
PO0215,2025-11-14,2025-11-19,2025-11-21,3542.26,RECEIVED,SUP006,S0064
PO0216,2025-11-19,2025-11-22,2025-11-21,3708.72,RECEIVED,SUP003,S0030
PO0217,2025-11-24,2025-11-29,2025-11-30,1115.33,RECEIVED,SUP005,S0029
PO0218,2025-11-25,2025-11-30,2025-11-30,6009.84,RECEIVED,SUP006,S0088
PO0219,2025-11-25,2025-11-30,2025-12-02,6189.9,RECEIVED,SUP006,S0065
PO0220,2025-11-29,2025-12-02,2025-12-01,5462.5,RECEIVED,SUP002,S0065
PO0221,2025-12-02,2025-12-07,2025-12-09,4766.36,RECEIVED,SUP008,S0064
PO0222,2025-12-03,2025-12-06,2025-12-07,1770.89,RECEIVED,SUP003,S0045
PO0223,2025-12-06,2025-12-11,2025-12-11,3681.75,RECEIVED,SUP008,S0087
PO0224,2025-12-07,2025-12-12,2025-12-13,2135.93,RECEIVED,SUP011,S0106
PO0225,2025-12-07,2025-12-14,2025-12-20,2474.19,RECEIVED,SUP009,S0030
PO0226,2025-12-10,2025-12-17,2025-12-23,1489.52,RECEIVED,SUP009,S0005
PO0227,2025-12-12,2025-12-17,2025-12-18,1882.06,RECEIVED,SUP004,S0088
PO0228,2025-12-15,2025-12-18,2025-12-17,968.36,RECEIVED,SUP003,S0070
PO0229,2025-12-20,2025-12-25,2025-12-27,1566.16,RECEIVED,SUP006,S0057
PO0230,2025-12-23,2025-12-26,2025-12-26,1540.6,RECEIVED,SUP003,S0094
PO0231,2025-12-23,2025-12-28,2025-12-31,1226.23,RECEIVED,SUP004,S0057
PO0232,2025-12-25,2025-12-28,2025-12-28,1505.11,RECEIVED,SUP001,S0106
PO0233,2025-12-26,2025-12-29,2025-12-28,1825.71,RECEIVED,SUP001,S0106
PO0234,2025-12-28,2026-01-04,2026-01-09,2713.95,RECEIVED,SUP009,S0024
PO0235,2025-12-31,2026-01-05,2026-01-06,6231.77,RECEIVED,SUP006,S0030
PO0236,2026-01-01,2026-01-04,2026-01-04,6276.34,RECEIVED,SUP002,S0064
PO0237,2026-01-03,2026-01-08,2026-01-11,3856.6,RECEIVED,SUP005,S0065
PO0238,2026-01-03,2026-01-08,2026-01-10,5083.45,RECEIVED,SUP011,S0029
PO0239,2026-01-08,2026-01-13,2026-01-16,8623.83,RECEIVED,SUP008,S0106
PO0240,2026-01-10,2026-01-13,2026-01-13,13455.0,RECEIVED,SUP002,S0096
PO0241,2026-01-12,2026-01-15,2026-01-15,10124.0,RECEIVED,SUP002,S0070
PO0242,2026-01-16,2026-01-21,2026-01-21,1682.5,RECEIVED,SUP007,S0090
PO0243,2026-01-19,2026-01-22,2026-01-23,2843.39,RECEIVED,SUP003,S0027
PO0244,2026-01-22,2026-01-27,2026-01-30,1638.39,RECEIVED,SUP007,S0029
PO0245,2026-01-22,2026-01-29,2026-02-01,1764.45,RECEIVED,SUP010,S0024
PO0246,2026-01-24,2026-01-31,2026-02-04,1878.09,RECEIVED,SUP010,S0024
PO0247,2026-01-26,2026-01-31,2026-02-01,3116.38,RECEIVED,SUP007,S0057
PO0248,2026-01-27,2026-02-01,2026-01-31,5650.27,RECEIVED,SUP005,S0024
PO0249,2026-01-28,2026-02-02,2026-02-02,1193.59,RECEIVED,SUP008,S0106
PO0250,2026-01-28,2026-02-02,2026-02-02,1492.59,RECEIVED,SUP005,S0049
PO0251,2026-01-30,2026-02-04,2026-02-05,997.51,RECEIVED,SUP007,S0096
PO0252,2026-02-02,2026-02-07,2026-02-06,6543.1,RECEIVED,SUP006,S0053
PO0253,2026-02-02,2026-02-07,2026-02-10,3873.67,RECEIVED,SUP007,S0064
PO0254,2026-02-04,2026-02-07,2026-02-05,1655.52,RECEIVED,SUP003,S0049
PO0255,2026-02-05,2026-02-08,2026-02-06,640.98,RECEIVED,SUP003,S0045
PO0256,2026-02-08,2026-02-11,2026-02-10,4631.07,RECEIVED,SUP002,S0087
PO0257,2026-02-10,2026-02-15,2026-02-18,3152.0,RECEIVED,SUP011,S0090
PO0258,2026-02-11,2026-02-16,2026-02-18,4923.4,RECEIVED,SUP008,S0027
PO0259,2026-02-12,2026-02-15,2026-02-13,1700.32,RECEIVED,SUP003,S0106
PO0260,2026-02-12,2026-02-15,2026-02-14,1804.88,RECEIVED,SUP003,S0033
PO0261,2026-02-18,2026-02-23,2026-02-26,3071.29,RECEIVED,SUP007,S0027
PO0262,2026-02-24,2026-03-01,2026-03-03,7819.18,RECEIVED,SUP008,S0087
PO0263,2026-02-24,2026-03-03,2026-03-08,1705.2,RECEIVED,SUP010,S0030
PO0264,2026-02-26,2026-03-03,2026-03-05,3095.31,RECEIVED,SUP005,S0024
PO0265,2026-02-26,2026-03-03,2026-03-06,3174.3,RECEIVED,SUP011,S0053
PO0266,2026-02-27,2026-03-02,2026-02-28,10559.3,RECEIVED,SUP001,S0029
PO0267,2026-02-27,2026-03-02,2026-02-28,4839.81,RECEIVED,SUP002,S0030
PO0268,2026-03-01,2026-03-06,2026-03-09,651.93,RECEIVED,SUP004,S0045
PO0269,2026-03-05,2026-03-08,2026-03-06,2411.27,RECEIVED,SUP001,S0049
PO0270,2026-03-05,2026-03-10,2026-03-13,3770.7,RECEIVED,SUP005,S0106
PO0271,2026-03-06,2026-03-11,2026-03-14,4942.31,RECEIVED,SUP006,S0053
PO0272,2026-03-08,2026-03-11,2026-03-12,1502.07,RECEIVED,SUP003,S0047
PO0273,2026-03-10,2026-03-13,2026-03-14,1811.87,RECEIVED,SUP003,S0033
PO0274,2026-03-11,2026-03-16,2026-03-18,3199.81,RECEIVED,SUP007,S0030
PO0275,2026-03-12,2026-03-17,2026-03-20,3726.99,RECEIVED,SUP007,S0033
PO0276,2026-03-15,2026-03-18,2026-03-16,7122.96,RECEIVED,SUP002,S0053
PO0277,2026-03-23,2026-03-26,2026-03-27,990.57,RECEIVED,SUP003,S0064
PO0278,2026-03-24,2026-03-27,2026-03-25,3553.72,RECEIVED,SUP003,S0033
PO0279,2026-03-25,2026-03-30,2026-04-01,2406.95,RECEIVED,SUP004,S0030
PO0280,2026-03-29,2026-04-01,2026-03-30,3073.82,RECEIVED,SUP003,S0094
PO0281,2026-03-30,2026-04-02,2026-04-01,6224.08,RECEIVED,SUP002,S0088
PO0282,2026-04-02,2026-04-07,2026-04-07,1646.71,RECEIVED,SUP004,S0048
PO0283,2026-04-04,2026-04-07,2026-04-06,2512.7,RECEIVED,SUP001,S0094
PO0284,2026-04-04,2026-04-09,2026-04-11,1143.65,RECEIVED,SUP004,S0096
PO0285,2026-04-04,2026-04-09,,3362.66,CANCELLED,SUP005,S0064
PO0286,2026-04-05,2026-04-08,2026-04-09,3272.0,RECEIVED,SUP003,S0029
PO0287,2026-04-16,2026-04-23,,3094.83,CANCELLED,SUP010,S0057
PO0288,2026-04-17,2026-04-22,2026-04-25,2207.07,RECEIVED,SUP006,S0033
PO0289,2026-04-17,2026-04-20,2026-04-21,9208.58,RECEIVED,SUP001,S0087
PO0290,2026-04-20,2026-04-23,2026-04-24,7572.5,RECEIVED,SUP002,S0005
PO0291,2026-04-23,2026-04-28,2026-05-01,1859.58,RECEIVED,SUP004,S0087
PO0292,2026-04-24,2026-05-01,2026-05-04,848.79,RECEIVED,SUP009,S0042
PO0293,2026-04-28,2026-05-03,2026-05-04,1181.36,RECEIVED,SUP004,S0030
PO0294,2026-04-29,2026-05-04,2026-05-04,8601.23,RECEIVED,SUP005,S0064
PO0295,2026-04-29,2026-05-02,2026-05-01,4388.47,RECEIVED,SUP001,S0024
PO0296,2026-05-03,2026-05-08,2026-05-09,3347.71,RECEIVED,SUP007,S0048
PO0297,2026-05-04,2026-05-07,2026-05-08,3176.81,RECEIVED,SUP003,S0106
