OrderID,ItemID,Quantity,UnitPrice,MyKasihSubsidyAmount,LineTotal
O00016,I0094,1,1.67,0.00,1.67
O00016,I0105,3,7.12,0.00,21.36
O00017,I0031,1,4.38,0.00,4.38
O00017,I0071,5,1.25,0.00,6.25
O00018,I0037,4,1.27,0.00,5.08
O00018,I0088,1,2.60,0.00,2.60
O00018,I0089,1,5.52,0.00,5.52
O00019,I0003,4,2.34,0.00,9.36
O00019,I0076,3,1.28,0.00,3.84
O00019,I0082,1,2.59,0.00,2.59
O00019,I0088,2,2.58,0.00,5.16
O00019,I0104,1,4.65,0.00,4.65
O00020,I0026,3,2.35,0.00,7.05
O00020,I0039,5,1.45,0.00,7.25
O00020,I0057,2,1.78,0.00,3.56
O00020,I0108,1,7.33,0.00,7.33
O00021,I0029,3,3.37,0.00,10.11
O00021,I0043,2,1.45,0.00,2.90
O00021,I0048,4,1.78,0.00,7.12
O00021,I0084,2,2.62,0.00,5.24
O00022,I0006,1,3.91,0.00,3.91
O00022,I0046,1,1.00,0.00,1.00
O00022,I0047,2,3.30,0.00,6.60
O00022,I0056,3,1.83,0.00,5.49
O00022,I0072,4,1.36,0.00,5.44
O00022,I0102,2,4.36,0.00,8.72
O00023,I0046,2,1.02,0.00,2.04
O00023,I0070,2,7.70,0.00,15.40
O00023,I0086,1,2.56,0.00,2.56
O00024,I0065,1,4.69,0.00,4.69
O00024,I0076,2,1.27,0.00,2.54
O00024,I0094,1,1.69,0.00,1.69
O00024,I0115,2,45.96,0.00,91.92
O00025,I0012,1,1.78,0.00,1.78
O00025,I0035,2,1.28,0.00,2.56
O00025,I0076,2,1.27,0.00,2.54
O00025,I0078,4,1.34,0.00,5.36
O00026,I0022,2,1.74,0.00,3.48
O00026,I0075,1,1.34,0.00,1.34
O00026,I0078,1,1.34,0.00,1.34
O00027,I0035,2,1.26,0.00,2.52
O00027,I0041,1,1.27,0.00,1.27
O00027,I0067,1,3.61,0.00,3.61
O00027,I0070,2,7.72,0.00,15.44
O00028,I0027,3,4.78,0.00,14.34
O00028,I0037,2,1.27,0.00,2.54
O00028,I0091,2,3.03,0.00,6.06
O00029,I0064,1,2.91,0.00,2.91
O00030,I0013,1,3.64,0.00,3.64
O00030,I0096,1,2.99,0.00,2.99
O00030,I0098,2,27.72,0.00,55.44
O00031,I0079,2,3.77,0.00,7.54
O00032,I0004,1,1.83,0.00,1.83
O00032,I0025,1,3.74,0.00,3.74
O00032,I0085,3,2.64,0.00,7.92
O00033,I0011,3,2.74,0.00,8.22
O00033,I0040,1,1.45,0.00,1.45
O00033,I0090,1,3.65,0.00,3.65
O00033,I0099,1,26.73,0.00,26.73
O00033,I0119,2,17.20,0.00,34.40
O00034,I0020,1,1.96,0.00,1.96
O00034,I0051,2,1.78,0.00,3.56
O00034,I0065,1,4.75,0.00,4.75
O00035,I0004,1,1.84,0.00,1.84
O00035,I0084,1,2.61,0.00,2.61
O00035,I0113,1,12.04,0.00,12.04
O00036,I0023,3,1.76,0.00,5.28
O00036,I0024,1,1.77,0.00,1.77
O00036,I0054,1,5.79,0.00,5.79
O00036,I0081,2,5.06,0.00,10.12
O00036,I0113,1,11.79,0.00,11.79
O00037,I0001,1,11.31,0.00,11.31
O00037,I0036,2,1.45,0.00,2.90
O00037,I0061,2,1.79,0.00,3.58
O00037,I0082,3,2.61,0.00,7.83
O00038,I0021,3,1.67,0.00,5.01
O00038,I0040,1,1.42,0.00,1.42
O00038,I0044,2,1.28,0.00,2.56
O00038,I0094,2,1.68,0.00,3.36
O00039,I0014,2,1.96,0.00,3.92
O00039,I0018,2,1.84,0.00,3.68
O00039,I0023,1,1.77,0.00,1.77
O00039,I0088,2,2.62,0.00,5.24
O00040,I0008,2,11.00,0.00,22.00
O00040,I0031,1,4.42,0.00,4.42
O00040,I0113,1,11.92,0.00,11.92
O00041,I0011,1,2.76,0.00,2.76
O00041,I0078,1,1.34,0.00,1.34
O00041,I0089,1,5.45,0.00,5.45
O00042,I0063,1,7.38,0.00,7.38
O00042,I0074,3,1.27,0.00,3.81
O00042,I0120,2,17.30,0.00,34.60
O00043,I0027,1,4.72,0.00,4.72
O00043,I0035,5,1.28,0.00,6.40
O00044,I0043,4,1.44,0.00,5.76
O00044,I0051,1,1.76,0.00,1.76
O00044,I0088,1,2.62,0.00,2.62
O00044,I0109,1,6.98,0.00,6.98
O00044,I0113,1,11.78,0.00,11.78
O00045,I0084,1,2.63,0.00,2.63
O00046,I0074,4,1.28,0.00,5.12
O00046,I0075,2,1.34,0.00,2.68
O00046,I0115,2,46.31,0.00,92.62
O00047,I0013,1,3.67,0.00,3.67
O00047,I0046,2,1.02,0.00,2.04
O00047,I0060,4,5.30,0.00,21.20
O00047,I0078,3,1.35,0.00,4.05
O00047,I0109,2,6.90,0.00,13.80
O00048,I0026,1,2.35,0.00,2.35
O00048,I0064,2,2.97,0.00,5.94
O00048,I0074,2,1.24,0.00,2.48
O00049,I0014,1,1.92,0.00,1.92
O00049,I0054,2,5.82,0.00,11.64
O00049,I0063,5,7.32,0.00,36.60
O00049,I0064,3,2.98,0.00,8.94
O00049,I0108,4,7.21,0.00,28.84
O00050,I0034,2,4.26,0.00,8.52
O00050,I0052,1,2.34,0.00,2.34
O00050,I0112,1,10.29,0.00,10.29
O00051,I0003,1,2.33,0.00,2.33
O00051,I0022,1,1.76,0.00,1.76
O00051,I0050,1,3.09,0.00,3.09
O00052,I0029,3,3.32,0.00,9.96
O00052,I0040,1,1.42,0.00,1.42
O00052,I0047,1,3.31,0.00,3.31
O00052,I0112,1,10.33,0.00,10.33
O00052,I0119,4,17.22,0.00,68.88
O00053,I0065,1,4.69,0.00,4.69
O00053,I0108,2,7.22,0.00,14.44
O00054,I0014,1,1.94,0.00,1.94
O00054,I0044,1,1.26,0.00,1.26
O00054,I0095,3,5.03,0.00,15.09
O00055,I0015,1,1.88,0.00,1.88
O00055,I0029,1,3.35,0.00,3.35
O00055,I0033,1,2.21,0.00,2.21
O00055,I0041,2,1.25,0.00,2.50
O00055,I0102,1,4.41,0.00,4.41
O00056,I0001,1,11.35,0.00,11.35
O00056,I0040,1,1.42,0.00,1.42
O00056,I0087,1,2.71,0.00,2.71
O00057,I0008,1,11.00,0.00,11.00
O00057,I0009,1,1.74,0.00,1.74
O00057,I0010,1,2.00,0.00,2.00
O00057,I0043,1,1.43,0.00,1.43
O00057,I0053,1,6.69,0.00,6.69
O00057,I0084,1,2.57,0.00,2.57
O00058,I0006,1,3.84,0.00,3.84
O00058,I0095,3,5.01,0.00,15.03
O00058,I0108,1,7.42,0.00,7.42
O00059,I0006,2,3.85,0.00,7.70
O00059,I0027,3,4.64,0.00,13.92
O00059,I0073,1,1.50,0.00,1.50
O00059,I0087,1,2.67,0.00,2.67
O00059,I0100,1,4.25,0.00,4.25
O00060,I0005,1,3.51,0.00,3.51
O00060,I0029,1,3.39,0.00,3.39
O00060,I0038,2,1.44,0.00,2.88
O00060,I0096,2,3.02,0.00,6.04
O00060,I0102,2,4.35,0.00,8.70
O00060,I0104,1,4.58,0.00,4.58
O00061,I0067,1,3.63,0.00,3.63
O00061,I0090,2,3.66,0.00,7.32
O00062,I0004,1,1.85,0.00,1.85
O00062,I0015,1,1.85,0.00,1.85
O00062,I0034,2,4.24,0.00,8.48
O00062,I0063,3,7.22,0.00,21.66
O00062,I0079,1,3.79,0.00,3.79
O00062,I0109,3,7.06,0.00,21.18
O00063,I0051,2,1.76,0.00,3.52
O00063,I0081,4,5.17,0.00,20.68
O00064,I0033,1,2.18,0.00,2.18
O00064,I0044,5,1.26,0.00,6.30
O00064,I0052,3,2.36,0.00,7.08
O00064,I0068,1,4.39,0.00,4.39
O00065,I0020,2,1.94,0.00,3.88
O00065,I0040,1,1.45,0.00,1.45
O00065,I0060,1,5.37,0.00,5.37
O00065,I0073,1,1.53,0.00,1.53
O00066,I0045,1,3.39,0.00,3.39
O00066,I0087,3,2.67,0.00,8.01
O00066,I0108,2,7.30,0.00,14.60
O00066,I0116,1,42.24,0.00,42.24
O00067,I0061,1,1.79,0.00,1.79
O00067,I0073,1,1.51,0.00,1.51
O00067,I0108,1,7.35,0.00,7.35
O00067,I0114,1,16.89,0.00,16.89
O00068,I0032,5,4.00,0.00,20.00
O00069,I0113,2,11.75,0.00,23.50
O00069,I0114,2,16.82,0.00,33.64
O00069,I0117,1,42.91,0.00,42.91
O00070,I0050,4,3.09,0.00,12.36
O00070,I0086,1,2.49,0.00,2.49
O00071,I0014,1,1.93,0.00,1.93
O00072,I0021,2,1.70,0.00,3.40
O00072,I0075,1,1.33,0.00,1.33
O00072,I0102,1,4.41,0.00,4.41
O00073,I0058,1,1.67,0.00,1.67
O00073,I0089,1,5.45,0.00,5.45
O00073,I0097,2,10.36,0.00,20.72
O00073,I0107,2,6.92,0.00,13.84
O00074,I0044,1,1.26,0.00,1.26
O00074,I0075,1,1.36,0.00,1.36
O00074,I0079,1,3.79,0.00,3.79
O00074,I0109,2,6.97,0.00,13.94
O00075,I0049,1,1.93,0.00,1.93
O00075,I0083,1,2.64,0.00,2.64
O00075,I0099,3,27.01,0.00,81.03
O00076,I0042,1,1.42,0.00,1.42
O00076,I0060,1,5.22,0.00,5.22
O00076,I0068,1,4.42,0.00,4.42
O00076,I0085,2,2.62,0.00,5.24
O00076,I0096,1,3.02,0.00,3.02
O00077,I0009,1,1.77,0.00,1.77
O00077,I0056,1,1.85,0.00,1.85
O00077,I0080,1,2.26,0.00,2.26
O00077,I0119,1,17.48,0.00,17.48
O00078,I0023,3,1.75,0.00,5.25
O00078,I0084,2,2.65,0.00,5.30
O00078,I0094,2,1.69,0.00,3.38
O00079,I0002,2,13.65,0.00,27.30
O00079,I0057,2,1.77,0.00,3.54
O00079,I0093,1,1.78,0.00,1.78
O00079,I0115,3,46.22,0.00,138.66
O00080,I0002,4,13.87,0.00,55.48
O00080,I0004,2,1.85,0.00,3.70
O00080,I0059,1,1.78,0.00,1.78
O00080,I0077,1,1.43,0.00,1.43
O00080,I0083,2,2.61,0.00,5.22
O00081,I0022,3,1.77,0.00,5.31
O00081,I0026,3,2.38,0.00,7.14
O00081,I0047,1,3.28,0.00,3.28
O00081,I0068,1,4.39,0.00,4.39
O00082,I0003,1,2.37,0.00,2.37
O00082,I0060,1,5.32,0.00,5.32
O00082,I0070,5,7.80,0.00,39.00
O00083,I0007,1,1.76,0.00,1.76
O00083,I0038,2,1.42,0.00,2.84
O00083,I0081,1,5.15,0.00,5.15
O00083,I0082,5,2.60,0.00,13.00
O00083,I0100,2,4.27,0.00,8.54
O00084,I0101,2,4.28,0.00,8.56
O00085,I0038,2,1.45,0.00,2.90
O00085,I0052,1,2.33,0.00,2.33
O00085,I0071,3,1.26,0.00,3.78
O00085,I0083,1,2.59,0.00,2.59
O00086,I0006,2,3.86,0.00,7.72
O00086,I0035,3,1.25,0.00,3.75
O00086,I0117,1,42.72,0.00,42.72
O00087,I0047,1,3.30,0.00,3.30
O00087,I0054,5,5.82,0.00,29.10
O00087,I0079,1,3.82,0.00,3.82
O00088,I0011,2,2.82,0.00,5.64
O00088,I0049,1,1.91,0.00,1.91
O00088,I0071,1,1.27,0.00,1.27
O00089,I0018,2,1.83,0.00,3.66
O00089,I0032,1,3.98,0.00,3.98
O00089,I0064,3,2.94,0.00,8.82
O00090,I0048,1,1.78,0.00,1.78
O00090,I0100,4,4.27,0.00,17.08
O00091,I0056,4,1.85,0.00,7.40
O00091,I0089,3,5.50,0.00,16.50
O00091,I0113,1,11.88,0.00,11.88
O00091,I0117,3,41.90,0.00,125.70
O00092,I0103,1,4.36,0.00,4.36
O00093,I0004,1,1.85,0.00,1.85
O00093,I0057,2,1.78,0.00,3.56
O00093,I0116,2,42.57,0.00,85.14
O00094,I0012,2,1.76,0.00,3.52
O00094,I0109,4,6.93,0.00,27.72
O00095,I0047,1,3.28,0.00,3.28
O00095,I0071,2,1.26,0.00,2.52
O00095,I0112,2,10.34,0.00,20.68
O00096,I0007,1,1.76,0.00,1.76
O00096,I0022,1,1.78,0.00,1.78
O00096,I0023,1,1.75,0.00,1.75
O00096,I0033,1,2.18,0.00,2.18
O00096,I0059,2,1.77,0.00,3.54
O00096,I0106,1,7.00,0.00,7.00
O00097,I0039,2,1.45,0.00,2.90
O00098,I0010,1,2.02,0.00,2.02
O00098,I0052,1,2.32,0.00,2.32
O00099,I0016,1,2.41,0.00,2.41
O00099,I0084,1,2.58,0.00,2.58
O00099,I0101,1,4.34,0.00,4.34
O00100,I0018,1,1.86,0.00,1.86
O00100,I0022,1,1.74,0.00,1.74
O00100,I0029,4,3.41,0.00,13.64
O00101,I0004,1,1.88,0.00,1.88
O00101,I0010,1,2.01,0.00,2.01
O00101,I0043,1,1.42,0.00,1.42
O00101,I0048,2,1.75,0.00,3.50
O00101,I0066,1,2.56,0.00,2.56
O00101,I0084,2,2.64,0.00,5.28
O00102,I0055,3,1.76,0.00,5.28
O00102,I0068,2,4.41,0.00,8.82
O00102,I0073,1,1.49,0.00,1.49
O00102,I0100,1,4.34,0.00,4.34
O00102,I0108,2,7.24,0.00,14.48
O00102,I0113,3,11.74,0.00,35.22
O00103,I0002,3,13.86,0.00,41.58
O00103,I0021,1,1.66,0.00,1.66
O00103,I0078,1,1.34,0.00,1.34
O00103,I0114,2,16.85,0.00,33.70
O00104,I0086,3,2.56,0.00,7.68
O00104,I0105,1,7.09,0.00,7.09
O00105,I0003,2,2.35,0.00,4.70
O00105,I0113,1,11.82,0.00,11.82
O00106,I0001,2,11.35,0.00,22.70
O00106,I0082,1,2.57,0.00,2.57
O00107,I0034,2,4.31,0.00,8.62
O00107,I0114,2,16.68,0.00,33.36
O00108,I0014,1,1.93,0.00,1.93
O00108,I0039,1,1.44,0.00,1.44
O00108,I0095,2,4.92,0.00,9.84
O00109,I0018,1,1.87,0.00,1.87
O00109,I0039,2,1.44,0.00,2.88
O00109,I0079,1,3.83,0.00,3.83
O00109,I0097,1,10.32,0.00,10.32
O00110,I0019,2,2.08,0.00,4.16
O00110,I0032,1,4.07,0.00,4.07
O00110,I0064,3,2.92,0.00,8.76
O00110,I0097,3,10.45,0.00,31.35
O00110,I0098,4,26.98,0.00,107.92
O00111,I0006,2,3.92,0.00,7.84
O00111,I0037,3,1.27,0.00,3.81
O00111,I0101,5,4.28,0.00,21.40
O00112,I0006,2,3.87,0.00,7.74
O00112,I0043,1,1.42,0.00,1.42
O00113,I0025,2,3.73,0.00,7.46
O00114,I0011,1,2.74,0.00,2.74
O00114,I0067,1,3.57,0.00,3.57
O00114,I0120,1,17.57,0.00,17.57
O00115,I0004,2,1.84,0.00,3.68
O00115,I0005,1,3.49,0.00,3.49
O00115,I0034,3,4.24,0.00,12.72
O00115,I0047,1,3.30,0.00,3.30
O00115,I0097,2,10.31,0.00,20.62
O00115,I0104,5,4.60,0.00,23.00
O00116,I0049,4,1.91,0.00,7.64
O00116,I0069,2,3.70,0.00,7.40
O00117,I0010,1,2.01,0.00,2.01
O00117,I0022,3,1.78,0.00,5.34
O00117,I0057,1,1.75,0.00,1.75
O00117,I0076,4,1.25,0.00,5.00
O00117,I0094,2,1.69,0.00,3.38
O00118,I0038,2,1.42,0.00,2.84
O00118,I0059,4,1.75,0.00,7.00
O00118,I0071,3,1.26,0.00,3.78
O00118,I0073,4,1.50,0.00,6.00
O00119,I0009,5,1.78,0.00,8.90
O00119,I0014,2,1.94,0.00,3.88
O00119,I0118,1,13.48,0.00,13.48
O00120,I0008,2,10.78,0.00,21.56
O00120,I0026,2,2.32,0.00,4.64
O00120,I0113,1,11.76,0.00,11.76
O00120,I0116,2,42.79,0.00,85.58
O00121,I0039,2,1.42,0.00,2.84
O00121,I0056,1,1.85,0.00,1.85
O00121,I0069,4,3.69,0.00,14.76
O00121,I0085,4,2.57,0.00,10.28
O00121,I0094,3,1.68,0.00,5.04
O00121,I0110,3,7.05,0.00,21.15
O00122,I0017,2,1.95,0.00,3.90
O00122,I0061,1,1.76,0.00,1.76
O00122,I0066,1,2.51,0.00,2.51
O00122,I0078,2,1.36,0.00,2.72
O00122,I0092,3,4.86,0.00,14.58
O00122,I0114,3,16.60,0.00,49.80
O00123,I0011,1,2.77,0.00,2.77
O00123,I0040,1,1.42,0.00,1.42
O00123,I0065,2,4.69,0.00,9.38
O00124,I0023,2,1.76,0.00,3.52
O00124,I0066,1,2.56,0.00,2.56
O00124,I0069,4,3.66,0.00,14.64
O00124,I0119,1,17.62,0.00,17.62
O00125,I0117,1,42.72,0.00,42.72
O00126,I0028,1,5.27,0.00,5.27
O00126,I0051,2,1.79,0.00,3.58
O00126,I0059,2,1.78,0.00,3.56
O00126,I0108,3,7.25,0.00,21.75
O00127,I0025,3,3.82,0.00,11.46
O00127,I0045,1,3.35,0.00,3.35
O00127,I0063,2,7.41,0.00,14.82
O00128,I0010,1,2.03,0.00,2.03
O00128,I0031,1,4.41,0.00,4.41
O00128,I0053,3,6.72,0.00,20.16
O00128,I0072,1,1.35,0.00,1.35
O00129,I0023,1,1.75,0.00,1.75
O00129,I0099,1,27.13,0.00,27.13
O00129,I0114,1,16.65,0.00,16.65
O00130,I0017,1,1.96,0.00,1.96
O00130,I0026,1,2.37,0.00,2.37
O00130,I0041,1,1.27,0.00,1.27
O00131,I0006,1,3.91,0.00,3.91
O00131,I0008,4,10.92,0.00,43.68
O00131,I0015,4,1.84,0.00,7.36
O00131,I0038,1,1.43,0.00,1.43
O00131,I0055,1,1.74,0.00,1.74
O00131,I0063,4,7.37,0.00,29.48
O00132,I0068,1,4.34,0.00,4.34
O00133,I0034,4,4.30,0.00,17.20
O00133,I0037,1,1.26,0.00,1.26
O00133,I0077,3,1.45,0.00,4.35
O00133,I0086,1,2.54,0.00,2.54
O00134,I0032,3,4.05,0.00,12.15
O00135,I0100,1,4.27,0.00,4.27
O00136,I0003,2,2.37,0.00,4.74
O00136,I0005,2,3.52,0.00,7.04
O00137,I0094,2,1.67,0.00,3.34
O00137,I0114,4,16.74,0.00,66.96
O00138,I0043,2,1.44,0.00,2.88
O00139,I0027,3,4.69,0.00,14.07
O00139,I0046,2,1.02,0.00,2.04
O00139,I0058,1,1.66,0.00,1.66
O00139,I0105,3,7.13,0.00,21.39
O00139,I0116,1,42.59,0.00,42.59
O00140,I0006,1,3.84,0.00,3.84
O00140,I0040,1,1.45,0.00,1.45
O00140,I0118,4,13.64,0.00,54.56
O00141,I0019,2,2.11,0.00,4.22
O00141,I0038,2,1.42,0.00,2.84
O00141,I0054,1,5.88,0.00,5.88
O00141,I0111,2,8.39,0.00,16.78
O00142,I0007,4,1.74,0.00,6.96
O00142,I0018,1,1.85,0.00,1.85
O00142,I0020,1,1.93,0.00,1.93
O00142,I0028,2,5.26,0.00,10.52
O00142,I0114,1,16.73,0.00,16.73
O00143,I0007,1,1.75,0.00,1.75
O00143,I0008,2,11.10,0.00,22.20
O00143,I0024,2,1.79,0.00,3.58
O00143,I0073,3,1.53,0.00,4.59
O00143,I0084,1,2.62,0.00,2.62
O00143,I0100,1,4.27,0.00,4.27
O00144,I0019,3,2.13,0.00,6.39
O00144,I0058,3,1.66,0.00,4.98
O00144,I0081,2,5.17,0.00,10.34
O00144,I0119,2,17.29,0.00,34.58
O00145,I0080,2,2.26,0.00,4.52
O00146,I0049,1,1.96,0.00,1.96
O00146,I0056,1,1.87,0.00,1.87
O00146,I0066,2,2.54,0.00,5.08
O00146,I0082,1,2.64,0.00,2.64
O00146,I0116,1,42.87,0.00,42.87
O00147,I0045,2,3.38,0.00,6.76
O00147,I0093,2,1.74,0.00,3.48
O00147,I0112,1,10.47,0.00,10.47
O00148,I0007,2,1.74,0.00,3.48
O00148,I0048,3,1.79,0.00,5.37
O00148,I0050,1,3.10,0.00,3.10
O00148,I0073,2,1.53,0.00,3.06
O00148,I0090,1,3.63,0.00,3.63
O00148,I0100,1,4.32,0.00,4.32
O00149,I0063,5,7.37,0.00,36.85
O00150,I0011,2,2.82,0.00,5.64
O00150,I0042,1,1.43,0.00,1.43
O00150,I0091,1,3.04,0.00,3.04
O00150,I0116,1,42.58,0.00,42.58
O00150,I0119,2,17.59,0.00,35.18
O00151,I0008,2,11.04,0.00,22.08
O00151,I0023,1,1.75,0.00,1.75
O00151,I0027,3,4.65,0.00,13.95
O00151,I0077,2,1.42,0.00,2.84
O00151,I0091,2,3.00,0.00,6.00
O00151,I0098,1,27.27,0.00,27.27
O00152,I0001,2,11.42,0.00,22.84
O00152,I0120,1,17.57,0.00,17.57
O00153,I0023,1,1.77,0.00,1.77
O00153,I0027,1,4.75,0.00,4.75
O00153,I0028,1,5.23,0.00,5.23
O00153,I0117,2,42.94,0.00,85.88
O00154,I0005,3,3.57,0.00,10.71
O00154,I0011,2,2.74,0.00,5.48
O00154,I0048,4,1.77,0.00,7.08
O00154,I0065,3,4.68,0.00,14.04
O00154,I0073,1,1.50,0.00,1.50
O00154,I0096,1,3.07,0.00,3.07
O00155,I0091,1,3.05,0.00,3.05
O00155,I0098,1,27.28,0.00,27.28
O00155,I0099,1,26.83,0.00,26.83
O00155,I0119,1,17.27,0.00,17.27
O00156,I0018,2,1.88,0.00,3.76
O00156,I0031,5,4.43,0.00,22.15
O00156,I0045,1,3.41,0.00,3.41
O00156,I0059,2,1.75,0.00,3.50
O00157,I0004,2,1.84,0.00,3.68
O00157,I0005,2,3.52,0.00,7.04
O00157,I0007,1,1.75,0.00,1.75
O00157,I0063,3,7.32,0.00,21.96
O00158,I0001,3,11.32,0.00,33.96
O00158,I0037,2,1.28,0.00,2.56
O00159,I0040,2,1.42,0.00,2.84
O00159,I0053,1,6.67,0.00,6.67
O00160,I0004,2,1.87,0.00,3.74
O00160,I0009,1,1.79,0.00,1.79
O00160,I0036,2,1.41,0.00,2.82
O00160,I0091,1,3.07,0.00,3.07
O00161,I0034,2,4.24,0.00,8.48
O00161,I0056,1,1.83,0.00,1.83
O00161,I0066,1,2.51,0.00,2.51
O00161,I0090,4,3.65,0.00,14.60
O00162,I0003,1,2.34,0.00,2.34
O00162,I0022,1,1.74,0.00,1.74
O00163,I0002,1,13.66,0.00,13.66
O00163,I0010,3,2.04,0.00,6.12
O00163,I0060,2,5.37,0.00,10.74
O00163,I0096,2,2.99,0.00,5.98
O00163,I0099,4,26.93,0.00,107.72
O00164,I0056,3,1.88,0.00,5.64
O00164,I0098,5,27.32,0.00,136.60
O00164,I0106,1,6.91,0.00,6.91
O00165,I0042,2,1.42,0.00,2.84
O00165,I0053,2,6.61,0.00,13.22
O00166,I0009,1,1.75,0.00,1.75
O00166,I0067,3,3.60,0.00,10.80
O00166,I0069,2,3.75,0.00,7.50
O00167,I0011,1,2.75,0.00,2.75
O00167,I0039,1,1.43,0.00,1.43
O00167,I0082,1,2.62,0.00,2.62
O00167,I0093,1,1.77,0.00,1.77
O00168,I0005,2,3.54,0.00,7.08
O00168,I0087,1,2.69,0.00,2.69
O00168,I0096,3,3.03,0.00,9.09
O00169,I0064,2,2.99,0.00,5.98
O00169,I0067,1,3.58,0.00,3.58
O00170,I0008,2,10.81,0.00,21.62
O00170,I0017,2,1.95,0.00,3.90
O00170,I0044,2,1.25,0.00,2.50
O00170,I0072,4,1.34,0.00,5.36
O00171,I0008,3,11.01,0.00,33.03
O00171,I0025,3,3.79,0.00,11.37
O00171,I0114,2,16.76,0.00,33.52
O00172,I0040,2,1.43,0.00,2.86
O00172,I0054,1,5.75,0.00,5.75
O00172,I0058,1,1.70,0.00,1.70
O00172,I0068,2,4.35,0.00,8.70
O00172,I0077,2,1.44,0.00,2.88
O00173,I0026,2,2.33,0.00,4.66
O00173,I0031,1,4.43,0.00,4.43
O00173,I0041,3,1.26,0.00,3.78
O00173,I0070,1,7.64,0.00,7.64
O00173,I0073,1,1.53,0.00,1.53
O00173,I0091,4,3.00,0.00,12.00
O00174,I0001,1,11.44,0.00,11.44
O00174,I0004,1,1.87,0.00,1.87
O00174,I0054,1,5.84,0.00,5.84
O00175,I0074,3,1.25,0.00,3.75
O00175,I0086,2,2.53,0.00,5.06
O00175,I0103,2,4.35,0.00,8.70
O00176,I0017,4,1.95,0.00,7.80
O00176,I0060,1,5.34,0.00,5.34
O00176,I0087,1,2.68,0.00,2.68
O00177,I0066,2,2.55,0.00,5.10
O00177,I0109,2,6.90,0.00,13.80
O00178,I0032,1,4.07,0.00,4.07
O00178,I0081,1,5.17,0.00,5.17
O00178,I0085,1,2.58,0.00,2.58
O00179,I0015,1,1.85,0.00,1.85
O00179,I0026,2,2.35,0.00,4.70
O00179,I0044,1,1.25,0.00,1.25
O00179,I0120,1,17.28,0.00,17.28
O00180,I0119,2,17.34,0.00,34.68
O00181,I0036,1,1.43,0.00,1.43
O00181,I0120,1,17.11,0.00,17.11
O00182,I0012,2,1.78,0.00,3.56
O00182,I0055,4,1.77,0.00,7.08
O00182,I0092,2,4.85,0.00,9.70
O00183,I0029,1,3.34,0.00,3.34
O00183,I0031,3,4.42,0.00,13.26
O00183,I0076,1,1.28,0.00,1.28
O00184,I0013,3,3.64,0.00,10.92
O00184,I0077,2,1.45,0.00,2.90
O00184,I0078,2,1.33,0.00,2.66
O00185,I0076,3,1.27,0.00,3.81
O00185,I0116,4,41.99,0.00,167.96
O00186,I0012,2,1.75,0.00,3.50
O00186,I0082,2,2.60,0.00,5.20
O00187,I0066,5,2.51,0.00,12.55
O00187,I0079,3,3.80,0.00,11.40
O00187,I0108,1,7.23,0.00,7.23
O00187,I0116,1,42.44,0.00,42.44
