MyKasihID,MonthlyLimitAmount,AmountUsed,ValidFrom,ValidUntil,Status,CustomerID
MK0026,100.00,0.00,2024-12-15,2026-12-15,ACTIVE,C0064
MK0027,100.00,0.00,2024-12-28,2025-12-28,EXPIRED,C0056
MK0028,100.00,0.00,2024-12-28,2026-12-28,ACTIVE,C0070
MK0029,100.00,0.00,2024-12-29,2026-12-29,ACTIVE,C0068
MK0030,100.00,0.00,2024-12-31,2026-12-31,ACTIVE,C0065
MK0031,100.00,0.00,2025-01-03,2027-01-03,ACTIVE,C0060
MK0032,100.00,0.00,2025-01-18,2026-01-18,EXPIRED,C0072
MK0033,100.00,0.00,2025-01-25,2027-01-25,ACTIVE,C0020
MK0034,100.00,0.00,2025-02-01,2027-02-01,ACTIVE,C0025
MK0035,100.00,0.00,2025-02-05,2027-02-05,SUSPENDED,C0035
MK0036,100.00,0.00,2025-02-25,2027-02-25,ACTIVE,C0019
MK0037,100.00,0.00,2025-03-03,2027-03-03,ACTIVE,C0003
MK0038,100.00,0.00,2025-03-03,2027-03-03,ACTIVE,C0050
MK0039,100.00,0.00,2025-03-06,2027-03-06,ACTIVE,C0075
MK0040,100.00,0.00,2025-04-17,2027-04-17,ACTIVE,C0077
MK0041,100.00,0.00,2025-04-21,2026-04-21,EXPIRED,C0082
MK0042,100.00,0.00,2025-04-30,2027-04-30,ACTIVE,C0092
MK0043,100.00,0.00,2025-05-07,2027-05-07,ACTIVE,C0093
MK0044,100.00,0.00,2025-05-18,2027-05-18,ACTIVE,C0085
MK0045,100.00,0.00,2025-05-24,2026-05-24,EXPIRED,C0098
MK0046,100.00,0.00,2025-05-31,2027-05-31,ACTIVE,C0089
MK0047,100.00,0.00,2025-06-13,2027-06-13,ACTIVE,C0088
MK0048,100.00,0.00,2025-06-19,2027-06-19,ACTIVE,C0084
MK0049,100.00,0.00,2025-06-24,2027-06-24,ACTIVE,C0095
MK0050,100.00,0.00,2025-06-27,2027-06-27,ACTIVE,C0102
MK0051,100.00,0.00,2025-07-01,2026-07-01,ACTIVE,C0090
MK0052,100.00,0.00,2025-07-11,2026-07-11,ACTIVE,C0100
MK0053,100.00,0.00,2025-07-30,2026-07-30,ACTIVE,C0110
MK0054,100.00,0.00,2025-08-16,2026-08-16,ACTIVE,C0074
MK0055,100.00,0.00,2025-08-23,2026-08-23,ACTIVE,C0112
MK0056,100.00,0.00,2025-10-14,2026-10-14,ACTIVE,C0124
MK0057,100.00,0.00,2025-10-27,2026-10-27,ACTIVE,C0129
MK0058,100.00,0.00,2025-11-11,2026-11-11,ACTIVE,C0104
MK0059,100.00,0.00,2025-11-11,2026-11-11,ACTIVE,C0115
MK0060,100.00,0.00,2025-11-11,2026-11-11,ACTIVE,C0116
MK0061,100.00,0.00,2025-11-15,2026-11-15,ACTIVE,C0121
MK0062,100.00,0.00,2025-11-20,2026-11-20,ACTIVE,C0087
MK0063,100.00,0.00,2025-11-25,2026-11-25,ACTIVE,C0134
MK0064,100.00,0.00,2025-12-04,2026-12-04,ACTIVE,C0127
MK0065,100.00,0.00,2025-12-18,2026-12-18,ACTIVE,C0132
MK0066,100.00,0.00,2025-12-23,2026-12-23,ACTIVE,C0144
MK0067,100.00,0.00,2025-12-26,2026-12-26,ACTIVE,C0105
MK0068,100.00,0.00,2025-12-28,2026-12-28,SUSPENDED,C0141
MK0069,100.00,0.00,2025-12-28,2026-12-28,ACTIVE,C0146
MK0070,100.00,0.00,2025-12-29,2026-12-29,ACTIVE,C0143
MK0071,100.00,0.00,2026-01-29,2027-01-29,ACTIVE,C0055
MK0072,100.00,0.00,2026-02-04,2027-02-04,ACTIVE,C0109
MK0073,100.00,0.00,2026-02-07,2027-02-07,ACTIVE,C0157
MK0074,100.00,0.00,2026-02-08,2027-02-08,ACTIVE,C0117
MK0075,100.00,0.00,2026-02-11,2027-02-11,ACTIVE,C0040
MK0076,100.00,0.00,2026-02-17,2027-02-17,ACTIVE,C0058
MK0077,100.00,0.00,2026-02-19,2027-02-19,ACTIVE,C0130
MK0078,100.00,0.00,2026-02-24,2027-02-24,ACTIVE,C0047
MK0079,100.00,0.00,2026-02-24,2027-02-24,ACTIVE,C0086
MK0080,100.00,0.00,2026-02-24,2027-02-24,SUSPENDED,C0154
MK0081,100.00,0.00,2026-03-09,2027-03-09,ACTIVE,C0168
MK0082,100.00,0.00,2026-03-12,2027-03-12,ACTIVE,C0125
MK0083,100.00,0.00,2026-03-14,2027-03-14,ACTIVE,C0005
MK0084,100.00,0.00,2026-03-14,2027-03-14,ACTIVE,C0120
MK0085,100.00,0.00,2026-03-23,2027-03-23,ACTIVE,C0150
MK0086,100.00,0.00,2026-03-23,2027-03-23,ACTIVE,C0170
MK0087,100.00,0.00,2026-03-24,2027-03-24,ACTIVE,C0128
MK0088,100.00,0.00,2026-03-25,2027-03-25,ACTIVE,C0151
MK0089,100.00,0.00,2026-04-17,2027-04-17,ACTIVE,C0165
MK0090,100.00,0.00,2026-05-10,2027-05-10,ACTIVE,C0169
MK0091,100.00,0.00,2026-05-16,2027-05-16,ACTIVE,C0185
MK0092,100.00,0.00,2026-05-22,2027-05-22,ACTIVE,C0182
MK0093,100.00,0.00,2026-05-30,2027-05-30,ACTIVE,C0183
MK0094,100.00,0.00,2026-06-02,2027-06-02,ACTIVE,C0189
MK0095,100.00,0.00,2026-06-04,2027-06-04,ACTIVE,C0179
MK0096,100.00,0.00,2026-06-12,2027-06-12,ACTIVE,C0069
MK0097,100.00,0.00,2026-06-12,2027-06-12,SUSPENDED,C0091
MK0098,100.00,0.00,2026-06-14,2027-06-14,ACTIVE,C0173
MK0099,100.00,0.00,2026-06-15,2027-06-15,ACTIVE,C0186
MK0100,100.00,0.00,2026-06-17,2027-06-17,ACTIVE,C0171
